Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA
1,6:51,2,6,TAM 29,0,0,"Brad Johnson pass complete to Charles Lee for 14 yards (tackle by Kenoy Kennedy). Charles Lee fumbles (forced by Kenoy Kennedy), recovered by Willie Middlebrooks at TAM-43 (tackle by Ken Dilger)",0.600,-2.720
1,6:41,1,10,TAM 43,0,0,Jake Plummer for 1 yard,2.720,2.310
1,6:17,2,9,TAM 42,0,0,Quentin Griffin right tackle for 8 yards (tackle by Ronde Barber),2.310,2.680
1,5:44,3,1,TAM 34,0,0,Quentin Griffin up the middle for 2 yards (tackle by Shelton Quarles and Ian Gold),2.680,3.450
1,5:03,1,10,TAM 32,0,0,Jake Plummer pass complete to Rod Smith for 11 yards (tackle by Ronde Barber). Penalty on Chartric Darby: Defensive Offside (Declined),3.450,4.170
1,4:44,1,10,TAM 21,0,0,"Penalty on Patrick Hape: False Start, 5 yards (no play)",4.170,3.840
1,4:27,1,15,TAM 26,0,0,"Jake Plummer pass incomplete intended for Ashley Lelie. Penalty on Brian Kelly: Defensive Pass Interference, 10 yards (no play)",3.840,4.510
1,4:19,1,10,TAM 16,0,0,Jake Plummer left end for 5 yards (tackle by Simeon Rice),4.510,4.760
1,3:52,2,5,TAM 11,0,0,Reuben Droughns up the middle for 6 yards (tackle by Ian Gold),4.760,6.060
1,3:08,1,5,TAM 5,6,0,"Jake Plummer pass complete to Patrick Hape for 5 yards, touchdown",6.060,7.000
1,,,,TAM 2,7,0,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,7,0,"Micah Knorr kicks off 66 yards, returned by Jamel White for 20 yards (tackle by Patrick Chukwurah). Penalty on Reuben Droughns: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,,,,DEN 25,7,0,"Micah Knorr kicks off 70 yards, returned by Jamel White for 22 yards (tackle by Willie Middlebrooks)",0.000,0.740
1,2:46,1,10,TAM 27,7,0,Brad Johnson pass complete to Charles Lee for 6 yards (tackle by Kelly Herndon),0.740,1.010
1,2:10,2,4,TAM 33,7,0,Michael Pittman up the middle for 2 yards (tackle by Al Wilson),1.010,0.560
1,1:27,3,2,TAM 35,7,0,"Brad Johnson pass complete to Michael Pittman for 20 yards (tackle by Al Wilson). Penalty on Michael Clayton: Offensive Pass Interference, 10 yards (no play)",0.560,-0.760
1,1:01,,,,7,0,Timeout #1 by Tampa Bay Buccaneers,0.000,-0.760
1,1:01,3,12,TAM 25,7,0,Brad Johnson sacked by Willie Middlebrooks for -3 yards,-0.760,-1.900
1,0:36,4,15,TAM 22,7,0,"Josh Bidwell punts 50 yards, returned by Triandos Luke for 10 yards (tackle by Keith Burns)",-1.900,-1.470
1,0:23,1,10,DEN 38,7,0,Reuben Droughns right end for -1 yards (tackle by Ellis Wyms and Shelton Quarles),1.470,0.790
Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,DEN 37,7,0,Jake Plummer pass incomplete intended for Quentin Griffin,0.790,0.100
2,14:57,3,11,DEN 37,7,0,Jake Plummer pass complete to Jeb Putzier for 28 yards (tackle by Jermaine Phillips),0.100,3.250
2,14:15,1,10,TAM 35,7,0,Reuben Droughns up the middle for 4 yards (tackle by Shelton Quarles and Jermaine Phillips),3.250,3.240
2,13:33,2,6,TAM 31,7,0,Jake Plummer pass incomplete intended for Rod Smith (defended by Brian Kelly),3.240,2.540
2,13:25,3,6,TAM 31,7,0,Jake Plummer pass incomplete intended for Rod Smith,2.540,1.340
2,13:19,4,6,TAM 31,10,0,Jason Elam 49 yard field goal good,1.340,3.000
2,,,,DEN 30,10,0,"Micah Knorr kicks off 61 yards, returned by Jamel White for 16 yards (tackle by Kyle Johnson)",0.000,0.610
2,13:06,1,10,TAM 25,10,0,Michael Pittman right tackle for 4 yards (tackle by Kenoy Kennedy),0.610,0.600
2,12:29,2,6,TAM 29,10,0,"Brad Johnson pass incomplete intended for Ken Dilger (defended by John Lynch). Penalty on Raylee Johnson: Roughing the Passer, 15 yards (no play)",0.600,1.860
2,12:23,1,10,TAM 44,10,0,Mike Alstott right guard for 7 yards (tackle by Donnie Spragan and Al Wilson),1.860,2.260
2,11:41,2,3,DEN 49,10,0,Michael Pittman up the middle for -2 yards (tackle by John Lynch and Donnie Spragan),2.260,1.290
2,11:03,3,5,TAM 49,10,6,"Brad Johnson pass complete to Michael Clayton for 51 yards, touchdown. Penalty on Patrick Chukwurah: Defensive Offside (Declined)",1.290,7.000
2,,,,DEN 2,10,7,Martin Gramatica kicks extra point good,0.000,0.000
2,,,,TAM 30,10,7,"Martin Gramatica kicks off 60 yards, returned by Reuben Droughns for 19 yards (tackle by Dwight Smith)",0.000,0.870
2,10:42,1,10,DEN 29,10,7,Jake Plummer pass complete to Rod Smith for 7 yards (tackle by Ronde Barber),0.870,1.270
2,10:08,2,3,DEN 36,10,7,Reuben Droughns left tackle for -2 yards (tackle by Damian Gregory and Ellis Wyms),1.270,0.300
2,9:22,3,5,DEN 34,10,7,Jake Plummer pass complete to Darius Watts for 7 yards (tackle by Mario Edwards),0.300,1.660
2,8:58,1,10,DEN 41,10,7,Reuben Droughns up the middle for no gain (tackle by Damian Gregory and Derrick Brooks),1.660,1.120
2,8:11,2,10,DEN 41,10,7,"Jake Plummer pass incomplete intended for Jeb Putzier (defended by Dwight Smith). Penalty on Greg Spires: Defensive Offside, 5 yards (no play)",1.120,1.800
2,8:04,2,5,DEN 46,10,7,Jake Plummer pass complete to Quentin Griffin for 15 yards (tackle by Jermaine Phillips),1.800,2.980
2,7:25,1,10,TAM 39,10,7,Jake Plummer pass incomplete intended for Nate Jackson (defended by Brian Kelly),2.980,2.440
2,7:17,2,10,TAM 39,10,7,"Quentin Griffin left tackle for 8 yards (tackle by Derrick Brooks and Shelton Quarles). Penalty on Tom Nalen: Offensive Holding, 10 yards (no play)",2.440,1.090
2,6:50,2,20,TAM 49,10,7,Jake Plummer pass complete to Rod Smith for 4 yards (tackle by Ronde Barber),1.090,0.960
,,,,,,,"DEN challenged the ruling, and the original play was overturned.",,
2,6:17,3,16,TAM 45,10,7,Jake Plummer pass complete to Darius Watts for 13 yards (tackle by Derrick Brooks),0.960,1.290
2,5:39,4,3,TAM 32,13,7,Jason Elam 50 yard field goal good,1.290,3.000
2,,,,DEN 30,13,7,"Micah Knorr kicks off 59 yards, returned by Jamel White for 17 yards (tackle by Nick Ferguson)",0.000,0.810
2,5:24,1,10,TAM 28,13,7,Michael Pittman up the middle for 5 yards (tackle by Kenoy Kennedy and Donnie Spragan),0.810,0.940
2,4:46,2,5,TAM 33,13,7,Brad Johnson pass complete to Mike Alstott for 6 yards (tackle by Donnie Spragan),0.940,1.530
2,4:05,1,10,TAM 39,13,7,Brad Johnson pass incomplete intended for Michael Pittman,1.530,0.990
2,3:59,2,10,TAM 39,13,7,Jamel White right end for 2 yards (tackle by D.J. Williams),0.990,0.560
2,3:13,3,8,TAM 41,13,7,Brad Johnson pass complete to Charles Lee for 8 yards (tackle by Champ Bailey),0.560,2.190
2,2:45,1,10,TAM 49,13,7,Michael Pittman left end for 1 yard (tackle by Ellis Johnson and John Lynch),2.190,1.780
2,2:01,2,9,TAM 50,13,7,Brad Johnson pass complete to Michael Clayton for 22 yards (tackle by D.J. Williams),1.780,3.710
2,1:51,1,10,DEN 28,13,7,Michael Pittman right tackle for 3 yards (tackle by D.J. Williams),3.710,3.570
2,1:09,2,7,DEN 25,13,7,Brad Johnson pass incomplete intended for Michael Clayton,3.570,2.870
2,1:02,3,7,DEN 25,13,7,Brad Johnson pass complete to Charles Lee for 8 yards (tackle by Kelly Herndon),2.870,4.440
2,0:51,,,,13,7,Timeout #2 by Tampa Bay Buccaneers,0.000,4.440
2,0:51,1,10,DEN 17,13,7,Brad Johnson pass complete to Mike Alstott for 1 yard (tackle by D.J. Williams),4.440,4.000
2,0:40,,,,13,7,Timeout #3 by Tampa Bay Buccaneers,0.000,4.000
2,0:40,2,9,DEN 16,13,7,Brad Johnson pass complete to Michael Clayton for 6 yards (tackle by D.J. Williams),4.000,4.340
2,0:14,3,3,DEN 10,13,7,Brad Johnson pass incomplete,4.340,2.860
2,0:05,4,3,DEN 10,13,10,Martin Gramatica 28 yard field goal good,2.860,3.000
Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,13,10,"Martin Gramatica kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,DEN 20,13,10,Jake Plummer pass incomplete intended for Ashley Lelie (defended by Brian Kelly),0.280,-0.270
,,,,,,,"TAM challenged the ruling, and the play was upheld.",,
3,14:54,2,10,DEN 20,13,10,Quentin Griffin up the middle for 1 yard (tackle by Shelton Quarles and Ian Gold),-0.270,-0.820
3,14:06,3,9,DEN 21,13,10,"Penalty on Jake Plummer: Delay of Game, 5 yards (no play)",-0.820,-1.690
3,13:43,3,14,DEN 16,13,10,Jake Plummer pass incomplete intended for Jeb Putzier,-1.690,-2.390
3,13:37,4,14,DEN 16,13,10,"Micah Knorr punts 49 yards, muffed catch by Michael Clayton, recovered by Michael Clayton and returned for 2 yards (tackle by Mike Leach)",-2.390,-1.400
3,13:26,1,10,TAM 37,13,10,Michael Pittman right guard for 3 yards (tackle by D.J. Williams and Al Wilson),1.400,1.260
3,12:45,2,7,TAM 40,13,10,Brad Johnson pass complete to Michael Clayton for 12 yards (tackle by Al Wilson),1.260,2.390
3,11:58,1,10,DEN 48,13,10,Michael Pittman up the middle for 14 yards (tackle by Kenoy Kennedy),2.390,3.310
3,11:19,1,10,DEN 34,13,10,Jamel White right tackle for 4 yards (tackle by Reggie Hayward),3.310,3.310
3,10:39,2,6,DEN 30,13,10,Michael Pittman left end for 14 yards (tackle by Kenoy Kennedy),3.310,4.510
3,9:56,1,10,DEN 16,13,10,Brad Johnson pass incomplete intended for Will Heller,4.510,3.900
3,9:49,2,10,DEN 16,13,10,Jamel White left tackle for 1 yard (tackle by Al Wilson and Donnie Spragan),3.900,3.220
3,9:08,3,9,DEN 15,13,10,Brad Johnson pass complete to Tim Brown for 3 yards (tackle by Willie Middlebrooks),3.220,2.660
3,9:08,4,6,DEN 12,13,13,Martin Gramatica 30 yard field goal good,2.660,3.000
3,,,,TAM 30,13,13,"Martin Gramatica kicks off 68 yards, returned by Reuben Droughns for 26 yards (tackle by Marquis Cooper)",0.000,0.810
3,8:07,1,10,DEN 28,13,13,Quentin Griffin left end for 3 yards (tackle by Chartric Darby and Greg Spires),0.810,0.670
3,7:25,2,7,DEN 31,13,13,Jake Plummer pass incomplete intended for Jeb Putzier (defended by Derrick Brooks),0.670,-0.030
3,7:18,3,7,DEN 31,13,13,Jake Plummer pass complete to Ashley Lelie for 3 yards (tackle by Brian Kelly),-0.030,-1.110
3,6:58,4,4,DEN 34,13,13,"Micah Knorr punts 58 yards. Penalty on D.J. Williams: Ineligible Downfield Kick, 5 yards (no play)",-1.110,-1.440
3,6:28,4,9,DEN 29,13,13,"Micah Knorr punts 47 yards, fair catch by Tim Brown",-1.440,-0.540
3,6:18,1,10,TAM 24,13,13,Michael Pittman for no gain (tackle by Monsanto Pope and Donnie Spragan),0.540,0.000
3,5:52,2,10,TAM 24,13,13,Brad Johnson pass complete to Charles Lee for 11 yards (tackle by Kenoy Kennedy),0.000,1.270
3,5:13,1,10,TAM 35,13,13,Brad Johnson pass complete to Ken Dilger for 7 yards (tackle by Kenoy Kennedy),1.270,1.670
3,4:36,2,3,TAM 42,13,13,Mike Alstott up the middle for 2 yards (tackle by John Lynch),1.670,1.220
3,3:54,3,1,TAM 44,13,13,Mike Alstott left tackle for -2 yards (tackle by John Lynch),1.220,-0.590
3,3:09,4,3,TAM 42,13,13,"Josh Bidwell punts 44 yards, fair catch by Triandos Luke",-0.590,0.280
3,2:58,1,10,DEN 14,13,13,Jake Plummer pass incomplete intended for Rod Smith (defended by Shelton Quarles),-0.280,-0.750
3,2:52,2,10,DEN 14,13,13,"Penalty on George Foster: False Start, 5 yards (no play)",-0.750,-1.150
3,2:52,2,15,DEN 9,13,13,Jake Plummer pass incomplete intended for Reuben Droughns,-1.150,-2.010
3,2:42,3,15,DEN 9,13,13,"Jake Plummer for 1 yard (tackle by Anthony McFarland). Jake Plummer fumbles (forced by Anthony McFarland), recovered by Jake Plummer at DEN-10",-2.010,-2.490
3,2:22,4,14,DEN 10,13,13,"Micah Knorr punts 38 yards, fair catch by Tim Brown. Penalty on Keith Burns: Offensive Holding, 10 yards",-2.490,-1.730
3,2:02,1,10,TAM 42,13,13,Brad Johnson pass incomplete,1.730,1.190
3,1:49,2,10,TAM 42,13,13,Brad Johnson pass complete to Will Heller for 5 yards (tackle by Willie Middlebrooks),1.190,1.160
3,1:29,3,5,TAM 47,13,13,Brad Johnson pass complete to Mike Alstott for 2 yards (tackle by Champ Bailey),1.160,-0.130
3,0:44,4,3,TAM 49,13,13,"Josh Bidwell punts 40 yards, fair catch by Triandos Luke",-0.130,0.370
3,0:35,1,10,DEN 11,13,13,Quentin Griffin left tackle for 2 yards (tackle by Ronde Barber),-0.370,-0.630
Quarter,Time,Down,ToGo,Location,DEN,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,DEN 13,13,13,"Jake Plummer pass incomplete intended for Ashley Lelie (defended by Brian Kelly). Penalty on Dwight Smith: Defensive Pass Interference, 37 yards (no play)",-0.630,2.260
4,14:50,1,10,TAM 50,13,13,Quentin Griffin for 6 yards (tackle by Shelton Quarles),2.260,2.520
4,14:10,2,4,TAM 44,13,13,Quentin Griffin right tackle for 1 yard (tackle by Derrick Brooks),2.520,1.950
4,13:27,3,3,TAM 43,13,13,Jake Plummer for 4 yards (tackle by Derrick Brooks),1.950,2.980
4,12:57,1,10,TAM 39,13,13,Quentin Griffin right end for 12 yards (tackle by Dwight Smith),2.980,3.780
4,12:15,1,10,TAM 27,13,13,Jake Plummer pass complete to Nate Jackson for 9 yards (tackle by Ronde Barber),3.780,4.530
4,11:34,2,1,TAM 18,13,13,Reuben Droughns up the middle for 3 yards (tackle by Dwight Smith and Derrick Brooks),4.530,4.580
4,10:55,1,10,TAM 15,13,13,Quentin Griffin left tackle for 2 yards (tackle by Derrick Brooks and Greg Spires),4.580,4.280
4,10:20,,,,13,13,Timeout #1 by Denver Broncos,0.000,4.280
4,10:20,2,8,TAM 13,13,13,Jake Plummer pass incomplete intended for Reuben Droughns,4.280,3.400
4,10:13,3,8,TAM 13,13,13,Jake Plummer pass incomplete intended for Ashley Lelie,3.400,2.570
4,10:13,4,8,TAM 13,13,13,"Jason Elam 31 yard field goal good. Penalty on Derrick Brooks: Defensive Holding, 5 yards (no play)",2.570,5.370
4,10:02,1,8,TAM 8,13,13,Jake Plummer pass incomplete intended for Reuben Droughns (defended by Jermaine Phillips),5.370,4.570
4,9:53,2,8,TAM 8,13,13,Quentin Griffin right guard for 3 yards (tackle by Ellis Wyms and Anthony McFarland),4.570,4.260
4,9:14,3,5,TAM 5,13,13,Jake Plummer pass incomplete intended for Darius Watts,4.260,3.010
4,9:07,4,5,TAM 5,16,13,Jason Elam 23 yard field goal good,3.010,3.000
4,,,,DEN 30,16,13,"Micah Knorr kicks off 69 yards, returned by Jamel White for 44 yards (tackle by Roc Alexander)",,
4,9:03,1,10,TAM 45,16,13,Michael Pittman left guard for 5 yards (tackle by Al Wilson),1.930,2.060
4,8:29,2,5,TAM 50,16,13,Michael Pittman up the middle for 2 yards (tackle by D.J. Williams),2.060,1.620
4,7:50,3,3,DEN 48,16,13,Brad Johnson pass incomplete intended for Tim Brown (defended by Willie Middlebrooks),1.620,0.070
4,7:34,4,3,DEN 48,16,13,"Josh Bidwell punts 38 yards, fair catch by Triandos Luke",0.070,0.380
4,7:26,1,10,DEN 10,16,13,Quentin Griffin up the middle for 9 yards (tackle by Ian Gold and Shelton Quarles),-0.380,0.240
4,6:50,2,1,DEN 19,16,13,Quentin Griffin up the middle for no gain (tackle by Ronde Barber and Shelton Quarles),0.240,-0.370
4,6:09,3,1,DEN 19,16,13,Reuben Droughns up the middle for 2 yards (tackle by Dwight Smith),-0.370,0.340
4,5:27,1,10,DEN 21,16,13,Quentin Griffin up the middle for 2 yards (tackle by Greg Spires),0.340,0.070
4,4:49,2,8,DEN 23,16,13,Jake Plummer pass incomplete intended for Jeb Putzier (defended by Jermaine Phillips),0.070,-0.630
4,4:41,3,8,DEN 23,16,13,Jake Plummer pass complete to Jeb Putzier for 14 yards (tackle by Jermaine Phillips),-0.630,1.400
4,3:58,1,10,DEN 37,16,13,Quentin Griffin up the middle for no gain (tackle by Simeon Rice),1.400,0.860
4,3:20,2,10,DEN 37,16,13,Jake Plummer right end for 7 yards (tackle by Shelton Quarles),0.860,1.090
4,2:28,,,,16,13,Timeout #2 by Denver Broncos,0.000,1.090
4,2:28,3,3,DEN 44,16,13,Darius Watts right end for 7 yards (tackle by Ian Gold),1.090,2.320
4,2:20,1,10,TAM 49,16,13,Quentin Griffin up the middle for 4 yards (tackle by Derrick Brooks and Shelton Quarles),2.320,2.320
4,2:15,,,,16,13,Timeout #2 by Tampa Bay Buccaneers,0.000,2.320
4,2:15,2,6,TAM 45,16,13,Quentin Griffin up the middle for 3 yards (tackle by Chartric Darby and Derrick Brooks),2.320,2.020
4,2:00,3,3,TAM 42,16,13,"Jake Plummer pass incomplete intended for Patrick Hape. Penalty on Chartric Darby: Defensive Offside, 5 yards (no play)",2.020,3.120
4,1:54,1,10,TAM 37,16,13,Quentin Griffin up the middle for 2 yards (tackle by Dwight Smith),3.120,2.840
4,1:49,,,,16,13,Timeout #3 by Tampa Bay Buccaneers,0.000,2.840
4,1:49,2,8,TAM 35,16,13,Quentin Griffin up the middle for 2 yards (tackle by Chartric Darby and Shelton Quarles),2.840,2.410
4,1:02,3,6,TAM 33,16,13,Quentin Griffin right guard for 2 yards (tackle by Shelton Quarles),2.410,1.370
4,0:15,,,,16,13,Timeout #3 by Denver Broncos,0.000,1.370
4,0:14,4,4,TAM 31,16,13,Micah Knorr punts 22 yards,1.370,0.380
4,0:03,1,10,TAM 9,16,13,Chris Simms pass incomplete intended for Tim Brown (defended by John Lynch),-0.380,-0.780
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
