Unnamed: 0,DEN,TAM
First Downs,19,12
Rush-Yds-TDs,35-111-0,24-110-0
Cmp-Att-Yd-TD-INT,13-30-138-1-0,15-24-162-1-0
Sacked-Yards,0-0,1-3
Net Pass Yards,138,159
Total Yards,249,269
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,7-50,9-97
Third Down Conv.,8-17,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,32:49,27:11
