Unnamed: 0,BUF,NWE
First Downs,19,24
Rush-Yds-TDs,35-169-1,43-267-2
Cmp-Att-Yd-TD-INT,16-29-247-1-0,14-24-122-1-1
Sacked-Yards,4-23,1-7
Net Pass Yards,224,115
Total Yards,393,382
Fumbles-Lost,1-0,4-0
Turnovers,0,1
Penalties-Yards,6-54,4-31
Third Down Conv.,4-13,4-13
Fourth Down Conv.,0-3,0-0
Time of Possession,27:13,32:47
