Quarter,Time,Tm,Detail,BUF,NWE
1.0,9:41,Patriots,Stephen Gostkowski 43 yard field goal,0,3
,6:14,Bills,Dan Carpenter 51 yard field goal,3,3
,2:41,Patriots,Stephen Gostkowski 35 yard field goal,3,6
2.0,12:14,Patriots,LeGarrette Blount 36 yard rush (Stephen Gostkowski kick),3,13
,0:00,Patriots,Stephen Gostkowski 29 yard field goal,3,16
3.0,1:29,Bills,T.J. Graham 12 yard pass from Thaddeus Lewis (Dan Carpenter kick),10,16
4.0,14:56,Patriots,Shane Vereen 5 yard pass from Tom Brady (Julian Edelman pass from Tom Brady),10,24
,10:20,Bills,Fred Jackson 5 yard rush (Dan Carpenter kick),17,24
,7:57,Patriots,Stephen Gostkowski 35 yard field goal,17,27
,3:26,Bills,Dan Carpenter 37 yard field goal,20,27
,2:31,Patriots,LeGarrette Blount 35 yard rush (Stephen Gostkowski kick),20,34
