Unnamed: 0,GNB,NYG
First Downs,19,20
Rush-Yds-TDs,26-79-0,27-95-0
Cmp-Att-Yd-TD-INT,21-33-243-4-0,20-37-240-1-3
Sacked-Yards,0-0,0-0
Net Pass Yards,243,240
Total Yards,322,335
Fumbles-Lost,2-0,1-0
Turnovers,0,3
Penalties-Yards,7-54,4-31
Third Down Conv.,7-13,5-14
Fourth Down Conv.,1-1,3-4
Time of Possession,28:43,31:17
