Quarter,Time,Tm,Detail,GNB,NYG
1.0,8:43,Packers,Davante Adams 8 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
,3:16,Giants,Sterling Shepard 18 yard pass from Daniel Jones (Aldrick Rosas kick),7,7
,1:15,Packers,Allen Lazard 37 yard pass from Aaron Rodgers (Mason Crosby kick),14,7
2.0,12:02,Packers,Mason Crosby 47 yard field goal,17,7
,2:31,Giants,Aldrick Rosas 27 yard field goal,17,10
3.0,6:37,Giants,Aldrick Rosas 45 yard field goal,17,13
4.0,14:22,Packers,Davante Adams 17 yard pass from Aaron Rodgers (Mason Crosby kick),24,13
,7:05,Packers,Marcedes Lewis 1 yard pass from Aaron Rodgers (Mason Crosby kick),31,13
