Unnamed: 0,PHI,CLE
First Downs,19,17
Rush-Yds-TDs,25-106-0,40-137-1
Cmp-Att-Yd-TD-INT,21-35-235-2-2,12-22-204-0-0
Sacked-Yards,5-26,3-17
Net Pass Yards,209,187
Total Yards,315,324
Fumbles-Lost,2-1,2-1
Turnovers,3,1
Penalties-Yards,5-33,3-53
Third Down Conv.,2-12,4-14
Fourth Down Conv.,2-2,0-2
Time of Possession,28:16,31:44
