Quarter,Time,Tm,Detail,PHI,CLE
2.0,13:35,Browns,Sione Takitaki 50 yard interception return (Cody Parkey kick),0,7
3.0,11:53,Eagles,Richard Rodgers 19 yard pass from Carson Wentz (Jake Elliott kick),7,7
,8:59,Browns,Cody Parkey 46 yard field goal,7,10
,3:11,Browns,"Safety, Carson Wentz sacked in end zone by Olivier Vernon",7,12
4.0,11:24,Eagles,Jake Elliott 43 yard field goal,10,12
,9:13,Browns,Kareem Hunt 5 yard rush (Cody Parkey kick),10,19
,3:49,Browns,Cody Parkey 28 yard field goal,10,22
,0:30,Eagles,Dallas Goedert 4 yard pass from Carson Wentz (Jake Elliott kick),17,22
