Quarter,Time,Down,ToGo,Location,PHI,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CLE 25,0,0,Baker Mayfield pass incomplete short right intended for David Njoku,0.610,0.060
1,14:56,2,10,CLE 25,0,0,Nick Chubb left tackle for 1 yard (tackle by Derek Barnett),0.060,-0.490
1,14:13,3,9,CLE 26,0,0,"Baker Mayfield pass incomplete short right intended for Rashard Higgins (defended by Darius Slay). Penalty on Derek Barnett: Defensive Offside, 5 yards (no play)",-0.490,0.170
1,14:08,3,4,CLE 31,0,0,Baker Mayfield pass incomplete short right intended for KhaDarel Hodge,0.170,-1.310
1,14:01,4,4,CLE 31,0,0,"Jamie Gillan punts 50 yards, returned by Greg Ward for 6 yards (tackle by Sione Takitaki)",-1.310,-0.610
1,13:50,1,10,PHI 25,0,0,Miles Sanders right guard for no gain (tackle by Sione Takitaki),0.610,0.060
1,13:12,2,10,PHI 25,0,0,Carson Wentz pass complete short right to Dallas Goedert for 22 yards (tackle by Andrew Sendejo),0.060,2.060
1,12:23,1,10,PHI 47,0,0,Miles Sanders right tackle for 9 yards (tackle by Sheldon Richardson),2.060,2.730
1,11:52,2,1,CLE 44,0,0,Miles Sanders right guard for 11 yards (tackle by Denzel Ward),2.730,3.380
1,11:06,1,10,CLE 33,0,0,Miles Sanders right tackle for 5 yards (tackle by Porter Gustin and Larry Ogunjobi),3.380,3.510
1,10:37,2,5,CLE 28,0,0,Boston Scott left guard for 3 yards (tackle by Sheldon Richardson),3.510,3.200
1,9:54,3,2,CLE 25,0,0,Boston Scott right guard for 4 yards (tackle by Terrance Mitchell),3.200,4.170
1,9:22,1,10,CLE 21,0,0,Boston Scott left guard for 5 yards (tackle by Karl Joseph),4.170,4.370
1,8:41,2,5,CLE 16,0,0,Miles Sanders left tackle for 11 yards (tackle by Vincent Taylor),4.370,6.060
1,8:08,1,5,CLE 5,0,0,"Miles Sanders right guard for 1 yard (tackle by Cameron Malveaux). Miles Sanders fumbles (forced by Cameron Malveaux), recovered by Karl Joseph at CLE-4",6.060,0.380
1,7:56,1,10,CLE 4,0,0,Nick Chubb left guard for no gain (tackle by T.J. Edwards and Rodney McLeod),-0.380,-0.780
1,7:24,2,10,CLE 4,0,0,Nick Chubb left guard for no gain (tackle by Alex Singleton),-0.780,-1.420
1,6:39,3,10,CLE 4,0,0,Baker Mayfield pass complete short middle to KhaDarel Hodge for 13 yards (tackle by Cre'von LeBlanc),-1.420,-0.060
1,5:59,1,10,CLE 17,0,0,Nick Chubb left tackle for 9 yards (tackle by Rodney McLeod),-0.060,0.750
1,5:28,2,1,CLE 26,0,0,Baker Mayfield left guard for 3 yards (tackle by Javon Hargrave),0.750,0.870
1,4:46,1,10,CLE 29,0,0,Nick Chubb left tackle for -1 yards (tackle by Derek Barnett and Alex Singleton),0.870,0.190
1,4:06,2,11,CLE 28,0,0,Baker Mayfield pass complete short right to Jarvis Landry for 13 yards (tackle by Darius Slay),0.190,1.660
1,3:45,1,10,CLE 41,0,0,Baker Mayfield pass complete deep middle to Rashard Higgins for 43 yards (tackle by Avonte Maddox),1.660,4.510
1,3:18,1,10,PHI 16,0,0,Kareem Hunt right guard for 2 yards (tackle by Alex Singleton),4.510,4.210
1,2:39,2,8,PHI 14,0,0,"Baker Mayfield pass incomplete short left intended for Harrison Bryant (defended by Avonte Maddox). Penalty on Avonte Maddox: Defensive Pass Interference, 13 yards (no play)",4.210,6.970
1,2:34,1,1,PHI 1,0,0,Kareem Hunt right guard for -1 yards (tackle by Alex Singleton and T.Y. McGill),6.970,5.720
1,1:57,2,2,PHI 2,0,0,Baker Mayfield pass incomplete short left intended for Austin Hooper,5.720,4.950
1,1:53,3,2,PHI 2,0,0,Kareem Hunt left tackle for 1 yard (tackle by Alex Singleton and Javon Hargrave),4.950,3.550
1,1:11,4,1,PHI 1,0,0,Kareem Hunt left guard for no gain (tackle by Jalen Mills and Javon Hargrave),3.550,0.380
1,1:09,1,10,PHI 1,0,0,Carson Wentz up the middle for 2 yards (tackle by Sheldon Richardson),-0.380,-0.630
1,0:27,2,8,PHI 3,0,0,Carson Wentz pass complete deep left to Jalen Reagor for 16 yards,-0.630,0.150
Quarter,Time,Down,ToGo,Location,PHI,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 19,0,0,Carson Wentz pass complete deep right to Dallas Goedert for 32 yards (tackle by Ronnie Harrison and Andrew Sendejo),0.150,2.320
2,14:26,1,10,CLE 49,0,0,Carson Wentz pass complete short right to Miles Sanders for 3 yards (tackle by Mack Wilson),2.320,2.190
2,13:47,2,7,CLE 46,0,6,"Carson Wentz pass short left intended for Miles Sanders is intercepted by Sione Takitaki at 50 and returned for 50 yards, touchdown",2.190,-7.000
2,13:35,,,PHI 15,0,7,Cody Parkey kicks extra point good,0.000,0.000
2,13:35,,,CLE 35,0,7,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
2,13:35,1,10,PHI 25,0,7,Miles Sanders left tackle for 7 yards (tackle by Terrance Mitchell),0.610,1.010
2,13:03,2,3,PHI 32,0,7,Miles Sanders left tackle for 3 yards (tackle by Karl Joseph),1.010,1.270
2,12:19,1,10,PHI 35,0,7,"Carson Wentz sacked by Karl Joseph for no gain. Penalty on Andrew Sendejo: Unnecessary Roughness, 15 yards (no play)",1.270,2.260
2,11:56,1,10,PHI 50,0,7,Jalen Hurts left tackle for 6 yards (tackle by Malcolm Smith),2.260,2.520
2,11:18,2,4,CLE 44,0,7,Carson Wentz pass complete short right to Greg Ward for 1 yard (tackle by Andrew Sendejo),2.520,1.950
2,10:36,3,3,CLE 43,0,7,Carson Wentz sacked by Olivier Vernon for -1 yards,1.950,0.330
2,9:54,4,4,CLE 44,0,7,"Cameron Johnston punts 33 yards, returned by Donovan Peoples-Jones for no gain",0.330,0.370
2,9:47,1,10,CLE 11,0,7,Nick Chubb left tackle for 3 yards (tackle by T.J. Edwards),-0.370,-0.530
2,9:01,2,7,CLE 14,0,7,"Penalty on Javon Hargrave: Encroachment, 5 yards (no play)",-0.530,0.170
2,8:38,2,2,CLE 19,0,7,Baker Mayfield pass complete deep left to Austin Hooper for 21 yards (tackle by Davion Taylor),0.170,1.600
2,7:57,1,10,CLE 40,0,7,Baker Mayfield pass incomplete short left,1.600,1.050
2,7:49,2,10,CLE 40,0,7,"Penalty on Brandon Graham: Neutral Zone Infraction, 5 yards (no play)",1.050,1.730
2,7:49,2,5,CLE 45,0,7,Baker Mayfield up the middle for -2 yards (tackle by Brandon Graham),1.730,0.760
2,7:05,3,7,CLE 43,0,7,Baker Mayfield pass incomplete deep right intended for Rashard Higgins,0.760,-0.520
2,7:01,4,7,CLE 43,0,7,"Jamie Gillan punts 37 yards, fair catch by Greg Ward at PHI-20",-0.520,-0.280
2,6:53,1,10,PHI 20,0,7,Miles Sanders left guard for 6 yards (tackle by Jordan Elliott),0.280,0.540
2,6:26,2,4,PHI 26,0,7,Miles Sanders left guard for 11 yards (tackle by Andrew Sendejo),0.540,1.400
2,5:48,1,10,PHI 37,0,7,Boston Scott left guard for 9 yards (tackle by Malcolm Smith),1.400,2.070
2,5:18,2,1,PHI 46,0,7,Boston Scott right guard for 3 yards (tackle by Adrian Clayborn),2.070,2.190
2,4:35,1,10,PHI 49,0,7,Carson Wentz pass complete short right to Greg Ward for 4 yards (tackle by Cameron Malveaux),2.190,2.190
2,3:54,2,6,CLE 47,0,7,Miles Sanders left guard for -1 yards (tackle by Sione Takitaki),2.190,1.360
2,3:24,,,,,,Timeout #1 by Philadelphia Eagles,,
2,3:24,3,7,CLE 48,0,7,Carson Wentz right guard for 1 yard (tackle by Malcolm Smith),1.360,0.130
2,2:40,4,6,CLE 47,0,7,"Cameron Johnston punts 47 yards, touchback.",0.130,-0.280
2,2:32,1,10,CLE 20,0,7,Nick Chubb left tackle for 3 yards (tackle by Alex Singleton),0.280,0.140
2,2:00,2,7,CLE 23,0,7,Baker Mayfield sacked by Josh Sweat for -7 yards,0.140,-1.690
2,1:15,,,,,,Timeout #1 by Cleveland Browns,,
2,1:15,3,14,CLE 16,0,7,Baker Mayfield pass complete short right to Austin Hooper for 7 yards (tackle by Cre'von LeBlanc),-1.690,-1.830
2,1:08,,,,,,Timeout #2 by Philadelphia Eagles,,
2,1:08,4,7,CLE 23,0,7,"Jamie Gillan punts 49 yards, returned by Greg Ward for 10 yards (tackle by Andrew Sendejo and Elijah Lee)",-1.830,-1.470
2,0:58,1,10,PHI 38,0,7,Carson Wentz pass incomplete short right intended for Dallas Goedert (defended by Olivier Vernon),1.470,0.920
2,0:54,2,10,PHI 38,0,7,Carson Wentz sacked by and Larry Ogunjobi for -10 yards and Adrian Clayborn for -10 yards,0.920,-1.090
2,0:49,,,,,,Timeout #2 by Cleveland Browns,,
2,0:49,3,20,PHI 28,0,7,Carson Wentz pass complete short right to Dallas Goedert for 12 yards (tackle by Kevin Johnson),-1.090,-0.720
2,0:43,,,,,,Timeout #3 by Cleveland Browns,,
2,0:43,4,8,PHI 40,0,7,"Cameron Johnston punts 52 yards, returned by Donovan Peoples-Jones for 12 yards (tackle by Duke Riley and Marcus Epps)",-0.720,-0.280
2,0:30,1,10,CLE 20,0,7,Baker Mayfield pass complete short left to Kareem Hunt for 10 yards (tackle by Fletcher Cox),0.280,0.940
2,0:14,1,10,CLE 30,0,7,Baker Mayfield spiked the ball,0.940,0.390
2,0:13,2,10,CLE 30,0,7,Baker Mayfield pass complete short left to Austin Hooper for 5 yards,0.390,0.370
2,0:08,3,5,CLE 35,0,7,Baker Mayfield pass incomplete short left intended for Austin Hooper,0.370,-1.040
2,0:04,4,5,CLE 35,0,7,Baker Mayfield pass incomplete short right,-1.040,1.270
Quarter,Time,Down,ToGo,Location,PHI,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,0,7,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,PHI 25,0,7,Miles Sanders left tackle for -1 yards (tackle by B.J. Goodson and Olivier Vernon),0.610,-0.070
3,14:20,2,11,PHI 24,0,7,Carson Wentz right guard for 7 yards (tackle by Andrew Sendejo and Mack Wilson),-0.070,0.170
3,13:34,3,4,PHI 31,0,7,Carson Wentz sacked by Olivier Vernon for -1 yards,0.170,-1.370
3,12:57,4,5,PHI 30,0,7,Cameron Johnston punts 42 yards downed by Michael Jacquet,-1.370,-0.810
3,12:44,1,10,CLE 28,0,7,Nick Chubb right guard for 2 yards (tackle by Alex Singleton and Javon Hargrave),0.810,0.530
3,12:07,2,8,CLE 30,0,7,"Baker Mayfield sacked by Fletcher Cox for -10 yards. Baker Mayfield fumbles (forced by Fletcher Cox), recovered by Alex Singleton at CLE-20 and returned for 1 yard (tackle by Austin Hooper)",0.530,-4.310
3,11:59,1,10,CLE 19,6,7,"Carson Wentz pass complete deep right to Richard Rodgers for 19 yards, touchdown",4.310,7.000
3,11:53,,,CLE 15,7,7,Jake Elliott kicks extra point good,0.000,0.000
3,11:53,,,PHI 35,7,7,"Jake Elliott kicks off 67 yards, returned by D'Ernest Johnson for 27 yards (tackle by Alex Singleton and Duke Riley)",0.000,0.610
3,11:47,1,10,CLE 25,7,7,Baker Mayfield pass complete deep left to KhaDarel Hodge for 42 yards (tackle by Will Parks),0.610,3.380
3,11:09,1,10,PHI 33,7,7,Nick Chubb left guard for 6 yards (tackle by Avonte Maddox),3.380,3.650
3,10:29,2,4,PHI 27,7,7,Nick Chubb right tackle for -1 yards (tackle by Malik Jackson),3.650,2.810
3,9:46,3,5,PHI 28,7,7,Baker Mayfield sacked by Alex Singleton for no gain,2.810,1.630
3,9:04,4,5,PHI 28,7,10,Cody Parkey 46 yard field goal good,1.630,3.000
3,8:59,,,CLE 35,7,10,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
3,8:59,1,10,PHI 25,7,10,Carson Wentz pass incomplete deep right intended for Travis Fulgham (defended by Denzel Ward),0.610,0.060
3,8:55,2,10,PHI 25,7,10,Miles Sanders right guard for 1 yard (tackle by B.J. Goodson and Larry Ogunjobi),0.060,-0.490
3,8:09,3,9,PHI 26,7,10,Carson Wentz pass incomplete short middle intended for Alshon Jeffery (defended by Denzel Ward). Penalty on Matt Pryor: Offensive Holding (Declined),-0.490,-1.630
3,8:03,4,9,PHI 26,7,10,"Cameron Johnston punts 35 yards, returned by Donovan Peoples-Jones for 3 yards (tackle by Will Parks)",-1.630,-1.730
3,7:55,1,10,CLE 42,7,10,Baker Mayfield pass complete short left to Rashard Higgins for 9 yards (tackle by T.J. Edwards),1.730,2.400
