Quarter,Time,Tm,Detail,SEA,JAX
1.0,6:26,Jaguars,Josh Lambo 38 yard field goal,0,3
3.0,12:02,Jaguars,Dede Westbrook 18 yard pass from Blake Bortles (Josh Lambo kick),0,10
,8:30,Seahawks,Blair Walsh 28 yard field goal,3,10
,7:32,Seahawks,Doug Baldwin 26 yard pass from Russell Wilson (Blair Walsh kick),10,10
,7:21,Jaguars,Keelan Cole 75 yard pass from Blake Bortles (Josh Lambo kick),10,17
,5:37,Jaguars,Leonard Fournette 1 yard rush (Josh Lambo kick),10,24
4.0,10:04,Jaguars,Josh Lambo 51 yard field goal,10,27
,9:48,Seahawks,Paul Richardson 61 yard pass from Russell Wilson (Blair Walsh kick),17,27
,4:05,Jaguars,Josh Lambo 32 yard field goal,17,30
,3:42,Seahawks,Tyler Lockett 74 yard pass from Russell Wilson (Blair Walsh kick),24,30
