Unnamed: 0,ARI,CLE
First Downs,25,16
Rush-Yds-TDs,38-119-0,20-39-0
Cmp-Att-Yd-TD-INT,23-38-374-4-1,21-40-223-3-1
Sacked-Yards,1-2,1-8
Net Pass Yards,372,215
Total Yards,491,254
Fumbles-Lost,4-3,3-1
Turnovers,4,2
Penalties-Yards,5-25,7-35
Third Down Conv.,13-16,9-16
Fourth Down Conv.,0-0,0-1
Time of Possession,34:23,25:37
