Quarter,Time,Tm,Detail,ARI,CLE
1.0,7:59,Cardinals,Troy Niklas 11 yard pass from Carson Palmer (Chandler Catanzaro kick),7,0
,2:41,Browns,Brian Hartline 10 yard pass from Josh McCown (Travis Coons kick),7,7
2.0,14:48,Browns,Gary Barnidge 3 yard pass from Josh McCown (Travis Coons kick),7,14
,4:56,Browns,Brian Hartline 2 yard pass from Josh McCown (Travis Coons kick failed),7,20
,0:00,Cardinals,Chandler Catanzaro 37 yard field goal,10,20
3.0,11:46,Cardinals,Michael Floyd 60 yard pass from Carson Palmer (Chandler Catanzaro kick),17,20
,7:35,Cardinals,Troy Niklas 1 yard pass from Carson Palmer (Chandler Catanzaro kick),24,20
4.0,9:32,Cardinals,Larry Fitzgerald 6 yard pass from Carson Palmer (Chandler Catanzaro kick),31,20
,2:16,Cardinals,Chandler Catanzaro 35 yard field goal,34,20
