Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Brett Maher kicks off 65 yards, touchback.",,
1,15:00,1,10,CAR 25,0,0,Chuba Hubbard right guard for no gain (tackle by Cameron Jordan),,
1,14:27,2,10,CAR 25,0,0,Ameer Abdullah right guard for 5 yards (tackle by Kwon Alexander),,
1,13:48,3,5,CAR 30,0,0,Sam Darnold pass complete short left to D.J. Moore for 6 yards (tackle by Marshon Lattimore and Demario Davis),,
1,13:08,1,10,CAR 36,0,0,Sam Darnold pass complete short left to Ameer Abdullah for 17 yards (tackle by P.J. Williams and Marcus Davenport),,
1,12:21,1,10,NOR 47,0,0,Sam Darnold pass complete short right to Ian Thomas for 21 yards (tackle by Paulson Adebo),,
1,11:42,1,10,NOR 26,0,0,Sam Darnold pass complete short right to Terrace Marshall for 8 yards (tackle by Paulson Adebo),,
1,11:04,2,2,NOR 18,0,0,Chuba Hubbard right guard for 1 yard (tackle by Kwon Alexander and Christian Ringo),,
1,10:37,3,1,NOR 17,0,0,Chuba Hubbard right guard for 3 yards (tackle by Christian Ringo and Malcolm Jenkins),,
1,10:01,1,10,NOR 14,0,0,Chuba Hubbard left guard for 2 yards (tackle by Shy Tuttle and Demario Davis),,
1,9:25,2,8,NOR 12,0,0,Chuba Hubbard left end for -1 yards (tackle by David Onyemata and Demario Davis),,
1,8:42,3,9,NOR 13,0,0,Sam Darnold pass complete short right to Ameer Abdullah for -1 yards (tackle by Paulson Adebo),,
1,8:09,4,10,NOR 14,3,0,Lirim Hajrullahu 32 yard field goal good,,
1,8:05,,,CAR 35,3,0,"Lirim Hajrullahu kicks off 72 yards, returned by Deonte Harty for 32 yards (tackle by Jeremy Chinn)",,
1,7:59,1,10,NOR 25,3,0,Alvin Kamara right guard for no gain (tackle by Frankie Luvu and Morgan Fox),,
1,7:27,2,10,NOR 25,3,0,Taysom Hill pass complete short left to Alvin Kamara for 29 yards (tackle by Derrick Brown),,
1,6:44,1,10,CAR 46,3,0,Taysom Hill scrambles right end for 4 yards (tackle by Frankie Luvu),,
1,6:03,2,6,CAR 42,3,0,Taysom Hill pass complete short right to Alvin Kamara for 14 yards (tackle by Sam Franklin and Shaq Thompson),,
1,5:27,1,10,CAR 28,3,0,Tony Jones left guard for -2 yards (tackle by Frankie Luvu and Morgan Fox),,
1,4:54,,,,,,Timeout #1 by Carolina Panthers,,
1,4:54,2,12,CAR 30,3,0,Taysom Hill pass incomplete short left intended for Marquez Callaway,,
1,4:49,,,,,,Timeout #1 by New Orleans Saints,,
1,4:49,3,12,CAR 30,3,0,Taysom Hill pass complete short right to Alvin Kamara for 7 yards (tackle by Kenny Robinson),,
1,4:10,4,5,CAR 23,3,3,Brett Maher 41 yard field goal good,,
1,4:05,,,NOR 35,3,3,"Brett Maher kicks off 64 yards, returned by Ameer Abdullah for 18 yards (tackle by J.T. Gray)",,
1,4:00,1,10,CAR 19,3,3,Chuba Hubbard right guard for 6 yards (tackle by Pete Werner and Malcolm Jenkins),,
1,3:17,2,4,CAR 25,3,3,Chuba Hubbard left guard for 5 yards (tackle by Pete Werner),,
1,2:39,1,10,CAR 30,3,3,Sam Darnold sacked by Cameron Jordan for -3 yards,,
1,2:05,2,13,CAR 27,3,3,"Penalty on Carl Granderson: Defensive Offside, 5 yards (accepted) (no play)",,
1,1:47,2,8,CAR 32,3,3,"Sam Darnold pass incomplete short right. Penalty on Cameron Jordan: Defensive Offside, 5 yards (accepted) (no play)",,
1,1:44,2,3,CAR 37,3,3,Ameer Abdullah right tackle for no gain (tackle by Kwon Alexander and Malcolm Jenkins),,
1,1:03,3,3,CAR 37,3,3,Sam Darnold pass complete short left to Ameer Abdullah for 10 yards (tackle by P.J. Williams),,
1,0:26,1,10,CAR 47,3,3,Sam Darnold pass complete short left to D.J. Moore for 3 yards (tackle by Marshon Lattimore),,
Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,CAR 49,3,3,Sam Darnold pass complete short right to Robbie Anderson for 7 yards (tackle by Demario Davis),,
2,14:19,1,10,NOR 43,3,3,Sam Darnold pass complete short right to Chuba Hubbard for 17 yards (tackle by Kwon Alexander),,
2,13:35,1,10,NOR 26,3,3,Cam Newton right end for 5 yards (tackle by Kwon Alexander),,
2,13:22,2,5,NOR 21,9,3,"Chuba Hubbard right end for 21 yards, touchdown",,
2,13:14,,,NOR 15,10,3,Lirim Hajrullahu kicks extra point good,,
2,13:09,,,CAR 35,10,3,"Lirim Hajrullahu kicks off 66 yards, returned by Deonte Harty for 31 yards (tackle by Sam Franklin and Giovanni Ricci)",,
2,13:04,1,10,NOR 30,10,3,Alvin Kamara right tackle for -1 yards (tackle by Shaq Thompson and Jermaine Carter),,
2,12:20,2,11,NOR 29,10,3,Taysom Hill pass complete short right to Alvin Kamara for 6 yards (tackle by Shaq Thompson),,
2,11:49,3,5,NOR 35,10,3,Taysom Hill scrambles right tackle for 2 yards (tackle by Marquis Haynes and Frankie Luvu),,
2,11:10,4,3,NOR 37,10,3,"Blake Gillikin punts 63 yards, touchback.",,
2,10:59,1,10,CAR 20,10,3,Chuba Hubbard right end for 1 yard (tackle by Cameron Jordan and Shy Tuttle),,
