Unnamed: 0,CAR,NOR
First Downs,16,15
Rush-Yds-TDs,26-88-1,28-73-0
Cmp-Att-Yd-TD-INT,17-26-132-0-1,17-28-222-1-0
Sacked-Yards,7-42,2-15
Net Pass Yards,90,207
Total Yards,178,280
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,1-5,5-33
Third Down Conv.,6-14,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:31,29:29
