Unnamed: 0,GNB,CHI
First Downs,18,14
Rush-Yds-TDs,37-160-1,17-55-0
Cmp-Att-Yd-TD-INT,18-25-212-1-0,21-35-297-1-0
Sacked-Yards,3-30,5-29
Net Pass Yards,182,268
Total Yards,342,323
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,5-35,8-78
Third Down Conv.,7-16,4-14
Fourth Down Conv.,1-1,0-1
Time of Possession,33:53,26:07
