Quarter,Time,Tm,Detail,JAX,ARI
1.0,2:45,Jaguars,David Garrard 16 yard rush (Josh Scobee kick),7,0
2.0,2:59,Jaguars,Josh Scobee 30 yard field goal,10,0
3.0,4:00,Cardinals,Neil Rackers 42 yard field goal,10,3
,3:43,Jaguars,Derrick Wimbush 91 yard kickoff return (Josh Scobee kick),17,3
4.0,13:34,Cardinals,Eric Edwards 1 yard pass from Kurt Warner (Neil Rackers kick),17,10
,4:20,Jaguars,Greg Jones 25 yard rush (Josh Scobee kick),24,10
,2:56,Cardinals,Larry Fitzgerald 5 yard pass from Kurt Warner (Neil Rackers kick),24,17
