Unnamed: 0,CLE,KAN
First Downs,24,21
Rush-Yds-TDs,26-153-4,23-73-1
Cmp-Att-Yd-TD-INT,21-28-321-0-1,27-36-337-3-0
Sacked-Yards,2-17,2-13
Net Pass Yards,304,324
Total Yards,457,397
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,5-30,5-36
Third Down Conv.,2-7,9-13
Fourth Down Conv.,3-4,0-0
Time of Possession,27:13,32:47
