0,1
Game Info,Game Info
Won Toss,Chiefs (deferred)
Roof,outdoors
Surface,grass
Duration,3:02
Attendance,72973
Weather,"88 degrees, relative humidity 43%, wind 8 mph"
Vegas Line,Kansas City Chiefs -5.5
Over/Under,54.5 (over)
