Quarter,Time,Tm,Detail,CLE,KAN
1.0,7:53,Browns,Nick Chubb 4 yard rush (Kareem Hunt run),8,0
,1:51,Chiefs,Harrison Butker 28 yard field goal,8,3
2.0,13:28,Browns,Jarvis Landry 5 yard rush (Chase McLaughlin kick),15,3
,6:30,Chiefs,Patrick Mahomes 5 yard rush (Harrison Butker kick),15,10
,2:55,Browns,Nick Chubb 18 yard rush (Chase McLaughlin kick),22,10
3.0,7:27,Chiefs,Travis Kelce 11 yard pass from Patrick Mahomes (Harrison Butker kick),22,17
,0:32,Chiefs,Harrison Butker 43 yard field goal,22,20
4.0,10:24,Browns,Kareem Hunt 2 yard rush (Chase McLaughlin kick),29,20
,10:10,Chiefs,Tyreek Hill 75 yard pass from Patrick Mahomes (Harrison Butker kick),29,27
,7:04,Chiefs,Travis Kelce 8 yard pass from Patrick Mahomes (pass failed),29,33
