Unnamed: 0,CAR,ARI
First Downs,21,19
Rush-Yds-TDs,20-95-0,28-90-1
Cmp-Att-Yd-TD-INT,21-39-308-0-3,19-28-175-1-3
Sacked-Yards,7-50,2-15
Net Pass Yards,258,160
Total Yards,353,250
Fumbles-Lost,1-1,0-0
Turnovers,4,3
Penalties-Yards,9-79,3-30
Third Down Conv.,5-12,4-12
Fourth Down Conv.,0-1,0-0
Time of Possession,31:04,28:56
