Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
1,7:27,1,10,ARI 20,3,0,"Carson Palmer pass incomplete short left intended for Larry Fitzgerald. Penalty on Captain Munnerlyn: Defensive Pass Interference, 4 yards (no play)",0.280,0.540
1,7:23,1,10,ARI 24,3,0,Andre Ellington up the middle for 11 yards (tackle by Michael Mitchell),0.540,1.270
1,6:46,1,10,ARI 35,3,0,Carson Palmer pass complete short middle to Alfonso Smith for 9 yards (tackle by Captain Munnerlyn and Drayton Florence),1.270,1.940
1,6:08,2,1,ARI 44,3,0,"Rashard Mendenhall up the middle for 2 yards (tackle by Captain Munnerlyn). Penalty on ARI: Illegal Formation, 5 yards (no play)",1.940,1.260
1,5:47,2,6,ARI 39,3,0,Andre Ellington left end for -1 yards (tackle by Luke Kuechly),1.260,0.430
1,5:07,3,7,ARI 38,3,0,Andre Ellington up the middle for 2 yards (tackle by Kawann Short),0.430,-0.720
1,4:36,4,5,ARI 40,3,0,"Dave Zastudil punts 48 yards, fair catch by Ted Ginn",-0.720,0.350
1,4:29,1,10,CAR 12,3,0,Cam Newton pass incomplete short left intended for Steve Smith,-0.350,-0.780
1,4:20,2,10,CAR 12,3,0,DeAngelo Williams up the middle for 7 yards (tackle by Karlos Dansby),-0.780,-0.600
1,3:43,3,3,CAR 19,3,0,Cam Newton left end for 5 yards (tackle by Yeremiah Bell),-0.600,0.540
1,3:02,1,10,CAR 24,3,0,"Cam Newton pass complete short middle to Steve Smith for 15 yards (tackle by Matt Shaughnessy). Penalty on Karlos Dansby: Roughing the Passer, 15 yards",0.540,2.520
1,2:34,1,10,ARI 46,3,0,DeAngelo Williams left end for -2 yards (tackle by Calais Campbell),2.520,1.710
1,1:51,2,12,ARI 48,3,0,Cam Newton pass complete short right to Brandon LaFell for 14 yards (tackle by Yeremiah Bell),1.710,3.310
1,1:05,1,10,ARI 34,3,0,Cam Newton sacked by Karlos Dansby for -9 yards,3.310,1.550
1,0:27,2,19,ARI 43,3,0,Cam Newton pass complete short middle to Ted Ginn for 14 yards (tackle by Tyrann Mathieu),1.550,2.740
Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,ARI 29,3,0,Cam Newton sacked by Karlos Dansby for -11 yards,2.740,0.590
2,14:23,4,16,ARI 40,3,0,"Brad Nortman punts 40 yards, touchback",0.590,-0.280
2,14:14,1,10,ARI 20,3,0,Rashard Mendenhall up the middle for 2 yards (tackle by Luke Kuechly),0.280,0.000
2,13:41,2,8,ARI 22,3,0,Carson Palmer sacked by Kawann Short and Mario Addison for -8 yards,0.000,-2.030
2,13:03,3,16,ARI 14,3,0,Carson Palmer pass complete short left to Michael Floyd for 15 yards (tackle by Captain Munnerlyn),-2.030,-1.440
2,12:35,4,1,ARI 29,3,0,"Dave Zastudil punts 56 yards, returned by Ted Ginn for 6 yards (tackle by Justin Bethel)",-1.440,-0.340
2,12:24,1,10,CAR 21,3,0,DeAngelo Williams up the middle for 1 yard (tackle by John Abraham),0.340,-0.070
2,11:45,2,9,CAR 22,3,0,Cam Newton pass incomplete short right intended for Greg Olsen,-0.070,-0.760
2,11:35,3,9,CAR 22,3,0,Cam Newton sacked by Tyrann Mathieu for -10 yards,-0.760,-2.490
2,11:17,4,19,CAR 12,3,0,"Brad Nortman punts 34 yards, out of bounds",-2.490,-2.520
2,11:07,1,10,CAR 46,3,0,Carson Palmer pass complete short middle to Michael Floyd for 5 yards (tackle by Chase Blackburn and Luke Kuechly),2.520,2.650
2,10:34,2,5,CAR 41,3,0,Carson Palmer pass complete deep middle to Michael Floyd for 22 yards (tackle by Michael Mitchell),2.650,4.310
2,9:56,1,10,CAR 19,3,0,"Andre Ellington up the middle for 6 yards (tackle by Luke Kuechly). Penalty on Daryn Colledge: Offensive Holding, 10 yards (no play)",4.310,3.640
2,9:31,1,20,CAR 29,3,0,Carson Palmer pass complete short left to Rashard Mendenhall for 5 yards (tackle by Luke Kuechly),3.640,3.090
2,8:48,2,15,CAR 24,3,0,Carson Palmer pass incomplete short middle intended for Rob Housler,3.090,2.410
2,8:44,3,15,CAR 24,3,0,Carson Palmer pass incomplete deep left intended for Larry Fitzgerald (defended by Michael Mitchell),2.410,1.870
2,8:34,4,15,CAR 24,3,3,Jay Feely 42 yard field goal good. Penalty on Armond Smith: Defensive Offside (Declined),1.870,3.000
2,8:34,,,ARI 35,3,3,"Jay Feely kicks off 65 yards, touchback",0.000,-0.280
2,8:29,1,10,CAR 20,3,3,Cam Newton pass incomplete short right intended for Brandon LaFell (defended by Patrick Peterson),0.280,-0.270
2,8:25,2,10,CAR 20,3,3,Cam Newton up the middle for 9 yards (tackle by Tony Jefferson),-0.270,0.230
2,7:41,3,1,CAR 29,3,3,Mike Tolbert right end for 8 yards (tackle by Daryl Washington),0.230,1.400
2,7:00,1,10,CAR 37,3,3,Cam Newton pass complete short left to DeAngelo Williams for 19 yards (tackle by Dan Williams),1.400,2.650
2,6:11,1,10,ARI 44,3,3,Cam Newton pass complete short left to Mike Tolbert for 9 yards (tackle by Karlos Dansby),2.650,3.330
2,5:26,2,1,ARI 35,3,3,Cam Newton right end for 11 yards (tackle by Jerraud Powers),3.330,3.970
2,4:37,1,10,ARI 24,3,3,DeAngelo Williams for 9 yards (tackle by Tyrann Mathieu),3.970,4.850
2,3:48,2,1,ARI 15,3,3,Mike Tolbert up the middle for no gain (tackle by Karlos Dansby),4.850,4.170
2,3:03,3,1,ARI 15,3,3,Cam Newton up the middle for no gain (tackle by Daryl Washington),4.170,2.590
2,2:18,4,1,ARI 15,3,3,Cam Newton pass incomplete short middle intended for Brandon LaFell,2.590,0.220
2,2:12,1,10,ARI 15,3,3,Carson Palmer sacked by Charles Johnson for -7 yards,-0.220,-1.290
2,2:00,2,17,ARI 8,3,3,Carson Palmer pass incomplete deep right intended for Michael Floyd,-1.290,-2.240
2,1:53,3,17,ARI 8,3,3,Carson Palmer pass complete short middle to Andre Ellington for 7 yards (tackle by Greg Hardy),-2.240,-2.240
2,1:47,3,17,ARI 8,3,3,Timeout #1 by Carolina Panthers,-2.240,-2.440
2,1:47,4,10,ARI 15,3,3,"Dave Zastudil punts 55 yards, fair catch by Ted Ginn",-2.440,-0.940
2,1:40,1,10,CAR 30,3,3,Cam Newton pass complete short middle to Ted Ginn for 32 yards (tackle by Tony Jefferson),0.940,3.050
2,1:16,1,10,ARI 38,3,3,Cam Newton pass complete short right to Greg Olsen for 5 yards,3.050,3.180
2,1:11,2,5,ARI 33,3,3,Cam Newton pass incomplete deep right intended for Steve Smith is intercepted by Patrick Peterson at ARI-1 and returned for 43 yards (tackle by Jordan Gross),3.180,-1.860
2,0:54,1,10,ARI 44,3,3,Carson Palmer pass complete deep right to Larry Fitzgerald for 18 yards (tackle by Michael Mitchell),1.860,1.860
2,0:48,1,10,ARI 44,3,3,Timeout #2 by Arizona Cardinals,1.860,3.050
2,0:48,1,10,CAR 38,3,3,Carson Palmer pass incomplete short left intended for Rob Housler,3.050,2.510
2,0:45,2,10,CAR 38,3,3,Carson Palmer pass complete short right to Andre Ellington for 15 yards,2.510,4.040
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,0:38,1,10,CAR 23,3,3,Carson Palmer pass incomplete deep middle intended for Larry Fitzgerald is intercepted by Michael Mitchell at CAR-0,4.040,-0.280
2,0:32,1,10,CAR 20,3,3,Mike Tolbert right tackle for 20 yards (tackle by Tony Jefferson),0.280,0.280
2,0:25,1,10,CAR 20,3,3,Timeout #2 by Carolina Panthers,0.280,1.600
2,0:25,1,10,CAR 40,3,3,Cam Newton pass complete short right to Brandon LaFell for 13 yards,1.600,2.460
2,0:19,1,10,ARI 47,3,3,Cam Newton pass complete short right to Greg Olsen for 24 yards (tackle by Yeremiah Bell),2.460,4.040
2,0:12,1,10,ARI 23,3,3,Cam Newton pass incomplete deep middle intended for Brandon LaFell,4.040,4.040
2,0:07,1,10,ARI 23,3,3,Timeout #3 by Arizona Cardinals,4.040,3.500
2,0:07,2,10,ARI 23,3,3,"Graham Gano 41 yard field goal good. Penalty on Ben Hartsock: Offensive Holding, 10 yards (no play)",3.500,2.150
2,0:02,2,20,ARI 33,6,3,Graham Gano 51 yard field goal good,2.150,3.000
Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,6,3,"Jay Feely kicks off no gain, returned by Ted Ginn for 25 yards (tackle by Antoine Cason)",0.000,0.280
3,14:55,1,10,CAR 20,6,3,DeAngelo Williams up the middle for no gain (tackle by John Abraham),0.280,-0.270
3,14:19,2,10,CAR 20,6,3,Cam Newton pass incomplete short right intended for Steve Smith (defended by Patrick Peterson),-0.270,-0.960
3,14:15,3,10,CAR 20,6,3,Cam Newton pass complete short left to Ted Ginn for 21 yards (tackle by Karlos Dansby),-0.960,1.660
3,13:30,1,10,CAR 41,6,3,Cam Newton pass incomplete short left intended for Kenjon Barner,1.660,1.120
3,13:23,2,10,CAR 41,6,3,"Cam Newton left tackle for 3 yards (tackle by Matt Shaughnessy). Penalty on Amini Silatolu: Offensive Holding, 10 yards (no play)",1.120,-0.230
3,12:55,2,20,CAR 31,6,3,Cam Newton pass complete short left to DeAngelo Williams for 11 yards (tackle by Karlos Dansby),-0.230,0.560
3,12:09,3,9,CAR 42,6,3,Cam Newton sacked by Daryl Washington for -5 yards,0.560,-0.910
3,11:35,4,14,CAR 37,6,3,"Brad Nortman punts 58 yards, returned by Patrick Peterson for 10 yards (tackle by Richie Brockel)",-0.910,0.220
3,11:23,1,10,ARI 15,6,3,Carson Palmer pass complete short left to Larry Fitzgerald for 6 yards (tackle by Josh Thomas),-0.220,0.210
3,10:56,2,4,ARI 21,6,3,Carson Palmer pass complete short middle to Jim Dray for 6 yards (tackle by Luke Kuechly),0.210,0.740
3,10:22,1,10,ARI 27,6,3,Rashard Mendenhall up the middle for 2 yards (tackle by Robert Lester),0.740,0.470
3,9:47,2,8,ARI 29,6,3,Rashard Mendenhall right tackle for 1 yard (tackle by Star Lotulelei),0.470,-0.100
3,9:05,3,7,ARI 30,6,3,"Carson Palmer pass complete short right to Andre Ellington for 8 yards (tackle by Michael Mitchell). Penalty on Michael Mitchell: Personal Foul, 15 yards",-0.100,2.460
3,8:46,1,10,CAR 47,6,3,"Carson Palmer pass complete short left to Patrick Peterson for 8 yards (tackle by Josh Thomas). Penalty on Drayton Florence: Defensive Holding, 5 yards (no play)",2.460,2.790
3,8:22,1,10,CAR 42,6,3,Rashard Mendenhall up the middle for 4 yards (tackle by Melvin White),2.790,2.780
3,8:22,2,6,CAR 38,6,3,Andre Ellington for 26 yards (tackle by Josh Thomas),2.780,4.780
3,7:14,1,10,CAR 12,6,3,Rashard Mendenhall up the middle for 5 yards (tackle by Thomas Davis and Kawann Short),4.780,5.020
3,6:35,2,5,CAR 7,6,3,Rashard Mendenhall left end for 6 yards (tackle by Captain Munnerlyn),5.020,6.970
3,5:52,1,1,CAR 1,6,9,"Rashard Mendenhall left tackle for 1 yard, touchdown",6.970,7.000
3,5:52,,,CAR 2,6,10,"Jay Feely kicks extra point good. Penalty on CAR: Illegal Formation, 5 yards",0.000,0.000
3,5:52,,,ARI 40,6,10,"Jay Feely kicks off 60 yards, touchback. Penalty on Jordan Senn: Personal Foul, 10 yards",0.000,0.380
3,5:48,1,10,CAR 10,6,10,"Cam Newton pass complete short left to Steve Smith for 12 yards (tackle by Patrick Peterson). Penalty on Steve Smith: Offensive Pass Interference, 5 yards (no play)",-0.380,-0.570
3,5:33,1,15,CAR 5,6,12,"Cam Newton sacked by Calais Campbell for -5 yards, safety",-0.570,-2.000
3,5:33,,,CAR 20,6,12,"Brad Nortman kicks off 62 yards, returned by Patrick Peterson for 18 yards (tackle by A.J. Klein)",0.000,-1.330
3,5:21,1,10,ARI 36,6,12,Rashard Mendenhall up the middle for 7 yards (tackle by Thomas Davis),1.330,1.740
3,4:42,2,3,ARI 43,6,12,Rashard Mendenhall up the middle for 5 yards (tackle by Kawann Short),1.740,2.130
3,4:06,1,10,ARI 48,6,12,Carson Palmer pass complete short middle to Alfonso Smith for 6 yards (tackle by Captain Munnerlyn),2.130,2.390
3,3:27,2,4,CAR 46,6,12,Alfonso Smith left tackle for -2 yards (tackle by Kawann Short),2.390,1.420
3,2:46,3,6,CAR 48,6,12,Carson Palmer pass incomplete short middle intended for Larry Fitzgerald is intercepted by Luke Kuechly at CAR-41 and returned for 30 yards,1.420,-3.640
3,2:37,1,10,ARI 29,6,12,DeAngelo Williams up the middle for 3 yards (tackle by Matt Shaughnessy),3.640,3.510
3,1:55,2,7,ARI 26,6,12,Cam Newton pass incomplete deep right intended for Steve Smith,3.510,2.810
3,1:46,3,7,ARI 26,6,12,Cam Newton pass complete short right to Steve Smith for 8 yards (tackle by Tyrann Mathieu),2.810,4.370
,,,,,,,"CAR challenged the runner was in bounds ruling, and the original play was overturned.",,
3,1:23,1,10,ARI 18,6,12,DeAngelo Williams right end for 2 yards (tackle by Calais Campbell),4.370,4.090
3,0:43,2,8,ARI 16,6,12,Cam Newton pass complete short right to Kenjon Barner for 5 yards (tackle by Darnell Dockett),4.090,4.260
Quarter,Time,Down,ToGo,Location,CAR,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,ARI 11,6,12,Cam Newton pass incomplete short right intended for Steve Smith is intercepted by Daryl Washington at ARI-9 and returned for 41 yards (tackle by Cam Newton),4.260,-2.260
4,14:49,1,10,,6,12,Rashard Mendenhall up the middle for 2 yards (tackle by Luke Kuechly),2.260,1.980
4,14:10,2,8,CAR 48,6,12,Carson Palmer pass complete short middle to Rashard Mendenhall for 2 yards (tackle by Josh Thomas),1.980,1.550
4,13:25,3,6,CAR 46,6,12,Carson Palmer pass incomplete short left intended for Andre Roberts,1.550,0.200
4,13:20,4,6,CAR 46,6,12,Dave Zastudil punts 40 yards,0.200,0.380
4,13:11,1,10,CAR 6,6,12,DeAngelo Williams up the middle for 4 yards (tackle by Ronald Talley),-0.380,-0.490
4,12:31,2,6,CAR 10,6,12,DeAngelo Williams right tackle for 9 yards (tackle by Patrick Peterson),-0.490,0.150
4,11:48,1,10,CAR 19,6,12,Cam Newton pass incomplete deep left intended for Ted Ginn (defended by Jerraud Powers),0.150,-0.390
4,11:41,2,10,CAR 19,6,12,Mike Tolbert up the middle for 3 yards (tackle by Yeremiah Bell and Daryl Washington),-0.390,-0.680
4,10:55,3,7,CAR 22,6,12,Cam Newton sacked by Daryl Washington for -2 yards,-0.680,-2.030
4,10:11,4,9,CAR 20,6,12,"Brad Nortman punts 63 yards, returned by Patrick Peterson for 10 yards (tackle by Mario Addison)",-2.030,-0.740
4,10:01,1,10,ARI 27,6,12,Carson Palmer pass complete short right to Andre Ellington for 1 yard (tackle by Robert Lester),0.740,0.330
4,9:21,2,9,ARI 28,6,12,Carson Palmer pass complete short left to Michael Floyd for 10 yards (tackle by Josh Thomas),0.330,1.470
4,8:42,1,10,ARI 38,6,12,Andre Ellington right end for 2 yards (tackle by Luke Kuechly),1.470,1.190
4,8:02,2,8,ARI 40,6,12,Andre Ellington up the middle for 2 yards (tackle by Greg Hardy),1.190,0.760
4,7:20,3,6,ARI 42,6,12,Carson Palmer pass complete short middle to Michael Floyd for 9 yards (tackle by Robert Lester). Penalty on Captain Munnerlyn: Defensive Holding (Declined),0.760,2.320
4,6:53,1,10,CAR 49,6,12,Rashard Mendenhall up the middle for 1 yard (tackle by Chase Blackburn),2.320,1.920
4,6:12,2,9,CAR 48,6,12,Andre Ellington left end for 10 yards (tackle by Thomas Davis),1.920,3.050
4,5:28,1,10,CAR 38,6,12,Rashard Mendenhall up the middle for no gain (tackle by Michael Mitchell),3.050,2.510
4,5:28,2,10,CAR 38,6,12,Rashard Mendenhall right end for 1 yard (tackle by Josh Thomas),2.510,1.950
4,4:00,3,9,CAR 37,6,12,Carson Palmer pass complete short right to Alfonso Smith for 5 yards (tackle by Luke Kuechly and Josh Thomas),1.950,1.950
4,3:43,3,9,CAR 37,6,12,Timeout #1 by Carolina Panthers,1.950,1.270
4,3:42,4,4,CAR 32,6,15,Jay Feely 50 yard field goal good,1.270,3.000
4,,,,ARI 35,,,"Jay Feely kicks off 72 yards, returned by Ted Ginn for 38 yards (tackle by Justin Bethel)",,
4,3:29,1,10,CAR 31,6,15,Cam Newton pass complete short middle to Steve Smith for 18 yards (tackle by Tyrann Mathieu),1.000,2.190
4,3:07,1,10,CAR 49,6,15,Cam Newton pass incomplete deep right intended for Armanti Edwards (defended by Jerraud Powers),2.190,1.650
4,3:02,2,10,CAR 49,6,15,Cam Newton pass complete short left to Ted Ginn for 11 yards (tackle by Daryl Washington),1.650,2.920
4,2:55,1,10,ARI 40,6,15,Cam Newton pass incomplete deep right intended for Brandon LaFell,2.920,2.370
4,2:48,2,10,ARI 40,6,15,"Cam Newton sacked by Calais Campbell for -7 yards. Cam Newton fumbles (forced by Calais Campbell), recovered by Antoine Cason at ARI-48 and returned for 43 yards (tackle by Cam Newton)",2.370,-5.140
4,2:38,1,9,CAR 9,6,15,Rashard Mendenhall up the middle for 2 yards (tackle by Greg Hardy),5.140,4.760
4,2:31,2,7,CAR 7,6,15,Rashard Mendenhall up the middle for no gain (tackle by Star Lotulelei),4.760,4.760
4,2:28,2,7,CAR 7,6,15,Timeout #2 by Carolina Panthers,4.760,3.810
4,2:28,3,7,CAR 7,6,21,"Carson Palmer pass complete short middle to Jim Dray for 7 yards, touchdown",3.810,7.000
4,2:28,,,CAR 2,6,22,Jay Feely kicks extra point good,0.000,0.000
4,2:28,,,ARI 35,6,22,"Jay Feely kicks off 65 yards, touchback",0.000,-0.280
4,2:22,1,10,CAR 20,6,22,Cam Newton pass incomplete short right intended for Brandon LaFell,0.280,-0.270
4,2:20,2,10,CAR 20,6,22,Cam Newton pass incomplete short middle intended for DeAngelo Williams,-0.270,-0.960
4,2:13,3,10,CAR 20,6,22,Cam Newton pass complete short middle to Steve Smith for 19 yards (tackle by Tony Jefferson),-0.960,1.530
4,2:00,1,10,CAR 39,6,22,Cam Newton pass incomplete short middle intended for Armanti Edwards,1.530,0.990
4,1:54,2,10,CAR 39,6,22,Cam Newton pass incomplete is intercepted by Karlos Dansby at CAR-46 and returned for 3 yards (tackle by Jordan Gross),0.990,-2.720
4,1:47,1,10,CAR 43,6,22,Carson Palmer kneels for -1 yards,2.720,2.040
4,1:03,2,11,CAR 44,6,22,Carson Palmer kneels for -1 yards,2.040,1.220
4,0:28,3,12,CAR 45,6,22,Carson Palmer kneels for -1 yards,1.220,0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
