Quarter,Time,Tm,Detail,PHI,SDG
1.0,7:52,Chargers,Mike Tolbert 20 yard pass from Philip Rivers (Nate Kaeding kick),0,7
2.0,11:01,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),0,14
,6:38,Eagles,David Akers 18 yard field goal,3,14
,0:08,Eagles,David Akers 25 yard field goal,6,14
3.0,8:01,Chargers,LaDainian Tomlinson 20 yard rush (Nate Kaeding kick),6,21
,5:51,Eagles,David Akers 25 yard field goal,9,21
,1:13,Chargers,Legedu Naanee 20 yard pass from Philip Rivers (Nate Kaeding kick),9,28
4.0,14:12,Eagles,Jeremy Maclin 5 yard pass from Donovan McNabb (David Akers kick),16,28
,7:12,Eagles,Brent Celek 6 yard pass from Donovan McNabb (David Akers kick),23,28
,0:30,Chargers,Nate Kaeding 29 yard field goal,23,31
