Unnamed: 0,PHI,SDG
First Downs,26,22
Rush-Yds-TDs,13-29-0,28-119-2
Cmp-Att-Yd-TD-INT,35-56-450-2-1,20-25-231-2-0
Sacked-Yards,2-17,2-19
Net Pass Yards,433,212
Total Yards,462,331
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,9-70,3-31
Third Down Conv.,5-13,3-8
Fourth Down Conv.,1-1,0-0
Time of Possession,29:37,30:23
