Quarter,Time,Down,ToGo,Location,PHI,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 68 yards, returned by Darren Sproles for 27 yards (tackle by Jason Avant)",0.000,0.870
1,14:52,1,10,SDG 29,0,0,Philip Rivers pass complete short left to Antonio Gates for 9 yards (tackle by Juqua Parker),0.870,1.540
1,14:17,2,1,SDG 38,0,0,Philip Rivers pass complete short left to Antonio Gates for 16 yards (tackle by Sheldon Brown),1.540,2.520
1,13:35,1,10,PHI 46,0,0,LaDainian Tomlinson left end for 2 yards (tackle by Moise Fokou),2.520,2.250
1,13:12,2,8,PHI 44,0,0,LaDainian Tomlinson right end for 2 yards (tackle by Juqua Parker and Quintin Mikell),2.250,1.820
1,12:29,3,6,PHI 42,0,0,Philip Rivers sacked by Darren Howard and Victor Abiamiri for -12 yards,1.820,-0.320
1,12:12,4,18,SDG 46,0,0,"Mike Scifres punts 47 yards, returned by DeSean Jackson for 3 yards (tackle by James Holt). Penalty on Jeremiah Trotter: Offensive Holding, 5 yards",-0.320,0.380
1,12:05,1,10,PHI 5,0,0,Brian Westbrook middle for 2 yards (tackle by Brandon Siler and Luis Castillo),-0.380,-0.630
1,11:33,2,8,PHI 7,0,0,Brian Westbrook middle for 4 yards (tackle by Ian Scott),-0.630,-0.720
1,10:51,3,4,PHI 11,0,0,Donovan McNabb pass complete short left to Brent Celek for -1 yards (tackle by Kevin Burnett),-0.720,-2.490
1,10:05,4,5,PHI 10,0,0,Saverio Rocca punts 30 yards,-2.490,-2.920
1,10:01,1,10,PHI 40,0,0,LaDainian Tomlinson middle for 4 yards (tackle by Jason Babin),2.920,2.910
1,9:27,2,6,PHI 36,0,0,Philip Rivers pass complete short right to Antonio Gates for 6 yards (tackle by Quintin Mikell),2.910,3.580
1,8:48,1,10,PHI 30,0,0,Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Quintin Mikell),3.580,3.030
1,8:42,2,10,PHI 30,0,0,Legedu Naanee left end for 10 yards (tackle by Victor Harris),3.030,4.240
1,8:04,1,10,PHI 20,0,0,Philip Rivers pass incomplete,4.240,3.690
1,7:58,2,10,PHI 20,0,6,"Philip Rivers pass complete short middle to Mike Tolbert for 20 yards, touchdown",3.690,7.000
1,,,,PHI 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,0,7,"Nate Kaeding kicks off 66 yards, returned by Jeremy Maclin for 21 yards (tackle by Antoine Cason)",0.000,0.610
1,7:47,1,10,PHI 25,0,7,Donovan McNabb pass complete short right to DeSean Jackson for 6 yards (tackle by Steve Gregory),0.610,0.870
1,7:09,2,4,PHI 31,0,7,Donovan McNabb pass incomplete short right intended for Brent Celek,0.870,0.170
1,7:05,3,4,PHI 31,0,7,Donovan McNabb pass complete short left to Reggie Brown for 19 yards (tackle by Stephen Cooper),0.170,2.260
1,6:22,1,10,,0,7,Jeremy Maclin left end for -6 yards (tackle by Shaun Phillips),2.260,0.900
1,5:34,2,16,PHI 44,0,7,Donovan McNabb pass incomplete deep middle intended for Reggie Brown,0.900,0.230
1,5:27,3,16,PHI 44,0,7,Donovan McNabb pass complete short right to DeSean Jackson for 8 yards (tackle by Quentin Jammer),0.230,0.070
1,4:39,4,8,SDG 48,0,7,"Saverio Rocca punts 40 yards, returned by Darren Sproles for no gain",0.070,0.380
1,4:29,1,10,SDG 8,0,7,LaDainian Tomlinson middle for 1 yard (tackle by Brodrick Bunkley),-0.380,-0.710
1,3:48,2,9,SDG 9,0,7,LaDainian Tomlinson right end for 6 yards (tackle by Sean Jones),-0.710,-0.600
1,3:09,,,,0,7,Timeout #1 by San Diego Chargers,0.000,-0.600
1,3:09,3,3,SDG 15,0,7,Philip Rivers pass incomplete short right intended for Vincent Jackson (defended by Quintin Mikell),-0.600,-2.440
1,3:02,4,3,SDG 15,0,7,"Mike Scifres punts 42 yards, returned by DeSean Jackson for 3 yards (tackle by Kassim Osgood). Penalty on Tracy White: Illegal Block Above the , 10 yards",-2.440,-1.330
1,2:52,1,10,PHI 36,0,7,Leonard Weaver middle for 2 yards (tackle by Kevin Ellison and Brandon Siler),1.330,1.060
1,2:10,2,8,PHI 38,0,7,Michael Vick pass incomplete deep middle intended for DeSean Jackson,1.060,0.370
1,2:03,3,8,PHI 38,0,7,Donovan McNabb pass incomplete deep left intended for Reggie Brown,0.370,-0.850
1,1:57,4,8,PHI 38,0,7,"Saverio Rocca punts 52 yards, returned by Darren Sproles for 8 yards (tackle by Sean Jones)",-0.850,-0.040
1,1:45,1,10,SDG 18,0,7,LaDainian Tomlinson right end for 6 yards (tackle by Chris Gocong and Sean Jones),0.040,0.410
1,1:17,2,4,SDG 24,0,7,Philip Rivers pass complete short middle to Antonio Gates for 6 yards (tackle by Moise Fokou and Chris Gocong),0.410,0.940
1,0:40,1,10,SDG 30,0,7,Philip Rivers pass complete short right to Darren Sproles for 6 yards (tackle by Sean Jones),0.940,1.200
Quarter,Time,Down,ToGo,Location,PHI,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,SDG 36,0,7,"Philip Rivers pass incomplete short left intended for Brandon Manumaleuna. Penalty on Juqua Parker: Defensive Offside, 5 yards (no play)",1.200,1.660
2,14:56,1,10,SDG 41,0,7,LaDainian Tomlinson right tackle for 5 yards (tackle by Brodrick Bunkley),1.660,1.800
2,14:16,2,5,SDG 46,0,7,Philip Rivers pass complete short right to Malcom Floyd for 9 yards (tackle by Asante Samuel),1.800,2.590
2,13:38,1,10,PHI 45,0,7,LaDainian Tomlinson right tackle for 6 yards (tackle by Quintin Mikell),2.590,2.850
2,12:59,2,4,PHI 39,0,7,Darren Sproles middle for 14 yards (tackle by Victor Harris),2.850,3.910
2,12:16,1,10,PHI 25,0,7,Philip Rivers pass complete deep left to Malcom Floyd for 22 yards,3.910,6.510
2,11:46,,,,0,7,Timeout #2 by San Diego Chargers,0.000,6.510
2,11:46,1,3,PHI 3,0,7,LaDainian Tomlinson middle for no gain (tackle by Darren Howard),6.510,5.530
2,11:05,2,3,PHI 3,0,13,"LaDainian Tomlinson middle for 3 yards, touchdown",5.530,7.000
2,,,,PHI 2,0,14,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,0,14,"Nate Kaeding kicks off 71 yards, returned by Jeremy Maclin for 23 yards (tackle by James Holt)",0.000,0.410
2,10:56,1,10,PHI 22,0,14,Donovan McNabb pass complete short middle to Jeremy Maclin for 4 yards (tackle by Kevin Burnett and Stephen Cooper),0.410,0.410
2,10:22,2,6,PHI 26,0,14,Donovan McNabb pass complete short right to DeSean Jackson for 22 yards (tackle by Kevin Ellison),0.410,2.130
2,9:37,1,10,PHI 48,0,14,Donovan McNabb pass incomplete short left intended for Reggie Brown (defended by Antonio Cromartie),2.130,1.580
2,9:33,2,10,PHI 48,0,14,Donovan McNabb pass complete short middle to Jason Avant for 14 yards (tackle by Kevin Burnett),1.580,3.050
2,8:55,1,10,SDG 38,0,14,Donovan McNabb pass complete deep left to Jason Avant for 27 yards (tackle by Eric Weddle),3.050,4.840
2,8:15,1,10,SDG 11,0,14,"Donovan McNabb pass incomplete short middle intended for Jeremy Maclin. Penalty on Quentin Jammer: Defensive Pass Interfere, 10 yards (no play)",4.840,6.970
2,8:10,1,1,SDG 1,0,14,Leonard Weaver middle for no gain (tackle by Kevin Burnett),6.970,5.910
2,7:30,2,1,SDG 1,0,14,Donovan McNabb pass incomplete short left intended for Brent Celek,5.910,5.170
2,7:24,3,1,SDG 1,0,14,Eldra Buckley middle for no gain (tackle by Kevin Burnett),5.170,3.550
2,6:39,4,1,SDG 1,3,14,David Akers 18 yard field goal good,3.550,3.000
2,,,,PHI 30,3,14,"David Akers kicks off 62 yards, returned by Darren Sproles for 16 yards (tackle by Joe Mays)",0.000,0.540
2,6:33,1,10,SDG 24,3,14,LaDainian Tomlinson left tackle for 5 yards (tackle by Brodrick Bunkley and Moise Fokou),0.540,0.670
2,5:52,2,5,SDG 29,3,14,Philip Rivers pass complete short right to Legedu Naanee for 4 yards (tackle by Will Witherspoon),0.670,0.500
