Quarter,Time,Down,ToGo,Location,PIT,OAK,Detail,EPB,EPA
1,8:38,2,10,PIT 41,0,7,Ben Roethlisberger pass complete short left to Jaylen Samuels for 4 yards (tackle by Jason Cabinda),1.120,0.960
1,7:54,3,6,PIT 45,0,7,Ben Roethlisberger pass incomplete short middle intended for JuJu Smith-Schuster (defended by Tahir Whitehead) (defended by Nicholas Morrow),0.960,-0.390
1,7:49,4,6,PIT 45,0,7,Jordan Berry punts 45 yards downed by Darrius Heyward-Bey,-0.390,0.380
1,7:40,1,10,OAK 10,0,7,Doug Martin up the middle for 9 yards (tackle by Sean Davis and Bud Dupree),-0.380,0.240
1,7:03,2,1,OAK 19,0,7,Doug Martin left tackle for 1 yard (tackle by Javon Hargrave),0.240,0.280
1,6:22,1,10,OAK 20,0,7,"Derek Carr pass complete short right to Derek Carrier for 6 yards (tackle by Vince Williams). Penalty on Brandon Parker: Illegal Formation, 5 yards (no play)",0.280,-0.310
1,5:57,1,15,OAK 15,0,7,Derek Carr sacked by Stephon Tuitt for -10 yards,-0.310,-1.880
1,5:14,2,25,OAK 5,0,7,Jalen Richard up the middle for 4 yards (tackle by Javon Hargrave and Bud Dupree),-1.880,-2.710
1,4:37,3,21,OAK 9,0,7,Derek Carr pass complete short right to Seth Roberts for 10 yards (tackle by L.J. Fort),-2.710,-2.140
1,4:02,4,11,OAK 19,0,7,"Johnny Townsend punts 57 yards, returned by Ryan Switzer for 9 yards (tackle by Keith Smith and Marquel Lee)",-2.140,-1.140
1,3:48,1,10,PIT 33,0,7,Jaylen Samuels up the middle for 3 yards (tackle by Johnathan Hankins),1.140,1.000
1,3:06,2,7,PIT 36,0,7,Ben Roethlisberger pass complete short right to Jesse James for 22 yards (tackle by Karl Joseph and Tahir Whitehead),1.000,2.790
1,2:21,1,10,OAK 42,0,7,Ben Roethlisberger pass complete short middle to Jaylen Samuels for 6 yards (tackle by Tahir Whitehead),2.790,3.050
1,1:40,2,4,OAK 36,0,7,Ben Roethlisberger pass complete short right to James Washington for 6 yards (tackle by Rashaan Melvin),3.050,3.580
1,1:00,1,10,OAK 30,0,7,Stevan Ridley up the middle for 1 yard (tackle by Clinton McDonald and Kony Ealy),3.580,3.170
1,0:19,2,9,OAK 29,0,7,Ben Roethlisberger pass complete short right to Jaylen Samuels for 5 yards (tackle by Rashaan Melvin),3.170,3.140
Quarter,Time,Down,ToGo,Location,PIT,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,OAK 24,0,7,Ben Roethlisberger pass complete short middle to Vance McDonald for 8 yards (tackle by Marcus Gilchrist),3.140,4.510
2,14:25,1,10,OAK 16,0,7,Stevan Ridley up the middle for -1 yards (tackle by Justin Ellis),4.510,3.770
2,13:48,2,11,OAK 17,0,7,Ben Roethlisberger pass complete short left to Antonio Brown for 3 yards (tackle by Tahir Whitehead and Gareon Conley),3.770,3.370
2,13:04,3,8,OAK 14,0,7,Ben Roethlisberger pass complete short left to Antonio Brown for 12 yards (tackle by Gareon Conley),3.370,6.740
2,12:22,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,12:22,1,2,OAK 2,6,7,"Stevan Ridley up the middle for 2 yards, touchdown",6.740,7.000
2,12:18,,,OAK 15,7,7,Chris Boswell kicks extra point good,0.000,0.000
2,12:18,,,PIT 35,7,7,"Chris Boswell kicks off 58 yards, returned by Dwayne Harris for no gain (tackle by Darrius Heyward-Bey)",0.000,0.810
2,12:12,1,10,OAK 28,7,7,Derek Carr pass complete short middle to Jordy Nelson for 13 yards (tackle by Coty Sensabaugh),0.810,1.660
2,11:28,1,10,OAK 41,7,7,Doug Martin up the middle for no gain (tackle by Javon Hargrave),1.660,1.120
2,11:05,2,10,OAK 41,7,7,Derek Carr pass complete short left to Jared Cook for 12 yards (tackle by Morgan Burnett),1.120,2.460
2,10:38,1,10,PIT 47,7,7,Doug Martin left end for 2 yards (tackle by Sean Davis),2.460,2.180
2,9:56,2,8,PIT 45,7,7,Derek Carr pass incomplete short middle intended for Jared Cook (defended by Stephon Tuitt),2.180,1.490
2,9:53,3,8,PIT 45,7,7,Derek Carr pass complete short right to Jared Cook for 12 yards (tackle by Joe Haden and Morgan Burnett),1.490,3.380
2,9:25,1,10,PIT 33,7,7,Jalen Richard right tackle for 8 yards (tackle by Joe Haden),3.380,3.920
2,8:47,2,2,PIT 25,7,7,Jalen Richard up the middle for -1 yards (tackle by Mike Hilton),3.920,3.070
2,8:12,3,3,PIT 26,7,7,Derek Carr pass incomplete short left intended for Jordy Nelson,3.070,1.840
2,8:08,4,3,PIT 26,7,10,Daniel Carlson 44 yard field goal good,1.840,3.000
2,8:04,,,OAK 35,7,10,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,8:04,1,10,PIT 25,7,10,"Jaylen Samuels left tackle for 2 yards (tackle by Tahir Whitehead and Nicholas Morrow). Penalty on Tahir Whitehead: Face Mask (15 Yards), 15 yards",0.610,1.730
2,7:47,1,10,PIT 42,7,10,Ben Roethlisberger pass complete short middle to Jesse James for 6 yards (tackle by Tahir Whitehead and Erik Harris),1.730,2.000
2,7:05,2,4,PIT 48,7,10,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 14 yards (tackle by Erik Harris),2.000,3.050
2,6:22,1,10,OAK 38,7,10,"Ben Roethlisberger pass complete short middle to Jaylen Samuels for 7 yards (tackle by Tahir Whitehead). Penalty on Johnathan Hankins: Face Mask (15 Yards), 15 yards",3.050,4.510
2,6:01,1,10,OAK 16,7,10,Jaylen Samuels right end for 1 yard (tackle by Erik Harris and Marcus Gilchrist),4.510,4.050
2,5:19,2,9,OAK 15,7,10,Ben Roethlisberger pass incomplete short right intended for James Washington,4.050,3.220
2,5:15,3,9,OAK 15,7,10,Ben Roethlisberger sacked by Clinton McDonald for -6 yards,3.220,2.060
2,4:33,4,15,OAK 21,7,10,Chris Boswell 39 yard field goal no good,2.060,-0.870
2,4:29,1,10,OAK 29,7,10,"Penalty on Lee Smith: False Start, 5 yards (no play)",0.870,0.540
2,4:29,1,15,OAK 24,7,10,Doug Martin up the middle for 2 yards (tackle by Cameron Heyward),0.540,-0.080
2,4:09,2,13,OAK 26,7,10,"Penalty on Bud Dupree: Neutral Zone Infraction, 5 yards (no play)",-0.080,0.600
2,3:56,2,8,OAK 31,7,10,Derek Carr sacked by Mike Hilton for -6 yards,0.600,-0.890
2,3:09,3,14,OAK 25,7,10,Derek Carr pass incomplete short right intended for Seth Roberts (defended by T.J. Watt),-0.890,-1.700
2,3:07,4,14,OAK 25,7,10,"Johnny Townsend punts 51 yards, returned by Ryan Switzer for 8 yards (tackle by Erik Harris). Penalty on Erik Harris: Face Mask (15 Yards), 15 yards",-1.700,-2.060
2,2:57,1,10,PIT 47,7,10,Jaylen Samuels right tackle for 1 yard (tackle by Nicholas Morrow),2.060,1.650
2,2:16,2,9,PIT 48,7,10,Ben Roethlisberger pass complete deep right to JuJu Smith-Schuster for 20 yards (tackle by Rashaan Melvin),1.650,3.450
2,2:00,1,10,OAK 32,7,10,Ben Roethlisberger pass complete short middle to Vance McDonald for 19 yards (tackle by Marcus Gilchrist),3.450,4.710
2,1:23,1,10,OAK 13,7,10,Ben Roethlisberger pass complete short right to Antonio Brown for 1 yard (tackle by Rashaan Melvin),4.710,4.220
2,1:20,2,9,OAK 12,7,10,Ben Roethlisberger pass incomplete short middle intended for JuJu Smith-Schuster (defended by Karl Joseph),4.220,3.280
2,1:15,3,9,OAK 12,7,10,Ben Roethlisberger pass complete short middle to Vance McDonald for 10 yards (tackle by Marcus Gilchrist),3.280,6.740
2,0:33,1,2,OAK 2,7,10,Jaylen Samuels up the middle for no gain (tackle by Tahir Whitehead and Frostee Rucker),6.740,5.720
2,0:25,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,0:25,2,2,OAK 2,7,10,Ben Roethlisberger pass complete short left to Ryan Switzer for 1 yard (tackle by Gareon Conley),5.720,5.170
2,0:14,,,,,,Timeout #3 by Pittsburgh Steelers,,
2,0:14,3,1,OAK 1,13,10,"Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 1 yard, touchdown",5.170,7.000
2,0:10,,,OAK 15,14,10,Chris Boswell kicks extra point good,0.000,0.000
2,0:10,,,PIT 35,14,10,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,0:10,1,10,OAK 25,14,10,Derek Carr kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,PIT,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,14,10,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,PIT 25,14,10,Jaylen Samuels left tackle for 5 yards (tackle by Marquel Lee and Gareon Conley),0.610,0.740
3,14:19,2,5,PIT 30,14,10,"Joshua Dobbs left end for 5 yards (tackle by Marquel Lee). Penalty on Marquel Lee: Unnecessary Roughness, 15 yards",0.740,2.260
3,13:58,1,10,PIT 50,14,10,Jaylen Samuels right end for 9 yards (tackle by Johnathan Hankins),2.260,2.930
3,13:15,2,1,OAK 41,14,10,"Jaylen Samuels left end for no gain (tackle by Tahir Whitehead and Karl Joseph). Penalty on Jesse James: Offensive Holding, 9 yards (no play)",2.930,1.710
3,12:51,2,10,PIT 50,14,10,Joshua Dobbs pass incomplete short middle intended for JuJu Smith-Schuster,1.710,1.030
3,12:47,3,10,PIT 50,14,10,Joshua Dobbs pass incomplete short right intended for James Washington (defended by Daryl Worley),1.030,-0.060
3,12:41,4,10,PIT 50,14,10,"Jordan Berry punts 36 yards, fair catch by Dwayne Harris at OAK-14",-0.060,0.280
3,12:34,1,10,OAK 14,14,10,Derek Carr pass complete short left to Seth Roberts for 5 yards (tackle by Coty Sensabaugh),-0.280,-0.040
3,11:58,2,5,OAK 19,14,10,Derek Carr pass complete short middle to Jordy Nelson for 6 yards (tackle by Mike Hilton),-0.040,0.610
3,11:38,1,10,OAK 25,14,10,"Doug Martin left tackle for no gain (tackle by Stephon Tuitt). Penalty on Kolton Miller: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,11:19,1,20,OAK 15,14,10,Derek Carr sacked by Bud Dupree for -7 yards,-0.410,-2.020
3,10:35,2,27,OAK 8,14,10,Doug Martin right guard for 2 yards (tackle by T.J. Watt and Stephon Tuitt),-2.020,-3.180
3,10:03,3,25,OAK 10,14,10,Derek Carr pass complete short middle to Jared Cook for 10 yards (tackle by Mike Hilton and L.J. Fort),-3.180,-2.030
3,9:28,4,15,OAK 20,14,10,"Johnny Townsend punts 54 yards, returned by Ryan Switzer for 11 yards (tackle by Darren Waller)",-2.030,-1.400
3,9:18,1,10,PIT 37,14,10,Joshua Dobbs pass complete short right to JuJu Smith-Schuster for 12 yards (tackle by Rashaan Melvin),1.400,2.190
3,9:02,1,10,PIT 49,14,10,Jaylen Samuels right guard for 1 yard (tackle by Frostee Rucker),2.190,1.780
3,8:22,2,9,PIT 50,14,10,Joshua Dobbs pass complete short right to Jaylen Samuels for 6 yards (tackle by Arden Key),1.780,1.880
3,7:37,3,3,OAK 44,14,10,Jaylen Samuels right end for 2 yards (tackle by Arden Key and Erik Harris),1.880,0.460
3,6:53,,,,,,Timeout #1 by Pittsburgh Steelers,,
3,6:53,4,1,OAK 42,14,10,Joshua Dobbs pass complete short left to Vance McDonald for no gain (tackle by Tahir Whitehead),0.460,-1.730
3,6:44,1,10,OAK 42,14,10,"Derek Carr pass incomplete deep right intended for Jared Cook. Penalty on Jon Feliciano: Offensive Holding, 10 yards (no play)",1.730,1.070
3,6:39,1,20,OAK 32,14,10,Derek Carr pass complete short middle to Seth Roberts for 13 yards (tackle by Mike Hilton),1.070,1.590
3,6:01,2,7,OAK 45,14,10,Derek Carr pass complete short middle to Jared Cook for 19 yards (tackle by Terrell Edmunds),1.590,3.180
3,5:27,1,10,PIT 36,14,10,Doug Martin up the middle for no gain (tackle by T.J. Watt),3.180,2.640
3,4:46,2,10,PIT 36,14,10,Derek Carr pass complete deep middle to Derek Carrier for 23 yards (tackle by T.J. Watt and Terrell Edmunds),2.640,4.710
3,4:17,1,10,PIT 13,14,10,Doug Martin left tackle for 1 yard (tackle by Cameron Heyward),4.710,4.220
3,3:36,2,9,PIT 12,14,10,Doug Martin up the middle for no gain (tackle by Daniel McCullers and Cameron Heyward),4.220,3.280
3,2:55,3,9,PIT 12,14,10,"Derek Carr pass complete short middle to Jordy Nelson for 7 yards (tackle by Mike Hilton). Penalty on Brandon Parker: Offensive Holding, 10 yards (no play)",3.280,2.280
3,2:31,3,19,PIT 22,14,10,"Derek Carr sacked by. Derek Carr fumbles, recovered by Mike Hilton at PIT-16 (tackle by Gabe Jackson)",2.280,0.140
3,2:24,1,10,PIT 16,14,10,Stevan Ridley up the middle for 1 yard (tackle by Marquel Lee),-0.140,-0.510
3,1:45,2,9,PIT 17,14,10,Stevan Ridley right tackle for 1 yard (tackle by Johnathan Hankins and Clinton McDonald),-0.510,-1.070
3,1:01,3,8,PIT 18,14,10,Joshua Dobbs right end for 10 yards (tackle by Tahir Whitehead),-1.070,0.810
3,0:29,1,10,PIT 28,14,10,Joshua Dobbs pass incomplete short middle,0.810,0.260
3,0:21,2,10,PIT 28,14,10,Joshua Dobbs pass deep middle (defended by Gareon Conley) intended for Antonio Brown is intercepted by Tahir Whitehead at PIT-44 and returned for no gain,0.260,-2.650
3,0:12,1,10,PIT 44,14,10,Doug Martin right tackle for no gain (tackle by Bud Dupree),2.650,2.110
Quarter,Time,Down,ToGo,Location,PIT,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,PIT 44,14,10,Derek Carr pass incomplete deep right intended for Seth Roberts,2.110,1.420
4,14:56,3,10,PIT 44,14,10,"Penalty on Seth Roberts: False Start, 5 yards (no play)",1.420,0.760
4,14:56,3,15,PIT 49,14,10,Derek Carr pass incomplete short right intended for Marcell Ateman,0.760,0.000
4,14:49,4,15,PIT 49,14,10,"Johnny Townsend punts 32 yards, fair catch by Ryan Switzer at PIT-17. Penalty on Nick Nelson: Fair Catch Interference, 15 yards",0.000,-1.070
4,14:40,1,10,PIT 32,14,10,Joshua Dobbs pass complete short right to Antonio Brown for 6 yards (tackle by Rashaan Melvin),1.070,1.340
4,14:08,2,4,PIT 38,14,10,Jaylen Samuels right tackle for no gain (tackle by P.J. Hall and Nicholas Morrow),1.340,0.630
4,13:22,3,4,PIT 38,14,10,Joshua Dobbs pass incomplete short left intended for JuJu Smith-Schuster (defended by Gareon Conley),0.630,-0.850
4,13:17,4,4,PIT 38,14,10,"Jordan Berry punts 35 yards, fair catch by Dwayne Harris at OAK-27",-0.850,-0.740
4,13:10,1,10,OAK 27,14,10,Derek Carr pass complete short left to Jordy Nelson for 4 yards (tackle by Coty Sensabaugh),0.740,0.740
4,12:51,2,6,OAK 31,14,10,Derek Carr pass complete deep right to Marcell Ateman for 28 yards (tackle by L.J. Fort),0.740,2.850
4,12:17,1,10,PIT 41,14,10,"Penalty on Brandon Parker: False Start, 5 yards (no play)",2.850,2.520
4,11:54,1,15,PIT 46,14,10,Jalen Richard right guard for 2 yards (tackle by Cameron Heyward and Mike Hilton),2.520,1.900
4,11:13,2,13,PIT 44,14,10,Derek Carr pass complete short left to Jordy Nelson for 8 yards (tackle by Mike Hilton),1.900,2.280
4,10:29,3,5,PIT 36,14,10,Derek Carr pass complete short middle to Marcell Ateman for 7 yards (tackle by Joe Haden and Terrell Edmunds),2.280,3.640
4,9:51,1,10,PIT 29,14,10,Jalen Richard left guard for 2 yards (tackle by Tyson Alualu),3.640,3.370
4,9:14,2,8,PIT 27,14,10,Derek Carr pass incomplete short right,3.370,2.680
4,9:08,3,8,PIT 27,14,10,Derek Carr pass complete short left to Jordy Nelson for 7 yards (tackle by Sean Davis),2.680,2.270
4,8:24,4,1,PIT 20,14,10,Jalen Richard left tackle for 5 yards (tackle by Cameron Heyward),2.270,4.580
4,7:36,1,10,PIT 15,14,10,Jalen Richard left tackle for 3 yards (tackle by Vince Williams and Terrell Edmunds),4.580,4.450
4,6:56,2,7,PIT 12,14,10,Derek Carr pass incomplete short left intended for Jared Cook,4.450,3.580
4,6:53,3,7,PIT 12,14,10,Derek Carr pass complete short middle to Jordy Nelson for 10 yards (tackle by Joe Haden),3.580,6.740
4,6:08,1,2,PIT 2,14,10,Doug Martin up the middle for -1 yards (tackle by Stephon Tuitt),6.740,5.530
4,5:25,2,3,PIT 3,14,16,"Derek Carr pass complete short left to Lee Smith for 3 yards, touchdown",5.530,7.000
4,5:20,,,PIT 15,14,17,Daniel Carlson kicks extra point good,0.000,0.000
4,5:20,,,OAK 35,14,17,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,5:20,1,10,PIT 25,14,17,Ben Roethlisberger pass complete short middle to Antonio Brown for 13 yards (tackle by Tahir Whitehead and Karl Joseph),0.610,1.470
4,4:47,1,10,PIT 38,14,17,Ben Roethlisberger pass complete short right to Jaylen Samuels for 13 yards (tackle by Marcus Gilchrist),1.470,2.320
4,4:38,1,10,OAK 49,14,17,"Ben Roethlisberger pass incomplete deep left intended for JuJu Smith-Schuster. Penalty on Gareon Conley: Defensive Holding, 5 yards (no play)",2.320,2.650
4,4:32,1,10,OAK 44,14,17,Ben Roethlisberger pass complete short right to Jaylen Samuels for 23 yards (tackle by Erik Harris),2.650,4.170
4,3:52,1,10,OAK 21,14,17,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 12 yards (tackle by Erik Harris),4.170,5.140
4,3:47,1,9,OAK 9,14,17,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 8 yards (tackle by Rashaan Melvin and Erik Harris),5.140,5.910
4,2:59,2,1,OAK 1,20,17,"Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 1 yard, touchdown",5.910,7.000
4,2:55,,,OAK 15,21,17,Chris Boswell kicks extra point good,0.000,0.000
4,2:55,,,PIT 35,21,17,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
4,2:55,1,10,OAK 25,21,17,Derek Carr pass complete short left to Jalen Richard for 5 yards (tackle by Morgan Burnett and Cameron Heyward),0.610,0.740
4,2:29,2,5,OAK 30,21,17,Derek Carr pass complete short middle to Marcell Ateman for 10 yards (tackle by Coty Sensabaugh),0.740,1.600
4,2:05,1,10,OAK 40,21,17,Derek Carr pass complete short right to Jared Cook for 14 yards (tackle by Mike Hilton),1.600,2.520
4,1:59,1,10,PIT 46,21,17,Derek Carr pass complete deep middle to Seth Roberts for 39 yards (tackle by Terrell Edmunds),2.520,5.600
4,1:16,1,7,PIT 7,21,17,Jalen Richard left guard for 1 yard (tackle by Anthony Chickillo),5.600,4.950
4,0:34,2,6,PIT 6,21,17,Derek Carr pass incomplete short right,4.950,4.040
4,0:30,3,6,PIT 6,21,17,Derek Carr pass incomplete short left intended for Jared Cook (defended by Morgan Burnett),4.040,2.990
4,0:25,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,0:25,4,6,PIT 6,21,23,"Derek Carr pass complete short left to Derek Carrier for 6 yards, touchdown",2.990,7.000
4,0:21,,,PIT 15,21,24,Daniel Carlson kicks extra point good,0.000,0.000
4,0:21,,,OAK 35,21,24,"Daniel Carlson kicks off 60 yards, returned by Ryan Switzer for no gain (tackle by Dwayne Harris)",0.000,0.940
4,0:15,1,10,PIT 30,21,24,"Ben Roethlisberger pass complete short left to James Washington for 5 yards, lateral to JuJu Smith-Schuster for 43 yards, lateral to Karl Joseph for 43 yards",0.940,4.110
4,0:05,1,10,OAK 22,21,24,Chris Boswell 40 yard field goal no good,4.110,0.870
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
