Unnamed: 0,PIT,OAK
First Downs,24,20
Rush-Yds-TDs,19-40-1,25-55-1
Cmp-Att-Yd-TD-INT,29-38-306-2-1,25-34-322-2-0
Sacked-Yards,1-6,4-23
Net Pass Yards,300,299
Total Yards,340,354
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,2-14,13-130
Third Down Conv.,6-11,4-12
Fourth Down Conv.,0-1,2-2
Time of Possession,27:24,32:36
