Quarter,Time,Tm,Detail,PIT,OAK
1.0,10:44,Raiders,Doug Martin 1 yard rush (Daniel Carlson kick),0,7
2.0,12:18,Steelers,Stevan Ridley 2 yard rush (Chris Boswell kick),7,7
,8:04,Raiders,Daniel Carlson 44 yard field goal,7,10
,0:10,Steelers,JuJu Smith-Schuster 1 yard pass from Ben Roethlisberger (Chris Boswell kick),14,10
4.0,5:20,Raiders,Lee Smith 3 yard pass from Derek Carr (Daniel Carlson kick),14,17
,2:55,Steelers,JuJu Smith-Schuster 1 yard pass from Ben Roethlisberger (Chris Boswell kick),21,17
,0:21,Raiders,Derek Carrier 6 yard pass from Derek Carr (Daniel Carlson kick),21,24
