Unnamed: 0,CIN,DAL
First Downs,19,19
Rush-Yds-TDs,25-89-0,27-107-1
Cmp-Att-Yd-TD-INT,24-36-199-1-0,19-31-235-1-0
Sacked-Yards,6-34,1-5
Net Pass Yards,165,230
Total Yards,254,337
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,7-35,5-45
Third Down Conv.,6-17,3-10
Fourth Down Conv.,1-1,1-1
Time of Possession,33:48,26:12
