Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott left guard for 4 yards (tackle by B.J. Hill),0.610,0.600
1,14:23,2,6,DAL 29,0,0,Tony Pollard left end for 7 yards (tackle by Mike Hilton),0.600,1.330
1,13:55,1,10,DAL 36,0,0,Cooper Rush pass complete short right to CeeDee Lamb for 1 yard (tackle by Josh Tupou and Logan Wilson),1.330,0.930
1,13:17,2,9,DAL 37,0,0,Ezekiel Elliott left tackle for 7 yards (tackle by B.J. Hill),0.930,1.160
1,12:39,3,2,DAL 44,0,0,Cooper Rush pass incomplete short left intended for CeeDee Lamb,1.160,-0.460
1,12:33,4,2,DAL 44,0,0,Cooper Rush pass complete short middle to Noah Brown for 17 yards (tackle by Jessie Bates),-0.460,2.980
1,11:58,1,10,CIN 39,0,0,Cooper Rush pass complete short right to Dalton Schultz for 9 yards (tackle by Germaine Pratt),2.980,3.660
1,11:15,2,1,CIN 30,0,0,Ezekiel Elliott up the middle for 7 yards (tackle by Logan Wilson),3.660,4.040
1,10:31,1,10,CIN 23,0,0,Tony Pollard up the middle for 5 yards (tackle by Markus Bailey),4.040,4.210
1,9:54,2,5,CIN 18,0,0,CeeDee Lamb left end for 6 yards (tackle by Chidobe Awuzie),4.210,4.780
1,9:21,1,10,CIN 12,0,0,KaVontae Turpin right end for 3 yards (tackle by Germaine Pratt),4.780,4.640
1,8:41,2,7,CIN 9,0,6,"Cooper Rush pass complete short right to Noah Brown for 9 yards, touchdown",4.640,7.000
1,8:35,,,CIN 15,0,7,Brett Maher kicks extra point good,0.000,0.000
1,8:35,,,DAL 35,0,7,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,8:35,1,10,CIN 25,0,7,Joe Burrow pass complete short right to Joe Mixon for 11 yards (tackle by Anthony Brown),0.610,1.330
1,8:04,1,10,CIN 36,0,7,Joe Mixon up the middle for 2 yards (tackle by Donovan Wilson),1.330,1.060
1,7:26,2,8,CIN 38,0,7,Joe Mixon left guard for no gain (tackle by DeMarcus Lawrence),1.060,0.370
1,6:45,3,8,CIN 38,0,7,Joe Burrow scrambles up the middle for 3 yards (tackle by DeMarcus Lawrence),0.370,0.760
1,6:45,3,5,CIN 41,0,7,"Penalty on Anthony Barr: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.760,2.650
1,6:21,1,10,DAL 44,0,7,Joe Burrow pass complete short right to Ja'Marr Chase for 17 yards (tackle by Jourdan Lewis and Leighton Vander Esch),2.650,3.780
1,5:43,1,10,DAL 27,0,7,Ja'Marr Chase right end for 4 yards (tackle by Anthony Barr),3.780,3.770
1,4:54,2,6,DAL 23,0,7,"Penalty on Alex Cappa: False Start, 5 yards (accepted) (no play)",3.770,3.100
1,4:30,2,11,DAL 28,0,7,Joe Burrow sacked by Micah Parsons for -3 yards,3.100,2.020
1,3:50,3,14,DAL 31,0,7,Joe Burrow pass complete short left to Hayden Hurst for 6 yards (tackle by Donovan Wilson),2.020,1.800
1,3:08,4,8,DAL 25,3,7,Evan McPherson 43 yard field goal good,1.800,3.000
1,3:05,,,CIN 35,3,7,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,3:05,1,10,DAL 25,3,7,Tony Pollard left tackle for 3 yards (tackle by D.J. Reader and Vonn Bell),0.610,0.470
1,2:37,2,7,DAL 28,3,7,Tony Pollard left tackle for 2 yards (tackle by D.J. Reader),0.470,0.040
1,1:55,3,5,DAL 30,3,7,"Penalty on Simi Fehoko: False Start, 5 yards (accepted) (no play)",0.040,-0.620
1,1:34,3,10,DAL 25,3,7,Cooper Rush pass complete deep left to Noah Brown for 28 yards (tackle by Eli Apple),-0.620,2.460
1,0:47,1,10,CIN 47,3,7,Cooper Rush pass incomplete deep right intended for CeeDee Lamb,2.460,1.910
1,0:28,2,10,CIN 47,3,7,"Cooper Rush pass complete short left to Tony Pollard for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Cooper Rush pass complete short left to Tony Pollard for 46 yards (tackle by Vonn Bell)",1.910,6.970
1,0:19,1,1,CIN 1,3,13,"Tony Pollard up the middle for 1 yard, touchdown",6.970,7.000
1,0:17,,,CIN 15,3,14,Brett Maher kicks extra point good,0.000,0.000
1,0:17,,,DAL 35,3,14,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,0:17,1,10,CIN 25,3,14,Joe Burrow sacked by Dorance Armstrong for -6 yards,0.610,-0.810
Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,16,CIN 19,3,14,Joe Burrow scrambles up the middle for 12 yards (tackle by Anthony Brown),-0.810,0.170
2,14:17,3,4,CIN 31,3,14,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,0.170,-1.310
2,14:15,4,4,CIN 31,3,14,"Kevin Huber punts 44 yards, fair catch by KaVontae Turpin at DAL-25",-1.310,-0.610
2,14:05,1,10,DAL 25,3,14,Ezekiel Elliott up the middle for 2 yards (tackle by Germaine Pratt),0.610,0.330
2,13:25,2,8,DAL 27,3,14,Ezekiel Elliott left tackle for 4 yards (tackle by D.J. Reader),0.330,0.170
2,12:44,3,4,DAL 31,3,14,Cooper Rush pass complete short middle to CeeDee Lamb for 15 yards (tackle by Mike Hilton),0.170,1.990
2,12:06,1,10,DAL 46,3,14,Cooper Rush scrambles right end for 2 yards (tackle by Germaine Pratt),1.990,1.720
2,11:21,2,8,DAL 48,3,14,Ezekiel Elliott left tackle for -5 yards (tackle by Trey Hendrickson),1.720,0.370
2,10:41,3,13,DAL 43,3,14,Cooper Rush pass incomplete short right intended for Dennis Houston,0.370,-0.520
2,10:37,4,13,DAL 43,3,14,"Bryan Anger punts 42 yards, fair catch by Trent Taylor at CIN-15",-0.520,0.220
2,10:27,1,10,CIN 15,3,14,"Penalty on La'el Collins: False Start, 5 yards (accepted) (no play)",-0.220,-0.570
2,10:27,1,15,CIN 10,3,14,Joe Mixon left tackle for -2 yards (tackle by Sam Williams),-0.570,-1.290
2,9:41,2,17,CIN 8,3,14,Joe Burrow pass complete short left to Joe Mixon for 12 yards (tackle by DeMarcus Lawrence and Anthony Barr),-1.290,-0.760
2,8:56,3,5,CIN 20,3,14,Joe Burrow pass complete short middle to Ja'Marr Chase for 6 yards (tackle by Donovan Wilson),-0.760,0.670
2,8:16,1,10,CIN 26,3,14,Joe Mixon left tackle for 1 yard (tackle by DeMarcus Lawrence),0.670,0.270
2,7:33,2,9,CIN 27,3,14,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,0.270,-0.430
2,7:28,3,9,CIN 27,3,14,"Joe Burrow scrambles up the middle for 12 yards (tackle by Donovan Wilson). Penalty on Donovan Wilson: Unnecessary Roughness / Defense, 15 yards (accepted) . Penalty on Anthony Brown: Defensive Holding, 5 yards (declined)",-0.430,2.520
2,7:02,1,10,DAL 46,3,14,Joe Burrow pass incomplete short right intended for Hayden Hurst,2.520,1.980
2,7:00,2,10,DAL 46,3,14,Joe Burrow pass complete short left to Drew Sample for -4 yards (tackle by Anthony Barr),1.980,0.760
2,6:14,3,14,DAL 50,3,14,Joe Burrow pass complete short right to Samaje Perine for 8 yards (tackle by Jourdan Lewis and Malik Hooker),0.760,0.460
2,5:38,,,,,,Timeout #1 by Dallas Cowboys,,
2,5:38,4,6,DAL 42,3,14,"Kevin Huber punts 31 yards, fair catch by KaVontae Turpin at DAL-11",0.460,0.370
2,5:31,1,10,DAL 11,3,14,Ezekiel Elliott left tackle for 11 yards (tackle by Vonn Bell),-0.370,0.410
2,5:06,1,10,DAL 22,3,14,Ezekiel Elliott right tackle for 4 yards (tackle by Cameron Sample),0.410,0.410
2,4:39,2,6,DAL 26,3,14,Ezekiel Elliott left guard for 2 yards (tackle by B.J. Hill and Joseph Ossai),0.410,-0.030
2,3:43,3,4,DAL 28,3,14,"Cooper Rush pass complete deep left to Noah Brown for 25 yards (tackle by Eli Apple). Penalty on Germaine Pratt: Defensive Offside, 5 yards (declined)",-0.030,2.460
2,3:44,1,10,CIN 47,3,14,Ezekiel Elliott right end for no gain (tackle by Chidobe Awuzie),2.460,1.910
2,3:05,2,10,CIN 47,3,14,Cooper Rush pass complete short right to Tony Pollard for -1 yards (tackle by Vonn Bell),1.910,1.090
2,2:22,3,11,CIN 48,3,14,Cooper Rush pass incomplete short left intended for Tony Pollard,1.090,0.070
2,2:19,4,11,CIN 48,3,14,"Bryan Anger punts 35 yards, fair catch by Trent Taylor at CIN-13",0.070,0.320
2,2:12,1,10,CIN 13,3,14,Joe Mixon left end for 4 yards (tackle by Donovan Wilson and Neville Gallimore),-0.320,-0.300
2,2:00,2,6,CIN 17,3,14,Joe Burrow pass complete short middle to Ja'Marr Chase for 12 yards (tackle by Jourdan Lewis and Leighton Vander Esch),-0.300,0.870
2,1:36,1,10,CIN 29,3,14,Joe Burrow pass complete short right to Hayden Hurst for 4 yards (tackle by Anthony Brown),0.870,0.870
2,1:32,2,6,CIN 33,3,14,"Joe Burrow sacked by Dante Fowler for -3 yards. Joe Burrow fumbles (forced by Dante Fowler), recovered by Joe Mixon at CIN-30 (tackle by Dante Fowler)",0.870,-0.230
2,1:13,,,,,,Timeout #1 by Cincinnati Bengals,,
2,1:13,3,9,CIN 30,3,14,Joe Burrow sacked by Dorance Armstrong for -11 yards,-0.230,-2.140
2,1:05,,,,,,Timeout #2 by Dallas Cowboys,,
2,1:05,4,20,CIN 19,3,14,"Kevin Huber punts 50 yards, returned by KaVontae Turpin for 20 yards (tackle by Markus Bailey)",-2.140,-2.320
2,0:51,1,10,CIN 49,3,14,Cooper Rush pass complete short right to CeeDee Lamb for 3 yards (tackle by Chidobe Awuzie),2.320,2.190
2,0:31,2,7,CIN 46,3,14,Cooper Rush pass complete short middle to Tony Pollard for 7 yards (tackle by Jessie Bates),2.190,2.980
2,0:25,,,,,,Timeout #3 by Dallas Cowboys,,
2,0:25,1,10,CIN 39,3,14,Cooper Rush pass incomplete short left intended for Tony Pollard,2.980,2.440
2,0:22,2,10,CIN 39,3,14,Cooper Rush pass complete short left to Tony Pollard for 3 yards (tackle by Tre Flowers),2.440,2.150
2,0:18,3,7,CIN 36,3,14,Cooper Rush pass incomplete short left intended for Dalton Schultz (defended by Mike Hilton),2.150,0.880
2,0:14,4,7,CIN 36,3,17,Brett Maher 54 yard field goal good,0.880,3.000
2,0:09,,,DAL 35,3,17,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
2,0:09,1,10,CIN 25,3,17,Joe Burrow kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DAL 35,3,17,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CIN 25,3,17,Joe Mixon right guard for 10 yards (tackle by Leighton Vander Esch),0.610,1.270
3,14:24,1,10,CIN 35,3,17,Joe Mixon left guard for 6 yards (tackle by Anthony Barr and DeMarcus Lawrence),1.270,1.530
3,13:51,2,4,CIN 41,3,17,Joe Burrow pass incomplete short middle intended for Tee Higgins (defended by Trevon Diggs),1.530,0.830
3,13:46,3,4,CIN 41,3,17,Joe Burrow pass incomplete short left intended for Joe Mixon,0.830,-0.650
3,13:43,4,4,CIN 41,3,17,"Penalty on Devin Harper: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.650,1.990
3,13:42,1,10,CIN 46,3,17,Joe Mixon right tackle for no gain (tackle by Micah Parsons) (no play),1.990,1.660
3,13:21,1,15,CIN 41,3,17,Joe Burrow sacked by Micah Parsons for -7 yards,1.660,-0.170
3,12:37,2,22,CIN 34,3,17,Joe Burrow pass complete to Tyler Boyd for 16 yards (tackle by Malik Hooker),-0.170,1.290
3,11:55,3,6,CIN 50,3,17,Joe Burrow pass complete short middle to Tee Higgins for 16 yards (tackle by Trevon Diggs),1.290,3.310
3,11:13,1,10,DAL 34,3,17,Joe Mixon right tackle for 2 yards (tackle by Dante Fowler and Quinton Bohanna),3.310,3.040
3,10:32,2,8,DAL 32,3,17,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Anthony Brown),3.040,2.350
3,10:25,3,8,DAL 32,3,17,"Penalty on La'el Collins: False Start, 5 yards (accepted) (no play)",2.350,1.690
3,10:25,3,13,DAL 37,3,17,Joe Burrow pass complete short right to Tee Higgins for 5 yards (tackle by Anthony Brown),1.690,1.240
3,9:45,4,8,DAL 32,6,17,Evan McPherson 50 yard field goal good,1.240,3.000
3,9:41,,,CIN 35,6,17,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,9:41,1,10,DAL 25,6,17,Ezekiel Elliott up the middle for 2 yards (tackle by D.J. Reader),0.610,0.330
3,8:57,2,8,DAL 27,6,17,Ezekiel Elliott left end for 1 yard (tackle by B.J. Hill and Eli Apple),0.330,-0.230
3,8:17,3,7,DAL 28,6,17,Cooper Rush pass incomplete short right intended for Ezekiel Elliott,-0.230,-1.500
3,8:09,4,7,DAL 28,6,17,"Bryan Anger punts 51 yards, returned by Trent Taylor for 20 yards (tackle by Rico Dowdle)",-1.500,-1.660
3,8:00,1,10,CIN 41,6,17,"Joe Burrow pass complete deep middle to Tee Higgins for 19 yards (tackle by Anthony Brown and Donovan Wilson). Penalty on Sam Williams: Illegal Use of Hands / Defense, 5 yards (declined)",1.660,2.920
3,7:35,1,10,DAL 40,6,17,Joe Mixon left tackle for 5 yards (tackle by Micah Parsons),2.920,3.050
3,7:00,2,5,DAL 35,6,17,Joe Mixon left tackle for 5 yards (tackle by Malik Hooker),3.050,3.580
3,6:23,1,10,DAL 30,6,17,Joe Mixon left end for 4 yards (tackle by Leighton Vander Esch),3.580,3.570
3,5:41,2,6,DAL 26,6,17,Joe Mixon left end for 2 yards (tackle by Anthony Barr and DeMarcus Lawrence),3.570,3.140
3,4:54,,,,,,Timeout #1 by Cincinnati Bengals,,
3,4:54,3,4,DAL 24,6,17,Joe Burrow sacked by Leighton Vander Esch for -4 yards,3.140,1.590
3,4:08,4,8,DAL 28,9,17,Evan McPherson 46 yard field goal good,1.590,3.000
3,4:05,,,CIN 35,9,17,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,4:05,1,10,DAL 25,9,17,Cooper Rush pass complete short right to CeeDee Lamb for 14 yards (tackle by Eli Apple),0.610,1.530
3,3:29,1,10,DAL 39,9,17,Cooper Rush pass incomplete short left intended for Tony Pollard,1.530,0.990
3,3:23,2,10,DAL 39,9,17,Ezekiel Elliott left guard for 3 yards (tackle by Vonn Bell),0.990,0.700
3,2:54,3,7,DAL 42,9,17,"Cooper Rush pass incomplete deep right intended for Noah Brown. Penalty on Mike Hilton: Defensive Offside, 5 yards (accepted) (no play)",0.700,1.360
3,2:53,3,2,DAL 47,9,17,"Cooper Rush pass incomplete short middle intended for Noah Brown. Penalty on Eli Apple: Defensive Holding, 5 yards (accepted) (no play)",1.360,2.390
3,2:48,1,10,CIN 48,9,17,Ezekiel Elliott left end for 7 yards (tackle by Germaine Pratt),2.390,2.790
3,2:30,2,3,CIN 41,9,17,Ezekiel Elliott left tackle for 4 yards (tackle by Mike Hilton),2.790,3.120
3,1:42,1,10,CIN 37,9,17,Tony Pollard left tackle for 2 yards (tackle by Sam Hubbard and B.J. Hill),3.120,2.840
3,1:16,2,8,CIN 35,9,17,"Cooper Rush pass complete short middle to Dalton Schultz for 9 yards. Dalton Schultz fumbles (forced by Vonn Bell), recovered by D.J. Reader at CIN-26 (tackle by Matt Farniok)",2.840,-0.670
3,1:05,1,10,CIN 26,9,17,Joe Mixon up the middle for 5 yards (tackle by Micah Parsons),0.670,0.810
3,0:27,2,5,CIN 31,9,17,Joe Mixon left end for no gain (tackle by Anthony Barr),0.810,0.100
Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,5,CIN 31,9,17,Joe Burrow pass incomplete short middle intended for Tee Higgins (defended by Dante Fowler),0.100,-1.310
4,14:56,4,5,CIN 31,9,17,"Penalty on Akeem Davis-Gaither: False Start, 5 yards (accepted) (no play)",-1.310,-1.630
4,14:56,4,10,CIN 26,9,17,"Kevin Huber punts 48 yards, fair catch by KaVontae Turpin at DAL-26",-1.630,-0.670
4,14:49,1,10,DAL 26,9,17,Tony Pollard up the middle for 17 yards (tackle by Jessie Bates),0.670,1.800
4,13:45,1,10,DAL 43,9,17,Tony Pollard right tackle for 3 yards (tackle by D.J. Reader),1.800,1.660
4,13:31,2,7,DAL 46,9,17,Cooper Rush pass incomplete short right intended for CeeDee Lamb (defended by Sam Hubbard),1.660,0.960
4,13:26,3,7,DAL 46,9,17,Cooper Rush sacked by Sam Hubbard for -5 yards,0.960,-0.650
4,12:50,4,12,DAL 41,9,17,Bryan Anger punts 42 yards downed by Jake Ferguson,-0.650,0.060
4,12:39,1,10,CIN 17,9,17,Joe Burrow pass incomplete deep right intended for Tee Higgins,-0.060,-0.580
4,12:33,2,10,CIN 17,9,17,"Joe Burrow pass incomplete short right. Penalty on Cordell Volson: Ineligible Downfield Pass, 5 yards (declined)",-0.580,-1.250
4,12:27,3,10,CIN 17,9,17,Joe Burrow pass complete deep left to Tee Higgins for 16 yards,-1.250,1.140
4,11:56,1,10,CIN 33,9,17,"Penalty on DAL: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",1.140,1.870
4,11:39,1,5,CIN 38,9,17,Joe Mixon left end for -2 yards (tackle by Donovan Wilson),1.870,1.000
4,10:56,2,7,CIN 36,9,17,Joe Burrow pass complete short right to Ja'Marr Chase for 11 yards (tackle by Malik Hooker and Anthony Brown),1.000,2.060
4,10:18,1,10,CIN 47,9,17,Joe Mixon right tackle for 8 yards (tackle by Malik Hooker),2.060,2.600
4,9:39,2,2,DAL 45,9,17,Joe Mixon up the middle for 1 yard (tackle by Israel Mukuamu and Quinton Bohanna),2.600,2.020
4,8:57,3,1,DAL 44,9,17,Joe Burrow pass complete short right to Hayden Hurst for 2 yards (tackle by Jourdan Lewis),2.020,2.790
4,8:11,1,10,DAL 42,9,17,Joe Burrow pass incomplete deep middle intended for Hayden Hurst (defended by Leighton Vander Esch),2.790,2.240
4,8:06,2,10,DAL 42,9,17,Joe Burrow pass complete short right to Mitchell Wilcox for 3 yards (tackle by Donovan Wilson),2.240,1.950
4,7:34,,,,,,Timeout #1 by Dallas Cowboys,,
4,7:34,3,7,DAL 39,9,17,Joe Burrow pass complete short left to Hayden Hurst for 8 yards (tackle by Trevon Diggs),1.950,3.510
4,6:48,1,10,DAL 31,9,17,Joe Mixon up the middle for 4 yards (tackle by Anthony Barr and Leighton Vander Esch),3.510,3.510
4,6:12,2,6,DAL 27,9,17,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,3.510,2.810
4,6:07,3,6,DAL 27,9,17,Joe Burrow pass incomplete short right intended for Tee Higgins,2.810,1.700
4,6:03,4,6,DAL 27,9,17,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Trevon Diggs),1.700,4.310
4,5:24,1,10,DAL 19,9,17,Samaje Perine left tackle for 2 yards (tackle by DeMarcus Lawrence and Osa Odighizuwa),4.310,4.030
4,4:45,2,8,DAL 17,9,17,Joe Burrow pass complete short left to Tee Higgins for 10 yards,4.030,5.600
4,4:37,1,7,DAL 7,9,17,Joe Mixon right tackle for 2 yards (tackle by Osa Odighizuwa),5.600,5.150
4,3:51,2,5,DAL 5,15,17,"Joe Burrow pass complete short right to Tee Higgins for 5 yards, touchdown",5.150,7.000
4,3:45,,,DAL 2,17,17,Two Point Attempt: Joe Burrow pass complete to to Tyler Boyd for no gain,1.000,1.000
4,3:45,,,CIN 35,17,17,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,3:45,1,10,DAL 25,17,17,Cooper Rush pass complete deep right to CeeDee Lamb for 24 yards (tackle by Vonn Bell),0.610,2.190
4,3:02,1,10,DAL 49,17,17,Cooper Rush pass complete to Ezekiel Elliott for -4 yards (tackle by Sam Hubbard),2.190,1.110
4,2:28,2,14,DAL 45,17,17,Cooper Rush pass incomplete short left intended for Dalton Schultz,1.110,0.430
4,2:24,3,14,DAL 45,17,17,Cooper Rush pass incomplete short middle intended for CeeDee Lamb (defended by B.J. Hill),0.430,-0.390
4,2:20,4,14,DAL 45,17,17,"Bryan Anger punts 47 yards, fair catch by Trent Taylor at CIN-8",-0.390,0.380
4,2:13,1,10,CIN 8,17,17,Joe Burrow pass complete short right to Hayden Hurst for 4 yards (tackle by Leighton Vander Esch),-0.380,-0.490
4,2:00,2,6,CIN 12,17,17,Joe Burrow pass complete short right to Joe Mixon for 3 yards (tackle by Trevon Diggs),-0.490,-0.600
4,1:16,3,3,CIN 15,17,17,Joe Burrow pass complete short right to Tyler Boyd for 1 yard (tackle by Trevon Diggs),-0.600,-2.390
4,0:57,,,,,,Timeout #2 by Dallas Cowboys,,
4,0:57,4,2,CIN 16,17,17,"Kevin Huber punts 63 yards, returned by KaVontae Turpin for 14 yards (tackle by Markus Bailey)",-2.390,-1.270
4,0:57,1,10,DAL 35,17,17,"Cooper Rush pass complete short left to CeeDee Lamb for 8 yards (tackle by Mike Hilton). Penalty on Tre Flowers: Defensive Holding, 5 yards (declined)",1.270,1.800
4,0:51,2,2,DAL 43,17,17,Cooper Rush pass complete middle to Noah Brown for 12 yards (tackle by Chidobe Awuzie),1.800,2.590
4,0:32,1,10,CIN 45,17,17,Cooper Rush pass complete short right to CeeDee Lamb for 10 yards (tackle by Chidobe Awuzie),2.590,3.250
4,0:24,,,,,,Timeout #3 by Dallas Cowboys,,
4,0:24,1,10,CIN 35,17,17,Tony Pollard for 3 yards (tackle by Sam Hubbard),3.250,3.110
4,0:06,2,7,CIN 32,17,17,Cooper Rush spiked the ball,3.110,2.410
4,0:03,3,7,CIN 32,17,20,Brett Maher 50 yard field goal good,2.410,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
