Unnamed: 0,WAS,PHI
First Downs,14,18
Rush-Yds-TDs,36-151-2,25-96-0
Cmp-Att-Yd-TD-INT,9-25-141-1-1,21-42-261-2-2
Sacked-Yards,1-13,4-22
Net Pass Yards,128,239
Total Yards,279,335
Fumbles-Lost,0-0,6-4
Turnovers,1,6
Penalties-Yards,7-60,5-45
Third Down Conv.,4-16,5-15
Fourth Down Conv.,0-0,0-0
Time of Possession,29:50,30:10
