Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Zack Moss,BUF,12,57,1,6,28,2.3,29,2.4,0,
Devin Singletary,BUF,10,36,0,2,12,1.2,24,2.4,1,10.0
Josh Allen,BUF,4,35,0,2,28,7.0,7,1.8,0,
Matt Barkley,BUF,3,-3,0,0,-3,-1.0,0,0.0,0,
Isaiah McKenzie,BUF,2,5,0,1,3,1.5,2,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Sony Michel,NWE,10,69,0,3,16,1.6,53,5.3,3,3.3
J.J. Taylor,NWE,6,38,0,1,12,2.0,26,4.3,1,6.0
Cam Newton,NWE,4,24,1,1,16,4.0,8,2.0,0,
James White,NWE,4,14,0,1,8,2.0,6,1.5,0,
