Quarter,Time,Tm,Detail,BUF,NWE
1.0,12:44,Patriots,Nick Folk 45 yard field goal,0,3
,6:43,Bills,Tyler Bass 22 yard field goal,3,3
2.0,14:50,Bills,Zack Moss 5 yard rush (Tyler Bass kick),10,3
,10:39,Patriots,Cam Newton 9 yard rush (Nick Folk kick failed),10,9
,5:32,Bills,Lee Smith 4 yard pass from Josh Allen (Tyler Bass kick),17,9
,3:55,Bills,Stefon Diggs 50 yard pass from Josh Allen (Tyler Bass kick),24,9
3.0,11:28,Bills,Stefon Diggs 18 yard pass from Josh Allen (Tyler Bass kick),31,9
4.0,13:16,Bills,Stefon Diggs 8 yard pass from Josh Allen (Tyler Bass kick),38,9
