Quarter,Time,Tm,Detail,CHI,LAR
1.0,3:57,Rams,Josh Reynolds 4 yard pass from Jared Goff (Sam Sloman kick),0,7
2.0,14:13,Bears,Cairo Santos 42 yard field goal,3,7
,4:55,Rams,Sam Sloman 22 yard field goal,3,10
3.0,8:06,Rams,Malcolm Brown 1 yard rush (Sam Sloman kick),3,17
,1:34,Rams,Gerald Everett 12 yard pass from Jared Goff (Sam Sloman kick),3,24
4.0,7:30,Bears,Eddie Jackson 8 yard fumble return (Cairo Santos kick),10,24
