Quarter,Time,Down,ToGo,Location,CHI,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Sam Sloman kicks off 63 yards, returned by Cordarrelle Patterson for 28 yards (tackle by Troy Reeder)",0.000,0.940
1,14:53,1,10,CHI 30,0,0,David Montgomery left tackle for 3 yards (tackle by Jalen Ramsey),0.940,0.800
1,14:08,2,7,CHI 33,0,0,Cordarrelle Patterson up the middle for 1 yard (tackle by Michael Brockers and Leonard Floyd),0.800,0.230
1,13:28,3,6,CHI 34,0,0,Nick Foles pass complete short left to Anthony Miller for 8 yards,0.230,1.730
1,13:00,1,10,CHI 42,0,0,Nick Foles pass complete short right to Allen Robinson for 8 yards (tackle by Darious Williams),1.730,2.270
1,12:37,2,2,CHI 50,0,0,"David Montgomery up the middle for 2 yards (tackle by Morgan Fox). Penalty on Germain Ifedi: Offensive Holding, 10 yards (no play)",2.270,0.920
1,12:15,2,12,CHI 40,0,0,Nick Foles pass incomplete short middle intended for Cordarrelle Patterson,0.920,0.230
1,12:11,3,12,CHI 40,0,0,Nick Foles pass complete short middle to Cordarrelle Patterson for 7 yards (tackle by Kenny Young),0.230,-0.260
1,11:37,4,5,CHI 47,0,0,"Pat O'Donnell punts 43 yards, fair catch by Nsimba Webster at LA-10",-0.260,0.380
1,11:30,1,10,LAR 10,0,0,Darrell Henderson left end for 11 yards (tackle by Roquan Smith),-0.380,0.340
1,10:50,1,10,LAR 21,0,0,Darrell Henderson up the middle for 5 yards (tackle by Barkevious Mingo and Danny Trevathan),0.340,0.480
1,10:22,2,5,LAR 26,0,0,Jared Goff pass complete short left to Robert Woods for 13 yards (tackle by Kyle Fuller),0.480,1.530
1,9:49,1,10,LAR 39,0,0,Jared Goff pass complete short right to Cooper Kupp for 11 yards (tackle by Kyle Fuller and Eddie Jackson),1.530,2.260
1,9:27,1,10,LAR 50,0,0,Jared Goff pass incomplete short right intended for Robert Woods,2.260,1.710
1,9:23,2,10,LAR 50,0,0,"Jared Goff pass incomplete short right intended for Gerald Everett. Penalty on Tashaun Gipson: Defensive Holding, 5 yards (no play)",1.710,2.590
1,9:18,1,10,CHI 45,0,0,Jared Goff left end for 6 yards (tackle by Jaylon Johnson),2.590,2.850
1,8:42,2,4,CHI 39,0,0,Jared Goff pass incomplete short left intended for Malcolm Brown,2.850,2.150
1,8:36,,,,,,Timeout #1 by Los Angeles Rams,,
1,8:36,3,4,CHI 39,0,0,Jared Goff pass complete short right to Gerald Everett for -3 yards (tackle by Mario Edwards and Akiem Hicks),2.150,0.460
1,8:03,4,7,CHI 42,0,0,Johnny Hekker punts 35 yards out of bounds,0.460,0.380
1,7:55,1,10,CHI 7,0,0,David Montgomery left tackle for 3 yards (tackle by Greg Gaines and Troy Hill),-0.380,-0.560
1,7:26,2,7,CHI 10,0,0,Nick Foles pass incomplete short middle intended for Demetrius Harris,-0.560,-1.070
1,7:23,3,7,CHI 10,0,0,Nick Foles pass complete short left to Cordarrelle Patterson for 2 yards (tackle by Terrell Burgess),-1.070,-2.490
1,6:47,4,5,CHI 12,0,0,"Pat O'Donnell punts 55 yards, returned by Nsimba Webster for 15 yards (tackle by J.P. Holtz and Joel Iyiegbuniwe)",-2.490,-2.130
1,6:35,1,10,LAR 48,0,0,Jared Goff pass incomplete deep left intended for Josh Reynolds (defended by Jaylon Johnson),2.130,1.580
1,6:27,2,10,LAR 48,0,0,Jared Goff pass complete deep right to Gerald Everett for 16 yards. Penalty on Akiem Hicks: Illegal Use of Hands (Declined),1.580,3.180
1,5:55,1,10,CHI 36,0,0,Jared Goff pass complete short left to Van Jefferson for 14 yards (tackle by Jaylon Johnson),3.180,4.110
1,5:49,1,10,CHI 22,0,0,Jared Goff pass complete short right to Johnny Mundt for 7 yards (tackle by Eddie Jackson),4.110,4.650
1,5:02,2,3,CHI 15,0,0,Darrell Henderson left end for 4 yards (tackle by James Vaughters),4.650,4.840
1,4:38,1,10,CHI 11,0,0,Jared Goff pass complete short left to Johnny Mundt for 7 yards (tackle by Buster Skrine),4.840,5.470
1,4:01,2,3,CHI 4,0,6,"Jared Goff pass complete short left to Josh Reynolds for 4 yards, touchdown",5.470,7.000
1,3:57,,,CHI 15,0,7,Sam Sloman kicks extra point good,0.000,0.000
1,3:57,,,LAR 35,0,7,"Sam Sloman kicks off 69 yards, returned by Cordarrelle Patterson for 22 yards (tackle by Troy Reeder)",0.000,0.040
1,3:51,1,10,CHI 18,0,7,Nick Foles pass complete deep left to Cole Kmet for 38 yards (tackle by Taylor Rapp and Justin Hollins),0.040,2.650
1,3:02,1,10,LAR 44,0,7,Nick Foles pass complete short left to Cole Kmet for 7 yards (tackle by Justin Hollins),2.650,3.060
1,2:25,2,3,LAR 37,0,7,David Montgomery right guard for 1 yard (tackle by Aaron Donald and Michael Brockers),3.060,2.480
1,1:48,3,2,LAR 36,0,7,David Montgomery up the middle for 4 yards (tackle by Justin Hollins and Micah Kiser),2.480,3.450
1,1:09,1,10,LAR 32,0,7,Nick Foles pass complete short middle to Cordarrelle Patterson for 2 yards (tackle by John Johnson),3.450,3.170
1,0:31,2,8,LAR 30,0,7,David Montgomery up the middle for 3 yards (tackle by Michael Brockers and Leonard Floyd),3.170,2.870
Quarter,Time,Down,ToGo,Location,CHI,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,LAR 27,0,7,Nick Foles pass complete short middle to Darnell Mooney for 3 yards (tackle by Terrell Burgess),2.870,1.990
2,14:18,4,2,LAR 24,3,7,Cairo Santos 42 yard field goal good,1.990,3.000
2,14:13,,,CHI 35,3,7,"Cairo Santos kicks off 63 yards, returned by Raymond Calais for 23 yards (tackle by Deon Bush and Kindle Vildor)",0.000,0.610
2,14:05,1,10,LAR 25,3,7,"Jared Goff pass incomplete short left. Penalty on Jared Goff: Intentional Grounding, 10 yards",0.610,-1.430
2,14:00,2,20,LAR 15,3,7,Malcolm Brown right tackle for 9 yards (tackle by Eddie Jackson),-1.430,-0.760
2,13:20,3,11,LAR 24,3,7,Jared Goff pass complete deep right to Josh Reynolds for 18 yards (tackle by Kyle Fuller),-0.760,1.730
2,12:34,1,10,LAR 42,3,7,Malcolm Brown right guard for 9 yards (tackle by Buster Skrine),1.730,2.400
2,11:48,2,1,CHI 49,3,7,Malcolm Brown left end for no gain (tackle by Khalil Mack),2.400,1.690
2,11:00,3,1,CHI 49,3,7,Jared Goff pass complete short right to Josh Reynolds for 9 yards (tackle by Kyle Fuller),1.690,2.920
2,10:28,1,10,CHI 40,3,7,Robert Woods up the middle for -3 yards (tackle by Mario Edwards),2.920,1.970
2,10:04,2,13,CHI 43,3,7,Jared Goff pass complete short right to Robert Woods for 3 yards (tackle by Tashaun Gipson),1.970,1.680
2,9:22,3,10,CHI 40,3,7,Jared Goff pass incomplete deep left intended for Robert Woods,1.680,0.590
2,9:16,4,10,CHI 40,3,7,Johnny Hekker punts 30 yards downed by Terrell Burgess,0.590,0.380
2,9:05,1,10,CHI 10,3,7,David Montgomery up the middle for 1 yard (tackle by Michael Brockers),-0.380,-0.710
2,8:44,2,9,CHI 11,3,7,Nick Foles pass incomplete deep left intended for Darnell Mooney,-0.710,-1.300
2,8:37,3,9,CHI 11,3,7,Nick Foles pass complete short right to Javon Wims for 8 yards (tackle by Jalen Ramsey),-1.300,-2.140
2,8:26,4,1,CHI 19,3,7,"Penalty on Rashaad Coward: False Start, 4 yards (no play)",-2.140,-2.440
2,8:18,4,5,CHI 15,3,7,Pat O'Donnell punts 47 yards downed by Joel Iyiegbuniwe,-2.440,-1.470
2,8:05,1,10,LAR 38,3,7,Cooper Kupp left end for 16 yards (tackle by Eddie Jackson),1.470,2.520
2,7:49,1,10,CHI 46,3,7,Jared Goff pass complete short middle to Johnny Mundt for 34 yards (tackle by Kyle Fuller),2.520,4.780
2,7:07,1,10,CHI 12,3,7,Darrell Henderson left end for 7 yards (tackle by Mario Edwards),4.780,5.410
2,6:25,2,3,CHI 5,3,7,Darrell Henderson right end for -1 yards (tackle by Barkevious Mingo),5.410,4.380
2,5:40,3,4,CHI 6,3,7,Jared Goff pass complete short middle to Darrell Henderson for 2 yards (tackle by Buster Skrine),4.380,3.040
2,4:59,4,2,CHI 4,3,10,Sam Sloman 22 yard field goal good,3.040,3.000
2,4:55,,,LAR 35,3,10,"Sam Sloman kicks off 67 yards, returned by Cordarrelle Patterson for 21 yards (tackle by Terrell Burgess)",0.000,0.150
2,4:50,1,10,CHI 19,3,10,Nick Foles pass complete short right to Allen Robinson for 14 yards (tackle by John Johnson),0.150,1.140
2,4:08,1,10,CHI 33,3,10,Nick Foles pass complete short left to Jimmy Graham for 6 yards (tackle by Micah Kiser),1.140,1.400
2,3:24,,,,,,Timeout #1 by Chicago Bears,,
2,3:24,2,4,CHI 39,3,10,Nick Foles pass complete short right to Darnell Mooney for 18 yards (tackle by Troy Hill),1.400,2.720
2,2:55,,,,,,Timeout #2 by Chicago Bears,,
2,2:55,1,10,LAR 43,3,10,Nick Foles sacked by and Aaron Donald for -4 yards and Greg Gaines for -4 yards,2.720,1.640
2,2:09,2,14,LAR 47,3,10,David Montgomery right tackle for 4 yards (tackle by Michael Brockers),1.640,1.490
2,2:00,3,10,LAR 43,3,10,Nick Foles sacked by Leonard Floyd for -11 yards,1.490,-0.320
2,1:15,4,21,CHI 46,3,10,"Pat O'Donnell punts 44 yards, fair catch by Cooper Kupp at LA-10",-0.320,0.380
2,1:08,1,10,LAR 10,3,10,Jared Goff pass complete short left to Cooper Kupp for 6 yards (tackle by Buster Skrine and Danny Trevathan),-0.380,-0.230
2,0:50,2,4,LAR 16,3,10,Jared Goff pass incomplete deep left intended for Josh Reynolds (defended by Tashaun Gipson),-0.230,-0.720
2,0:44,3,4,LAR 16,3,10,Malcolm Brown up the middle for 13 yards (tackle by Eddie Jackson),-0.720,0.870
2,0:35,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:35,1,10,LAR 29,3,10,Jared Goff pass incomplete short middle intended for Josh Reynolds,0.870,0.330
2,0:30,2,10,LAR 29,3,10,Jared Goff pass incomplete short left,0.330,-0.360
2,0:26,3,10,LAR 29,3,10,Malcolm Brown up the middle for 6 yards (tackle by Buster Skrine and Robert Quinn),-0.360,-1.040
Quarter,Time,Down,ToGo,Location,CHI,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,3,10,"Cairo Santos kicks off 65 yards, returned by Raymond Calais for 18 yards (tackle by Barkevious Mingo)",0.000,0.040
