Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 68 yards, returned by Brandon Middleton for 31 yards (tackle by Marcus Hamilton)",0.000,1.140
1,14:54,1,10,DET 33,0,0,Dan Orlovsky sacked by Tommie Harris for -1 yards,1.140,0.460
1,14:24,2,11,DET 32,0,0,Dan Orlovsky pass complete short right to Calvin Johnson for 4 yards (tackle by Charles Tillman),0.460,0.300
1,13:46,3,7,DET 36,0,0,Dan Orlovsky pass incomplete deep middle intended for Calvin Johnson is intercepted by Mike Brown at CHI-48,0.300,-2.130
,,,,,,,"DET challenged the runner was down by contact ruling, and the original play was overturned.",,
1,13:31,1,10,CHI 48,0,0,Kyle Orton pass complete short right to Greg Olsen for 14 yards (tackle by Daniel Bullocks),2.130,3.050
1,13:01,1,10,DET 38,0,0,"Penalty on Josh Beekman: False Start, 5 yards (no play)",3.050,2.720
1,12:48,1,15,DET 43,0,0,Kyle Orton pass complete short right to Rashied Davis for 24 yards (tackle by Leigh Bodden),2.720,4.310
1,12:06,1,10,DET 19,0,0,Kyle Orton pass incomplete short right intended for Matt Forte,4.310,3.750
1,12:02,2,10,DET 19,0,0,Matt Forte right tackle for 1 yard (tackle by Jared DeVries),3.750,3.140
1,11:19,3,9,DET 18,0,0,Kyle Orton pass incomplete deep left intended for Rashied Davis,3.140,2.250
1,11:19,4,9,DET 18,0,3,Robbie Gould 36 yard field goal good,2.250,3.000
1,,,,CHI 30,0,3,"Robbie Gould kicks off 72 yards, returned by Brandon Middleton for 16 yards (tackle by Jamar Williams)",0.000,-0.280
1,11:04,1,10,DET 14,0,3,Rudi Johnson left tackle for 3 yards (tackle by Mike Brown),-0.280,-0.370
1,10:28,2,7,DET 17,0,3,Dan Orlovsky pass complete short right to Calvin Johnson for 5 yards (tackle by Charles Tillman),-0.370,-0.440
