Unnamed: 0,DET,CHI
First Downs,21,18
Rush-Yds-TDs,26-53-1,30-154-2
Cmp-Att-Yd-TD-INT,28-47-292-2-2,17-33-166-1-1
Sacked-Yards,2-12,1-0
Net Pass Yards,280,166
Total Yards,333,320
Fumbles-Lost,2-1,1-1
Turnovers,3,2
Penalties-Yards,4-36,3-25
Third Down Conv.,7-17,5-15
Fourth Down Conv.,0-0,0-0
Time of Possession,32:09,27:51
