Quarter,Time,Tm,Detail,DET,CHI
1.0,11:09,Bears,Robbie Gould 36 yard field goal,0,3
,4:32,Bears,Kyle Orton 5 yard rush (Robbie Gould kick),0,10
2.0,13:21,Lions,Kevin Smith 1 yard rush (Jason Hanson kick failed),6,10
,13:08,Lions,Calvin Johnson 17 yard pass from Dan Orlovsky (Jason Hanson kick),13,10
,6:48,Lions,Shaun McDonald 14 yard pass from Dan Orlovsky (Jason Hanson kick),20,10
,4:41,Bears,Robbie Gould 41 yard field goal,20,13
,1:05,Lions,Jason Hanson 52 yard field goal,23,13
3.0,7:00,Bears,Rashied Davis 6 yard pass from Rex Grossman (Robbie Gould kick),23,20
4.0,5:36,Bears,Rex Grossman 1 yard rush (Robbie Gould kick),23,27
