Quarter,Time,Tm,Detail,LAR,NYG
1.0,10:55,Rams,Tyler Higbee 8 yard pass from Jared Goff (Greg Zuerlein kick),7,0
,3:16,Giants,Tavarres King 5 yard pass from Eli Manning (Aldrick Rosas kick),7,7
2.0,14:52,Rams,Greg Zuerlein 27 yard field goal,10,7
,9:26,Rams,Robert Woods 52 yard pass from Jared Goff (Greg Zuerlein kick),17,7
,7:18,Rams,Sammy Watkins 67 yard pass from Jared Goff (Greg Zuerlein kick),24,7
,4:01,Giants,Aldrick Rosas 50 yard field goal,24,10
,1:13,Rams,Greg Zuerlein 46 yard field goal,27,10
3.0,11:34,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),34,10
,6:27,Rams,Robert Woods 4 yard pass from Jared Goff (Greg Zuerlein kick),41,10
,3:28,Rams,Todd Gurley 4 yard rush (Greg Zuerlein kick),48,10
4.0,9:33,Giants,Evan Engram 10 yard pass from Eli Manning (Aldrick Rosas kick),48,17
,2:53,Rams,Greg Zuerlein 47 yard field goal,51,17
