Quarter,Time,Down,ToGo,Location,LAR,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,NYG 25,0,0,Orleans Darkwa right guard for 5 yards (tackle by Aaron Donald),0.610,0.740
1,14:26,2,5,NYG 30,0,0,Orleans Darkwa right guard for 24 yards (tackle by Trumaine Johnson and Robert Quinn),0.740,2.520
1,13:45,1,10,LAR 46,0,0,Eli Manning pass incomplete short left intended for Evan Engram (defended by Mark Barron),2.520,0.000
1,13:39,,,,,,Timeout #1 by New York Giants,0.000,-1.980
1,13:39,2,10,LAR 46,0,0,Orleans Darkwa right guard for 6 yards (tackle by Lamarcus Joyner),1.980,2.080
1,13:03,3,4,LAR 40,0,0,"Penalty on D.J. Fluker: False Start, 5 yards (no play)",2.080,1.420
1,12:53,3,9,LAR 45,0,0,"Eli Manning sacked by Aaron Donald for -6 yards. Eli Manning fumbles (forced by Aaron Donald), recovered by Connor Barwin at LAR-48 (tackle by Bobby Hart)",1.420,-2.130
1,12:45,1,10,LAR 48,0,0,Todd Gurley left tackle for 36 yards (tackle by Darian Thompson),2.130,4.510
1,12:12,1,10,NYG 16,0,0,Todd Gurley left tackle for 9 yards (tackle by Curtis Grant),4.510,5.540
1,11:37,2,1,NYG 7,0,0,Todd Gurley left tackle for -1 yards (tackle by Dominique Rodgers-Cromartie),5.540,4.620
1,11:03,3,2,NYG 8,6,0,"Jared Goff pass complete short middle to Tyler Higbee for 8 yards, touchdown",4.620,7.000
1,10:55,,,NYG 15,7,0,Greg Zuerlein kicks extra point good,0.000,0.000
1,10:55,,,LAR 35,7,0,"Greg Zuerlein kicks off 62 yards, returned by Shane Vereen for 30 yards (tackle by Bryce Hager)",0.000,-1.140
1,10:49,1,10,NYG 33,7,0,Orleans Darkwa right tackle for 5 yards (tackle by Michael Brockers and Alec Ogletree),1.140,1.270
1,10:15,2,5,NYG 38,7,0,Eli Manning pass complete short left to Roger Lewis for 4 yards (tackle by Mark Barron),1.270,1.090
1,9:33,3,1,NYG 42,7,0,Orleans Darkwa middle for 2 yards (tackle by Michael Brockers and Robert Quinn),1.090,1.860
1,8:49,1,10,NYG 44,7,0,Orleans Darkwa middle for 5 yards (tackle by Connor Barwin),1.860,1.990
1,8:10,2,5,NYG 49,7,0,Eli Manning pass incomplete deep left intended for Roger Lewis (defended by John Johnson),1.990,1.290
1,8:01,3,5,NYG 49,7,0,Eli Manning pass complete short middle to Sterling Shepard for 13 yards (tackle by Nickell Robey-Coleman and John Johnson),1.290,3.050
1,7:30,1,10,LAR 38,7,0,Orleans Darkwa middle for 2 yards (tackle by Michael Brockers and Tyrunn Walker),3.050,2.780
1,6:47,2,8,LAR 36,7,0,Orleans Darkwa left end for -1 yards (tackle by Tyrunn Walker and Matt Longacre),2.780,1.950
1,6:11,3,9,LAR 37,7,0,Eli Manning pass complete short right to Tavarres King for 14 yards (tackle by Kayvon Webster),1.950,4.040
1,5:28,1,10,LAR 23,7,0,Eli Manning pass incomplete short right intended for Wayne Gallman,4.040,3.500
1,5:22,2,10,LAR 23,7,0,Eli Manning pass complete short left to Evan Engram for 13 yards (tackle by Kayvon Webster and Lamarcus Joyner),3.500,4.910
1,4:48,1,10,LAR 10,7,0,Wayne Gallman right guard for 1 yard (tackle by Alec Ogletree and John Johnson),4.910,4.380
1,4:06,2,9,LAR 9,7,0,Eli Manning pass complete short right to Sterling Shepard for 4 yards (tackle by Connor Barwin),4.380,4.260
1,3:22,3,5,LAR 5,7,6,"Eli Manning pass complete short middle to Tavarres King for 5 yards, touchdown",4.260,7.000
1,3:16,,,LAR 15,7,7,Aldrick Rosas kicks extra point good,0.000,0.000
1,3:16,,,NYG 35,7,7,"Aldrick Rosas kicks off 65 yards, touchback",0.000,-0.610
1,3:16,1,10,LAR 25,7,7,Tavon Austin right end for 3 yards (tackle by Curtis Grant),0.610,0.470
1,2:38,2,7,LAR 28,7,7,"Tavon Austin middle for no gain (tackle by Avery Moss and Damon Harrison). Penalty on Landon Collins: Unnecessary Roughness, 15 yards",0.470,1.800
1,2:14,1,10,LAR 43,7,7,Jared Goff pass complete short left to Derek Carrier for 5 yards (tackle by Dominique Rodgers-Cromartie),1.800,1.930
1,1:35,2,5,LAR 48,7,7,Jared Goff pass incomplete deep left intended for Sammy Watkins,1.930,1.220
1,1:29,3,5,LAR 48,7,7,Jared Goff pass complete deep right to Gerald Everett for 44 yards (tackle by Landon Collins),1.220,5.370
1,1:13,1,8,NYG 8,7,7,"Jared Goff pass complete short middle to Gerald Everett for no gain. Penalty on Rob Havenstein: Offensive Holding, 10 yards (no play)",5.370,4.240
1,0:45,1,18,NYG 18,7,7,Todd Gurley left guard for no gain (tackle by Avery Moss and Dalvin Tomlinson),4.240,3.150
1,0:08,2,18,NYG 18,7,7,"Jared Goff pass complete short left to Cooper Kupp for -5 yards, lateral to Tavon Austin for 9 yards",3.150,3.360
Quarter,Time,Down,ToGo,Location,LAR,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,NYG 9,7,7,Jared Goff pass incomplete short right intended for Cooper Kupp,3.360,2.830
2,14:55,4,9,NYG 9,10,7,Greg Zuerlein 27 yard field goal good,2.830,3.000
2,14:52,,,LAR 35,10,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,14:52,1,10,NYG 25,10,7,Wayne Gallman middle for 14 yards (tackle by John Johnson),0.610,1.530
2,14:17,1,10,NYG 39,10,7,Wayne Gallman middle for 7 yards (tackle by Trumaine Johnson and Blake Countess),1.530,1.930
2,13:43,2,3,NYG 46,10,7,Wayne Gallman right guard for 6 yards (tackle by Mark Barron and Alec Ogletree),1.930,2.390
2,13:09,1,10,LAR 48,10,7,"Wayne Gallman middle for -2 yards (tackle by Alec Ogletree). Wayne Gallman fumbles (forced by Alec Ogletree), recovered by Aaron Donald (tackle by John Jerry)",2.390,-2.260
2,13:01,1,10,,10,7,Todd Gurley left guard for 2 yards (tackle by Damon Harrison and Avery Moss),2.260,1.980
2,12:26,2,8,NYG 48,10,7,Jared Goff pass complete short middle to Cooper Kupp for 19 yards (tackle by Landon Collins),1.980,3.640
2,11:46,1,10,NYG 29,10,7,"Jared Goff pass complete short right to Todd Gurley for 14 yards (tackle by Ross Cockrell). Penalty on Cooper Kupp: Offensive Pass Interference, 10 yards (no play)",3.640,2.980
2,11:16,1,20,NYG 39,10,7,Todd Gurley right tackle for no gain (tackle by Jason Pierre-Paul and Dominique Rodgers-Cromartie),2.980,1.750
2,10:38,2,20,NYG 39,10,7,"Jared Goff pass complete short left to Todd Gurley for 1 yard (tackle by Jay Bromley). Penalty on Rodger Saffold: Chop Block, 15 yards",1.750,-0.140
2,10:17,2,34,LAR 47,10,7,Todd Gurley right tackle for 1 yard (tackle by Curtis Grant and Damon Harrison),-0.140,-0.620
2,9:39,3,33,LAR 48,16,7,"Jared Goff pass complete short left to Robert Woods for 52 yards, touchdown",-0.620,7.000
2,9:26,,,NYG 15,17,7,Greg Zuerlein kicks extra point good,0.000,0.000
2,9:26,,,LAR 35,17,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,9:26,1,10,NYG 25,17,7,Eli Manning pass incomplete deep middle intended for Sterling Shepard,0.610,0.060
2,9:20,2,10,NYG 25,17,7,Orleans Darkwa left tackle for 3 yards (tackle by Matt Longacre and Alec Ogletree),0.060,-0.230
2,8:41,3,7,NYG 28,17,7,Eli Manning pass complete short left to Shane Vereen for 2 yards (tackle by Alec Ogletree and Mark Barron),-0.230,-1.370
2,8:09,4,5,NYG 30,17,7,"Brad Wing punts 41 yards, returned by Pharoh Cooper for 57 yards (tackle by Brad Wing). Penalty on Troy Hill: Offensive Holding, 10 yards",-1.370,-0.870
2,7:53,1,10,LAR 29,17,7,Jared Goff pass complete short right to Robert Woods for 4 yards (tackle by Ross Cockrell),0.870,0.870
2,7:28,2,6,LAR 33,23,7,"Jared Goff pass complete deep middle to Sammy Watkins for 67 yards, touchdown",0.870,7.000
2,7:18,,,NYG 15,24,7,Greg Zuerlein kicks extra point good,0.000,0.000
2,7:18,,,LAR 35,24,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,7:18,1,10,NYG 25,24,7,Eli Manning pass complete short left to Tavarres King for 14 yards (tackle by Trumaine Johnson),0.610,1.530
2,6:46,1,10,NYG 39,24,7,Orleans Darkwa right guard for 4 yards (tackle by Mark Barron and Connor Barwin),1.530,1.530
2,6:14,2,6,NYG 43,24,7,Eli Manning pass complete short right to Orleans Darkwa for 4 yards (tackle by Mark Barron),1.530,1.360
2,5:32,3,2,NYG 47,24,7,Eli Manning pass complete short right to Evan Engram for 21 yards (tackle by John Johnson),1.360,3.450
2,4:57,1,10,LAR 32,24,7,Orleans Darkwa right guard for 1 yard (tackle by Aaron Donald and Morgan Fox),3.450,3.040
2,4:16,2,9,LAR 31,24,7,Eli Manning pass incomplete short middle intended for Sterling Shepard,3.040,2.340
2,4:11,3,9,LAR 31,24,7,Eli Manning pass incomplete short middle intended for Sterling Shepard,2.340,1.320
2,4:06,4,9,LAR 31,24,10,Aldrick Rosas 50 yard field goal good,1.320,3.000
2,4:01,,,NYG 35,24,10,"Aldrick Rosas kicks off 65 yards, touchback",0.000,-0.610
2,4:01,1,10,LAR 25,24,10,Todd Gurley left end for 1 yard (tackle by Landon Collins),0.610,0.200
2,3:27,2,9,LAR 26,24,10,Jared Goff pass incomplete short right intended for Todd Gurley (defended by Avery Moss),0.200,-0.490
2,3:21,3,9,LAR 26,24,10,"Jared Goff pass incomplete deep middle intended for Robert Woods (defended by Ross Cockrell). Penalty on Ross Cockrell: Defensive Pass Interference, 22 yards (no play)",-0.490,2.130
2,3:16,1,10,LAR 48,24,10,Jared Goff pass incomplete short right intended for Josh Reynolds,2.130,1.580
2,3:11,2,10,LAR 48,24,10,Jared Goff pass incomplete short middle intended for Cooper Kupp,1.580,0.890
2,3:04,3,10,LAR 48,24,10,Jared Goff pass incomplete short left intended for Gerald Everett,0.890,-0.190
2,2:59,4,10,LAR 48,24,10,"Johnny Hekker punts 38 yards, fair catch by Ed Eagan",-0.190,0.280
2,2:52,1,10,NYG 14,24,10,Eli Manning pass incomplete short middle intended for Sterling Shepard (defended by Nickell Robey-Coleman),-0.280,-0.750
2,2:46,2,10,NYG 14,24,10,Eli Manning pass incomplete deep left intended for Evan Engram,-0.750,-1.400
