Unnamed: 0,LAR,NYG
First Downs,20,17
Rush-Yds-TDs,39-162-2,26-111-0
Cmp-Att-Yd-TD-INT,14-22-311-4-0,20-38-220-2-1
Sacked-Yards,0-0,2-12
Net Pass Yards,311,208
Total Yards,473,319
Fumbles-Lost,1-0,2-2
Turnovers,0,3
Penalties-Yards,6-55,4-52
Third Down Conv.,6-12,8-16
Fourth Down Conv.,0-1,0-0
Time of Possession,30:30,29:30
