Unnamed: 0,DAL,DET
First Downs,13,29
Rush-Yds-TDs,26-62-0,29-143-3
Cmp-Att-Yd-TD-INT,14-30-206-3-0,33-48-488-1-2
Sacked-Yards,0-0,1-8
Net Pass Yards,206,480
Total Yards,268,623
Fumbles-Lost,1-0,2-2
Turnovers,0,4
Penalties-Yards,2-31,8-61
Third Down Conv.,3-13,3-11
Fourth Down Conv.,0-0,1-2
Time of Possession,24:49,35:11
