Quarter,Time,Tm,Detail,DET,WAS
2.0,8:17,Redskins,Chris Cooley 7 yard pass from Jason Campbell (Shaun Suisham kick),0,7
,1:56,Redskins,Mike Sellers 1 yard rush (Shaun Suisham kick),0,14
3.0,2:27,Lions,Jason Hanson 39 yard field goal,3,14
,0:28,Redskins,"Safety,",3,16
4.0,10:47,Redskins,Mike Sellers 8 yard pass from Jason Campbell (Chris Cooley pass from Jason Campbell),3,24
,3:06,Redskins,Shaun Suisham 28 yard field goal,3,27
,0:45,Redskins,Carlos Rogers 61 yard interception return (Shaun Suisham kick),3,34
