Unnamed: 0,DET,WAS
First Downs,11,23
Rush-Yds-TDs,19-68-0,35-118-1
Cmp-Att-Yd-TD-INT,16-29-106-0-2,23-29-248-2-0
Sacked-Yards,6-30,0-0
Net Pass Yards,76,248
Total Yards,144,366
Fumbles-Lost,4-0,5-1
Turnovers,2,1
Penalties-Yards,4-20,4-50
Third Down Conv.,1-10,5-12
Fourth Down Conv.,1-1,1-1
Time of Possession,25:25,34:35
