Unnamed: 0,DET,SFO
First Downs,14,25
Rush-Yds-TDs,20-116-0,39-182-2
Cmp-Att-Yd-TD-INT,15-31-146-1-2,16-23-189-2-0
Sacked-Yards,4-22,1-1
Net Pass Yards,124,188
Total Yards,240,370
Fumbles-Lost,3-0,0-0
Turnovers,2,0
Penalties-Yards,9-61,3-30
Third Down Conv.,5-13,5-13
Fourth Down Conv.,1-1,1-1
Time of Possession,24:06,35:54
