Quarter,Time,Down,ToGo,Location,DET,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Joe Nedney kicks off 69 yards, returned by Brandon Middleton for 15 yards (tackle by Josh Morgan)",0.000,-0.140
1,14:46,1,10,DET 16,0,0,Jon Kitna left tackle for 6 yards (tackle by Aubrayo Franklin),-0.140,0.280
1,14:09,2,4,DET 22,0,0,"Penalty on Gosder Cherilus: False Start, 5 yards (no play)",0.280,-0.510
1,14:01,2,9,DET 17,0,0,Jon Kitna pass complete short middle to Casey Fitzsimmons for 4 yards (tackle by Jeff Ulbrich),-0.510,-0.700
1,13:17,3,5,DET 21,0,0,Jon Kitna pass complete short right to Roy E. Williams for 9 yards (tackle by Walt Harris),-0.700,0.940
1,12:37,1,10,DET 30,0,0,Kevin Smith right tackle for 3 yards (tackle by Parys Haralson and Justin Smith),0.940,0.800
1,12:02,2,7,DET 33,0,0,Kevin Smith left end for 2 yards (tackle by Walt Harris),0.800,0.370
1,11:16,3,5,DET 35,0,0,Jon Kitna pass incomplete short middle intended for Shaun McDonald,0.370,-1.040
1,11:07,4,5,DET 35,0,0,"Nick Harris punts 42 yards, returned by Allen Rossum for 14 yards",-1.040,-1.400
1,10:59,1,10,SFO 37,0,0,Frank Gore up the middle for 2 yards (tackle by Travis Fisher),1.400,1.130
1,10:14,2,8,SFO 39,0,0,Frank Gore up the middle for 3 yards (tackle by Dwight Smith),1.130,0.830
1,9:34,3,5,SFO 42,0,0,J.T. O'Sullivan right tackle for 9 yards (tackle by Ernie Sims),0.830,2.320
1,8:54,1,10,DET 49,0,0,J.T. O'Sullivan pass incomplete short middle intended for Vernon Davis,2.320,1.780
1,8:46,2,10,DET 49,0,0,J.T. O'Sullivan pass complete short right to Frank Gore for 9 yards (tackle by Ernie Sims),1.780,2.280
1,8:03,3,1,DET 40,0,0,Frank Gore left tackle for -1 yards (tackle by Jared DeVries),2.280,0.530
