Quarter,Time,Tm,Detail,JAX,IND
1,2:44,Jaguars,Josh Scobee 44 yard field goal,3,0
2,14:20,Colts,Adam Vinatieri 42 yard field goal,3,3
3,1:49,Jaguars,Jarett Dillard 11 yard pass from Blaine Gabbert (Josh Scobee kick),10,3
4,3:52,Jaguars,Maurice Jones-Drew 3 yard rush (Josh Scobee kick),17,3
