Unnamed: 0,JAX,IND
First Downs,18,17
Rush-Yds-TDs,41-141-1,23-84-0
Cmp-Att-Yd-TD-INT,14-21-118-1-1,20-29-161-0-2
Sacked-Yards,2-8,5-33
Net Pass Yards,110,128
Total Yards,251,212
Fumbles-Lost,0-0,2-1
Turnovers,1,3
Penalties-Yards,5-55,6-40
Third Down Conv.,6-15,4-15
Fourth Down Conv.,0-0,0-1
Time of Possession,35:21,24:39
