Quarter,Time,Tm,Detail,MIA,HOU
1.0,6:08,Dolphins,Patrick Cobbs 53 yard pass from Chad Pennington (Dan Carpenter kick),7,0
,1:02,Texans,Kris Brown 27 yard field goal,7,3
2.0,11:37,Dolphins,Patrick Cobbs 80 yard pass from Chad Pennington (Dan Carpenter kick),14,3
,9:07,Texans,Kris Brown 33 yard field goal,14,6
,5:24,Texans,Jacoby Jones 70 yard punt return (Kris Brown kick),14,13
3.0,10:00,Texans,Andre Johnson 12 yard pass from Matt Schaub (Kris Brown kick),14,20
,6:18,Dolphins,Ricky Williams 5 yard rush (Dan Carpenter kick),21,20
4.0,6:04,Texans,Kris Brown 42 yard field goal,21,23
,1:45,Dolphins,Ronnie Brown 6 yard rush (Dan Carpenter kick),28,23
,0:03,Texans,Matt Schaub 3 yard rush (run failed),28,29
