Unnamed: 0,NYG,HOU
First Downs,19,12
Rush-Yds-TDs,26-168-1,35-123-1
Cmp-Att-Yd-TD-INT,18-41-214-1-2,10-23-103-0-0
Sacked-Yards,2-13,5-14
Net Pass Yards,201,89
Total Yards,369,212
Fumbles-Lost,2-1,2-1
Turnovers,3,1
Penalties-Yards,9-65,8-68
Third Down Conv.,6-15,4-16
Fourth Down Conv.,0-1,0-0
Time of Possession,27:47,32:13
