Quarter,Time,Down,ToGo,Location,NYG,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Matt Bryant kicks off 58 yards, returned by Jermaine Lewis for 16 yards (tackle by Byron Frisch). Penalty on Byron Frisch: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,15:00,,,NYG 25,0,0,"Matt Bryant kicks off 66 yards, returned by Jermaine Lewis for 25 yards (tackle by Johnnie Harris)",0.000,1.200
1,14:50,1,10,HOU 34,0,0,"Jonathan Wells for -7 yards (tackle by Michael Strahan). Jonathan Wells fumbles (forced by Michael Strahan), recovered by David Carr at HOU-27",1.200,-0.290
1,14:20,2,17,HOU 27,0,0,David Carr pass incomplete intended for Corey Bradford (defended by Micheal Barrow),-0.290,-0.960
1,14:14,3,17,HOU 27,0,0,David Carr sacked by Michael Strahan for -3 yards,-0.960,-1.770
1,13:53,4,20,HOU 24,0,0,"Chad Stanley punts 49 yards, fair catch by Delvin Joyce",-1.770,-0.740
1,13:44,1,10,NYG 27,0,0,"Tiki Barber left end for no gain (tackle by Jeff Posey). Tiki Barber fumbles (forced by Jeff Posey), recovered by Jamie Sharper at NYG-29 (tackle by Rich Seubert)",0.740,-3.640
1,13:37,1,10,NYG 29,0,0,David Carr pass incomplete intended for Corey Bradford,3.640,3.100
1,13:28,2,10,NYG 29,0,0,David Carr pass incomplete intended for James Allen,3.100,2.410
1,13:23,3,10,NYG 29,0,0,"James Allen for -1 yards. James Allen fumbles, recovered by Dhani Jones at NYG-24 (tackle by DeMingo Graham)",2.410,-0.540
1,13:18,1,10,NYG 24,0,0,Kerry Collins pass incomplete intended for Daryl Jones (defended by Aaron Glenn),0.540,0.000
1,13:13,2,10,NYG 24,0,0,Tiki Barber right guard for no gain (tackle by Matt Stevens),0.000,-0.690
1,12:38,3,10,NYG 24,0,0,"Penalty on Mike Rosenthal: False Start, 5 yards (no play)",-0.690,-1.430
1,12:22,3,15,NYG 19,0,0,Kerry Collins pass complete to Tiki Barber for 1 yard (tackle by Jay Foreman),-1.430,-2.030
1,11:51,4,14,NYG 20,0,0,"Matt Allen punts 33 yards, returned by Jermaine Lewis for 3 yards (tackle by Kevin Lewis). Penalty on Jimmy McClain: Offensive Holding (Declined)",-2.030,-2.260
1,11:41,1,10,,0,0,Jonathan Wells left guard for 4 yards (tackle by Dhani Jones),2.260,2.250
1,11:08,2,6,NYG 46,0,0,David Carr pass incomplete intended for Jarrod Baxter,2.250,1.550
1,11:02,3,6,NYG 46,0,0,David Carr pass incomplete intended for Billy Miller. Penalty on Chester Pitts: Personal Foul (Declined),1.550,0.200
1,10:53,4,6,NYG 46,0,0,Chad Stanley punts 42 yards,0.200,0.380
1,10:44,1,10,NYG 4,0,0,Tiki Barber middle for 3 yards (tackle by Kailee Wong),-0.380,-0.560
1,10:07,2,7,NYG 7,0,0,Kerry Collins pass complete to Amani Toomer for 11 yards (tackle by Kailee Wong),-0.560,0.040
1,9:36,1,10,NYG 18,0,0,Kerry Collins sacked for -3 yards,0.040,-0.930
1,9:12,2,13,NYG 15,0,0,Tiki Barber right end for 7 yards (tackle by Aaron Glenn and Jeff Posey),-0.930,-0.660
1,8:30,3,6,NYG 22,0,0,Kerry Collins pass incomplete intended for Amani Toomer (defended by Marcus Coleman),-0.660,-1.900
1,8:24,4,6,NYG 22,0,0,"Matt Allen punts 31 yards, returned by Jermaine Lewis for 1 yard (tackle by Omar Stoutmire)",-1.900,-2.130
1,8:16,1,10,HOU 48,0,0,David Carr middle for 20 yards (tackle by Omar Stoutmire),2.130,3.450
1,7:39,1,10,NYG 32,0,0,"James Allen left end for 3 yards (tackle by Dhani Jones and Will Peterson). Penalty on Jabar Gaffney: Offensive Holding, 10 yards (no play)",3.450,2.790
1,7:12,1,20,NYG 42,0,0,David Carr sacked by Kenny Holmes for -3 yards,2.790,1.150
1,6:29,2,23,NYG 45,0,0,James Allen left end for -1 yards (tackle by Kenny Holmes),1.150,0.370
1,5:48,3,24,NYG 46,0,0,David Carr for 6 yards (tackle by Jason Sehorn),0.370,0.590
1,5:26,4,18,NYG 40,0,0,Chad Stanley punts 25 yards,0.590,0.220
1,5:17,1,10,NYG 15,0,0,Kerry Collins pass complete to Tiki Barber for 11 yards (tackle by Jay Foreman),-0.220,0.670
1,4:41,1,10,NYG 26,0,0,Tiki Barber middle for 12 yards (tackle by Marcus Coleman),0.670,1.470
1,4:13,1,10,NYG 38,0,0,Tiki Barber left end for 1 yard (tackle by Jeff Posey),1.470,1.060
1,3:35,2,9,NYG 39,0,0,Kerry Collins pass incomplete intended for Herman Moore,1.060,0.370
1,3:31,3,9,NYG 39,0,0,Kerry Collins pass incomplete intended for Herman Moore (defended by Marcus Coleman),0.370,-0.780
1,3:26,4,9,NYG 39,0,0,"Matt Allen punts 36 yards, fair catch by Jermaine Lewis",-0.780,-0.610
1,3:18,1,10,HOU 25,0,0,Jonathan Wells left end for 15 yards (tackle by Omar Stoutmire),0.610,1.600
1,2:38,1,10,HOU 40,0,0,"Penalty on DeMingo Graham: False Start, 5 yards (no play)",1.600,1.270
1,2:20,1,15,HOU 35,0,0,Jonathan Wells right end for -6 yards (tackle by Brandon Short),1.270,-0.430
1,1:39,2,21,HOU 29,0,0,David Carr pass complete to Billy Miller for 42 yards (tackle by Jason Sehorn and Shaun Williams). Penalty on Jason Sehorn: Defensive Pass Interference (Declined),-0.430,3.640
1,1:12,2,21,HOU 29,,,Timeout #1 by Houston Texans,-0.430,3.640
1,1:12,1,10,NYG 29,0,0,"Jonathan Wells right end for 3 yards (tackle by Will Allen). Penalty on Billy Miller: Offensive Holding, 10 yards",3.640,3.180
1,0:46,1,17,NYG 36,0,0,David Carr pass complete to Billy Miller for 10 yards (tackle by Shaun Williams and DeWayne Patmon),3.180,3.510
Quarter,Time,Down,ToGo,Location,NYG,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,NYG 26,0,0,"Jonathan Wells left end for -3 yards (tackle by Kenny Holmes). Penalty on Lance Legree: Defensive Holding, 5 yards (no play)",3.510,4.170
