Quarter,Time,Tm,Detail,NYG,HOU
2.0,12:29,Texans,Kris Brown 40 yard field goal,0,3
,3:40,Giants,Tiki Barber 2 yard rush (Matt Bryant kick),7,3
,0:19,Texans,"Safety,",7,5
3.0,6:41,Texans,Jonathan Wells 1 yard rush (James Allen pass from David Carr),7,13
4.0,13:10,Giants,Amani Toomer 31 yard pass from Kerry Collins (Matt Bryant kick),14,13
,6:57,Texans,Kris Brown 50 yard field goal,14,16
