Quarter,Time,Tm,Detail,NOR,ARI
1.0,9:46,Cardinals,John Brown 10 yard pass from Carson Palmer (Chandler Catanzaro kick),0,7
,3:55,Saints,Zach Hocker 37 yard field goal,3,7
2.0,11:03,Cardinals,Andre Ellington 1 yard rush (Chandler Catanzaro kick),3,14
,5:14,Saints,Brandon Coleman 12 yard pass from Drew Brees (Zach Hocker kick),10,14
3.0,12:01,Saints,Zach Hocker 23 yard field goal,13,14
,0:04,Cardinals,Chandler Catanzaro 43 yard field goal,13,17
4.0,12:24,Saints,Zach Hocker 45 yard field goal,16,17
,9:48,Cardinals,Darren Fells 17 yard pass from Carson Palmer (Chandler Catanzaro kick),16,24
,6:45,Saints,Zach Hocker 33 yard field goal,19,24
,1:33,Cardinals,David Johnson 55 yard pass from Carson Palmer (Chandler Catanzaro kick),19,31
