Unnamed: 0,NOR,ARI
First Downs,18,25
Rush-Yds-TDs,20-54-0,25-120-1
Cmp-Att-Yd-TD-INT,30-48-355-1-1,19-32-307-3-0
Sacked-Yards,2-1,0-0
Net Pass Yards,354,307
Total Yards,408,427
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,7-73,5-30
Third Down Conv.,7-18,5-10
Fourth Down Conv.,0-1,0-0
Time of Possession,33:24,26:36
