Quarter,Time,Tm,Detail,TEN,ARI
1.0,11:39,Titans,Brandon Jones 38 yard pass from Billy Volek (Rob Bironas kick),7,0
,2:42,Titans,Rob Bironas 53 yard field goal,10,0
2.0,9:23,Cardinals,Neil Rackers 33 yard field goal,10,3
,4:44,Cardinals,David Macklin 60 yard interception return (Neil Rackers kick),10,10
3.0,0:29,Cardinals,Neil Rackers 24 yard field goal,10,13
4.0,5:20,Cardinals,Larry Fitzgerald 34 yard pass from Josh McCown (Neil Rackers kick),10,20
