Unnamed: 0,JAX,KAN
First Downs,19,18
Rush-Yds-TDs,29-130-1,28-140-0
Cmp-Att-Yd-TD-INT,25-36-320-2-0,16-32-199-1-2
Sacked-Yards,0-0,1-3
Net Pass Yards,320,196
Total Yards,450,336
Fumbles-Lost,1-1,0-0
Turnovers,1,2
Penalties-Yards,5-45,5-48
Third Down Conv.,7-15,6-13
Fourth Down Conv.,1-1,0-0
Time of Possession,31:44,28:16
