Unnamed: 0,DET,GNB
First Downs,25,9
Rush-Yds-TDs,38-130-1,13-46-0
Cmp-Att-Yd-TD-INT,21-33-274-3-0,19-40-158-0-1
Sacked-Yards,1-2,3-29
Net Pass Yards,272,129
Total Yards,402,175
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,3-34,5-38
Third Down Conv.,7-14,5-16
Fourth Down Conv.,1-1,1-3
Time of Possession,36:54,23:06
