Unnamed: 0,IND,CAR
First Downs,19,17
Rush-Yds-TDs,35-136-0,36-140-1
Cmp-Att-Yd-TD-INT,23-47-231-2-3,16-35-248-2-1
Sacked-Yards,2-8,2-9
Net Pass Yards,223,239
Total Yards,359,379
Fumbles-Lost,3-1,2-2
Turnovers,4,3
Penalties-Yards,2-15,6-55
Third Down Conv.,6-18,4-16
Fourth Down Conv.,1-1,2-2
Time of Possession,35:58,33:40
