Quarter,Time,Down,ToGo,Location,IND,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 73 yards, muffed catch by Quan Bray, recovered by Quan Bray and returned for no gain",0.000,-0.410
1,14:56,1,10,IND 22,0,0,Andrew Luck pass complete short left to Coby Fleener for 3 yards (tackle by Roman Harper),0.410,0.270
1,14:31,2,7,IND 25,0,0,"Andrew Luck for no gain. Jonotthan Harrison fumbles, recovered by Roman Harper at IND-24 (tackle by Joe Reitz)",0.270,-3.970
1,14:25,1,10,IND 24,0,0,Jonathan Stewart left guard for 3 yards (tackle by David Parry and Kendall Langford),3.970,3.840
1,13:53,2,7,IND 21,0,0,Cam Newton pass incomplete short right intended for Jonathan Stewart,3.840,3.140
1,13:50,3,7,IND 21,0,0,Cam Newton pass incomplete short left intended for Greg Olsen,3.140,2.060
1,13:45,4,7,IND 21,0,3,Graham Gano 39 yard field goal good,2.060,3.000
1,13:45,,,CAR 35,0,3,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
1,13:41,1,10,IND 20,0,3,Frank Gore left tackle for 5 yards (tackle by Kawann Short and Luke Kuechly),0.280,0.410
1,13:16,2,5,IND 25,0,3,Frank Gore left tackle for 2 yards (tackle by Luke Kuechly and Thomas Davis),0.410,-0.030
1,12:35,3,3,IND 27,0,3,Andrew Luck pass incomplete short left intended for T.Y. Hilton is intercepted by Charles Tillman at IND-37,-0.030,-3.120
1,12:24,1,10,IND 37,0,3,Jonathan Stewart left guard for 1 yard (tackle by Jerrell Freeman and Trent Cole),3.120,2.710
1,11:50,2,9,IND 36,0,3,Cam Newton pass incomplete deep left intended for Ted Ginn,2.710,2.010
1,11:45,3,9,IND 36,0,3,Cam Newton pass complete short right to Jerricho Cotchery for 13 yards (tackle by Greg Toler),2.010,4.040
1,11:05,1,10,IND 23,0,3,Jonathan Stewart middle for 2 yards (tackle by Jerrell Freeman and D'Qwell Jackson),4.040,3.770
1,10:32,2,8,IND 21,0,3,Cam Newton pass incomplete deep right intended for Corey Brown,3.770,3.070
1,10:32,3,8,IND 21,0,3,"Penalty on Erik Walden: Neutral Zone Infraction, 5 yards (no play)",3.070,3.850
1,10:25,3,3,IND 16,0,3,Jonathan Stewart right end for 2 yards (tackle by Jerrell Freeman),3.850,2.660
1,9:40,4,1,IND 14,0,3,Cam Newton left guard for 2 yards (tackle by D'Qwell Jackson and Jerrell Freeman),2.660,4.780
1,9:40,1,10,IND 12,0,3,"Penalty on Mike Remmers: False Start, 5 yards (no play)",4.780,4.320
1,8:43,1,15,IND 17,0,3,Cam Newton pass incomplete deep middle intended for Greg Olsen,4.320,3.420
1,8:38,2,15,IND 17,0,3,Jonathan Stewart left end for 7 yards (tackle by Mike Adams),3.420,3.480
1,7:56,3,8,IND 10,0,3,Cam Newton left tackle for 7 yards (tackle by Mike Adams and Erik Walden),3.480,3.060
1,7:27,4,1,IND 3,0,9,"Jonathan Stewart left guard for 3 yards, touchdown",3.060,7.000
1,7:27,,,IND 3,0,10,Graham Gano kicks extra point good,0.000,0.000
1,7:27,,,CAR 35,0,10,"Graham Gano kicks off 60 yards, returned by Zurlon Tipton for 23 yards (tackle by Tre Boston)",0.000,-0.810
1,7:14,1,10,IND 28,0,10,Frank Gore right end for no gain (tackle by Kyle Love),0.810,0.260
1,6:36,2,10,IND 28,0,10,Andrew Luck pass incomplete short left intended for Coby Fleener,0.260,-0.430
1,6:31,3,10,IND 28,0,10,Ahmad Bradshaw middle for 23 yards (tackle by Tre Boston),-0.430,2.320
1,6:03,1,10,CAR 49,0,10,Frank Gore middle for 5 yards (tackle by Jared Allen),2.320,2.460
1,5:32,2,5,CAR 44,0,10,Frank Gore middle for -2 yards (tackle by Luke Kuechly),2.460,1.490
1,4:49,3,7,CAR 46,0,10,Andrew Luck pass incomplete short left intended for Dwayne Allen,1.490,0.200
1,4:44,4,7,CAR 46,0,10,Pat McAfee punts 42 yards,0.200,0.380
1,4:34,1,10,CAR 4,0,10,Jonathan Stewart middle for 1 yard (tackle by Jerrell Freeman and D'Qwell Jackson),-0.380,-0.710
1,3:55,2,9,CAR 5,0,10,Cam Newton left guard for 7 yards (tackle by Mike Adams),-0.710,-0.480
,,,,,,,"IND challenged the runner was down by contact ruling, and the play was upheld.",,
1,3:06,3,2,CAR 12,0,10,Cam Newton pass incomplete short left intended for Greg Olsen (defended by Trent Cole),-0.480,-2.490
