Unnamed: 0,CAR,TAM
First Downs,22,13
Rush-Yds-TDs,28-101-1,25-64-2
Cmp-Att-Yd-TD-INT,22-36-272-1-0,14-25-155-1-1
Sacked-Yards,3-23,1-10
Net Pass Yards,249,145
Total Yards,350,209
Fumbles-Lost,3-3,1-1
Turnovers,3,2
Penalties-Yards,7-40,6-56
Third Down Conv.,2-12,4-12
Fourth Down Conv.,1-1,1-1
Time of Possession,34:23,25:37
