Quarter,Time,Tm,Detail,CAR,TAM
1.0,14:01,Panthers,Keyshawn Johnson 31 yard pass from Jake Delhomme (John Kasay kick),7,0
,1:31,Panthers,John Kasay 51 yard field goal,10,0
2.0,12:41,Panthers,Keyshawn Johnson 4 yard rush (John Kasay kick),17,0
,6:57,Buccaneers,Joey Galloway 8 yard pass from Chris Simms (Matt Bryant kick),17,7
,0:50,Panthers,John Kasay 50 yard field goal,20,7
3.0,12:46,Buccaneers,Cadillac Williams 4 yard rush (Matt Bryant kick),20,14
,5:56,Buccaneers,Chris Simms 2 yard rush (Matt Bryant kick),20,21
,0:36,Panthers,John Kasay 49 yard field goal,23,21
4.0,5:01,Buccaneers,Matt Bryant 28 yard field goal,23,24
,0:02,Panthers,John Kasay 46 yard field goal,26,24
