Unnamed: 0,WAS,SFO
First Downs,19,19
Rush-Yds-TDs,34-125-2,26-121-2
Cmp-Att-Yd-TD-INT,18-30-156-1-0,21-30-245-1-1
Sacked-Yards,1-13,1-7
Net Pass Yards,143,238
Total Yards,268,359
Fumbles-Lost,1-1,3-0
Turnovers,1,1
Penalties-Yards,2-10,3-15
Third Down Conv.,5-13,4-10
Fourth Down Conv.,2-2,0-0
Time of Possession,32:00,28:00
