Quarter,Time,Tm,Detail,WAS,SFO
1.0,9:24,49ers,Shaun Hill 2 yard rush (Joe Nedney kick),0,7
2.0,14:20,Redskins,Clinton Portis 4 yard rush (Shaun Suisham kick),7,7
,11:26,Redskins,Shaun Suisham 41 yard field goal,10,7
,0:26,Redskins,Antwaan Randle El 6 yard pass from Jason Campbell (Shaun Suisham kick),17,7
3.0,11:19,49ers,DeShaun Foster 1 yard rush (Joe Nedney kick),17,14
4.0,9:53,49ers,Jason Hill 9 yard pass from Shaun Hill (Joe Nedney kick),17,21
,5:06,49ers,Joe Nedney 34 yard field goal,17,24
,1:09,Redskins,Jason Campbell 2 yard rush (Shaun Suisham kick),24,24
,0:00,49ers,Joe Nedney 40 yard field goal,24,27
