Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
1,7:55,2,7,GNB 24,0,0,Brett Favre right end for 7 yards (tackle by Mo Lewis),0.210,1.000
1,6:33,1,10,GNB 31,0,0,"Penalty on Shaun Ellis: Defensive Offside, 5 yards (no play)",1.000,1.730
1,6:27,1,5,GNB 36,0,0,Brett Favre pass complete to Bubba Franks for 7 yards (tackle by Mo Lewis),1.730,1.800
1,5:50,1,10,GNB 43,0,0,Ahman Green right end for 6 yards (tackle by Marvin Jones),1.800,2.060
1,5:13,2,4,GNB 49,0,0,Brett Favre sacked by Shaun Ellis for -7 yards,2.060,0.430
1,4:42,3,11,GNB 42,0,0,Tony Fisher left guard for 3 yards (tackle by Josh Evans),0.430,-0.390
1,4:09,4,8,GNB 45,0,0,"Josh Bidwell punts 39 yards, out of bounds",-0.390,0.140
1,4:00,1,10,NYJ 16,0,0,Chad Pennington pass complete to Curtis Martin for 5 yards (tackle by Nate Wayne),-0.140,0.150
1,3:24,2,5,NYJ 21,0,0,Curtis Martin right end for 5 yards (tackle by Nate Wayne),0.150,0.670
1,2:51,1,10,NYJ 26,0,0,Curtis Martin right end for 12 yards (tackle by Matt Bowen),0.670,1.470
1,2:21,1,10,NYJ 38,0,0,Chad Pennington pass complete to Curtis Martin for 2 yards (tackle by Cletidus Hunt and Nate Wayne),1.470,1.190
1,1:41,2,8,NYJ 40,0,0,Chad Pennington pass complete to Laveranues Coles for 43 yards,1.190,4.440
,,,,,,,"NYJ challenged the ruling, and the original play was overturned.",,
1,1:15,1,10,GNB 17,0,0,Curtis Martin right end for 3 yards (tackle by Na'il Diggs and Gilbert Brown),4.440,4.320
1,0:33,2,7,GNB 14,0,0,Curtis Martin right tackle for 4 yards (tackle by Na'il Diggs),4.320,4.340
Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,GNB 10,0,0,Chad Pennington pass complete to Anthony Becht for 9 yards (tackle by Matt Bowen),4.340,6.970
2,14:16,1,1,GNB 1,0,0,LaMont Jordan right guard for no gain (tackle by Gilbert Brown and Hardy Nickerson),6.970,5.910
2,13:32,2,1,GNB 1,0,6,"Chad Pennington pass complete to Richie Anderson for 1 yard, touchdown",5.910,7.000
2,13:32,,,GNB 1,0,7,John Hall kicks extra point good,0.000,0.000
2,13:32,,,NYJ 30,0,7,"John Hall kicks off 63 yards, returned by Robert Ferguson for 21 yards (tackle by Jerald Sowell)",0.000,0.810
2,13:20,1,10,GNB 28,0,7,Ahman Green right guard for 3 yards (tackle by Larry Webster and Steve White),0.810,0.670
2,12:43,2,7,GNB 31,0,7,Brett Favre pass incomplete intended for Terry Glenn (defended by Donnie Abraham),0.670,-0.030
2,12:38,3,7,GNB 31,0,7,Brett Favre pass complete to Donald Driver for 10 yards (tackle by Ray Mickens),-0.030,1.660
2,11:58,1,10,GNB 41,0,7,Donald Driver left end for -1 yards (tackle by Aaron Beasley and Damien Robinson),1.660,0.990
2,11:38,2,11,GNB 40,0,7,Brett Favre pass incomplete intended for Robert Ferguson,0.990,0.300
2,11:19,3,11,GNB 40,0,7,Brett Favre pass incomplete intended for Robert Ferguson,0.300,-0.720
2,11:14,4,11,GNB 40,0,7,"Josh Bidwell punts 39 yards, fair catch by Santana Moss",-0.720,-0.340
2,11:05,1,10,NYJ 21,0,7,Chad Pennington pass complete to Laveranues Coles for 1 yard (tackle by Cletidus Hunt),0.340,-0.070
2,10:27,2,9,NYJ 22,0,7,Chad Pennington pass incomplete intended for Santana Moss,-0.070,-0.760
2,10:21,3,9,NYJ 22,0,7,Chad Pennington sacked by Jamal Reynolds for -2 yards,-0.760,-2.030
2,10:21,4,11,NYJ 20,0,7,"Matt Turk punts 42 yards, returned by Antuan Edwards for no gain",-2.030,-1.470
2,9:53,1,10,GNB 38,0,7,Brett Favre pass incomplete intended for Terry Glenn,1.470,0.920
2,9:48,2,10,GNB 38,0,7,Ahman Green left end for 7 yards (tackle by Jason Ferguson),0.920,1.160
2,9:02,3,3,GNB 45,0,7,Brett Favre pass complete to Tyrone Davis for 7 yards (tackle by Ray Mickens),1.160,2.390
2,8:28,1,10,NYJ 48,0,7,Ahman Green left guard for 3 yards (tackle by John Abraham),2.390,2.250
2,7:57,2,7,NYJ 45,0,7,Ahman Green left tackle for 9 yards (tackle by Marvin Jones),2.250,3.180
2,7:19,1,10,NYJ 36,0,7,Ahman Green left tackle for 9 yards (tackle by Jason Ferguson),3.180,3.850
2,6:41,2,1,NYJ 27,0,7,Brett Favre pass complete to Robert Ferguson for 16 yards (tackle by Aaron Beasley),3.850,4.840
2,6:05,1,10,NYJ 11,0,7,"Penalty on Kevin Barry: False Start, 5 yards (no play)",4.840,4.340
2,5:49,1,15,NYJ 16,0,7,Brett Favre pass complete to Ahman Green for no gain,4.340,3.440
2,5:10,2,15,NYJ 16,0,7,Brett Favre pass complete to Javon Walker for 11 yards (tackle by Sam Cowart),3.440,4.440
2,4:34,2,15,NYJ 16,,,Timeout #1 by Green Bay Packers,3.440,4.440
2,4:34,3,4,NYJ 5,0,7,Brett Favre pass incomplete intended for Robert Ferguson (defended by Damien Robinson),4.440,3.010
2,4:26,4,4,NYJ 5,3,7,Ryan Longwell 23 yard field goal good,3.010,3.000
2,4:26,,,GNB 30,3,7,"Ryan Longwell kicks off 59 yards, returned by Chad Morton for 22 yards (tackle by Paris Lenon)",0.000,1.140
2,4:15,1,10,NYJ 33,3,7,"Curtis Martin left guard for 10 yards (tackle by Na'il Diggs). Penalty on Cletidus Hunt: Face Mask (15 Yards), 15 yards",1.140,2.790
2,3:49,1,10,GNB 42,3,7,Laveranues Coles right end for 21 yards (tackle by Nate Wayne),2.790,4.170
2,3:04,1,10,GNB 21,3,7,Chad Pennington pass incomplete intended for Richie Anderson,4.170,3.630
2,2:59,2,10,GNB 21,3,7,Curtis Martin left tackle for 5 yards (tackle by Matt Bowen and Antuan Edwards),3.630,3.630
2,2:16,3,5,GNB 16,3,7,Chad Pennington pass complete to Wayne Chrebet for 7 yards (tackle by Matt Bowen),3.630,5.140
2,2:00,1,9,GNB 9,3,7,Chad Pennington pass incomplete intended for Anthony Becht (defended by Matt Bowen),5.140,4.380
2,1:53,2,9,GNB 9,3,7,Chad Pennington for -3 yards (tackle by Kabeer Gbaja-Biamila),4.380,3.100
2,1:46,2,9,GNB 9,,,Timeout #2 by Green Bay Packers,4.380,3.100
2,1:46,3,12,GNB 12,3,13,"Chad Pennington pass complete to Wayne Chrebet for 12 yards, touchdown",3.100,7.000
2,1:46,,,GNB 12,3,14,John Hall kicks extra point good,0.000,0.000
2,1:46,,,NYJ 30,3,14,"John Hall kicks off 56 yards, returned by Robert Ferguson for 10 yards (tackle by Ray Mickens)",0.000,0.540
2,1:32,1,10,GNB 24,3,14,Brett Favre pass complete to Robert Ferguson for 7 yards (tackle by Ray Mickens),0.540,0.940
2,1:32,2,3,GNB 31,3,14,Brett Favre pass complete to Terry Glenn for 21 yards (tackle by Aaron Beasley),0.940,2.390
2,0:58,2,3,GNB 31,,,Timeout #3 by Green Bay Packers,0.940,2.390
2,0:58,1,10,NYJ 48,3,14,Brett Favre pass incomplete intended for Terry Glenn,2.390,1.850
2,0:52,2,10,NYJ 48,3,14,Brett Favre pass complete to Robert Ferguson for 11 yards,1.850,3.120
2,0:48,1,10,NYJ 37,3,14,Brett Favre pass incomplete intended for Robert Ferguson,3.120,2.570
2,0:42,2,10,NYJ 37,3,14,Brett Favre pass incomplete intended for Terry Glenn,2.570,1.880
2,0:37,3,10,NYJ 37,3,14,Brett Favre pass incomplete intended for Javon Walker,1.880,0.790
2,0:37,4,10,NYJ 37,3,14,Brett Favre pass complete to Javon Walker for 23 yards (tackle by Sam Garnes),0.790,4.650
2,0:16,1,10,NYJ 14,3,14,Brett Favre pass incomplete,4.650,4.000
2,0:14,2,10,NYJ 14,9,14,"Brett Favre pass complete to Terry Glenn for 14 yards, touchdown",4.000,7.000
2,0:14,,,NYJ 14,10,14,Ryan Longwell kicks extra point good,0.000,0.000
2,0:14,,,GNB 30,10,14,"Ryan Longwell kicks off 34 yards, returned by Kevin Swayne for 13 yards (tackle by Erwin Swiney)",0.000,0.940
Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 30,10,14,"Ryan Longwell kicks off 63 yards, returned by Chad Morton for 33 yards (tackle by Paris Lenon)",0.000,1.600
3,14:53,1,10,NYJ 40,10,14,Chad Pennington pass complete to Laveranues Coles for 17 yards (tackle by Mike McKenzie),1.600,2.720
3,14:15,1,10,GNB 43,10,14,Curtis Martin left tackle for 1 yard (tackle by Hardy Nickerson),2.720,2.310
3,13:36,2,9,GNB 42,10,14,Curtis Martin left tackle for 10 yards (tackle by Matt Bowen),2.310,3.450
3,12:56,1,10,GNB 32,10,14,"Chad Pennington middle for 6 yards. Penalty on Hardy Nickerson: Unnecessary Roughness, 13 yards",3.450,4.710
3,12:23,1,10,GNB 13,10,14,Chad Pennington pass complete to Richie Anderson for 8 yards (tackle by Marques Anderson),4.710,5.540
3,11:53,2,2,GNB 5,10,20,"Curtis Martin right guard for 5 yards, touchdown",5.540,7.000
3,11:53,,,GNB 5,10,21,John Hall kicks extra point good,0.000,0.000
3,11:53,,,NYJ 30,10,21,"John Hall kicks off 62 yards, returned by Robert Ferguson for 24 yards (tackle by Jason Glenn)",0.000,1.070
3,11:39,1,10,GNB 32,10,21,Ahman Green right guard for 2 yards (tackle by Jason Ferguson),1.070,0.800
3,11:03,2,8,GNB 34,10,21,Brett Favre pass incomplete intended for Robert Ferguson,0.800,0.100
3,10:59,3,8,GNB 34,10,21,Brett Favre pass complete to Ahman Green for no gain,0.100,-1.110
3,10:25,4,8,GNB 34,10,21,"Josh Bidwell punts 42 yards, returned by Santana Moss for no gain",-1.110,-0.540
3,10:15,1,10,NYJ 24,10,21,Curtis Martin right end for 20 yards (tackle by Matt Bowen),0.540,1.860
3,9:44,1,10,NYJ 44,10,21,Chad Pennington pass incomplete intended for Laveranues Coles,1.860,1.320
3,9:37,2,10,NYJ 44,10,21,Chad Pennington pass complete to Santana Moss for 7 yards (tackle by Na'il Diggs),1.320,1.550
3,8:50,3,3,GNB 49,10,21,Chad Pennington pass complete to Curtis Martin for 28 yards (tackle by Nate Wayne),1.550,4.170
3,8:05,1,10,GNB 21,10,21,LaMont Jordan right guard for 2 yards (tackle by Hardy Nickerson and Billy Lyon),4.170,3.900
3,7:23,2,8,GNB 19,10,21,Chad Pennington pass complete to Laveranues Coles for 6 yards (tackle by Tyrone Williams),3.900,4.240
3,6:43,3,2,GNB 13,10,27,"Chad Pennington pass complete to Santana Moss for 13 yards, touchdown",4.240,7.000
3,6:43,,,GNB 13,10,28,John Hall kicks extra point good,0.000,0.000
3,6:43,,,NYJ 30,10,28,"John Hall kicks off 56 yards, returned by Robert Ferguson for 11 yards (tackle by Sam Garnes)",0.000,0.610
3,6:28,1,10,GNB 25,10,28,Brett Favre pass incomplete intended for Ahman Green,0.610,0.060
3,6:23,2,10,GNB 25,10,28,Brett Favre pass complete to Terry Glenn for 23 yards (tackle by Marvin Jones). Penalty on Sam Garnes: Illegal Contact (Declined),0.060,2.130
3,6:07,1,10,GNB 48,10,28,Brett Favre pass complete to Ahman Green for 5 yards (tackle by Marvin Jones),2.130,2.260
3,5:30,2,5,NYJ 47,10,28,Ahman Green left end for 6 yards (tackle by Marvin Jones and John Abraham),2.260,2.850
3,4:48,1,10,NYJ 41,10,28,Ahman Green right guard for 4 yards (tackle by Shaun Ellis and Jason Ferguson),2.850,2.850
3,4:14,2,6,NYJ 37,10,28,Brett Favre pass complete to Terry Glenn for 14 yards (tackle by Donnie Abraham),2.850,4.040
3,3:35,1,10,NYJ 23,10,28,Brett Favre pass incomplete intended for Bubba Franks,4.040,3.500
3,3:30,2,10,NYJ 23,10,28,Ahman Green left tackle for 3 yards (tackle by Jason Ferguson),3.500,3.200
3,2:50,3,7,NYJ 20,10,28,Brett Favre pass incomplete intended for Javon Walker is intercepted by Sam Garnes at NYJ-3 and returned for 65 yards,3.200,-3.450
3,2:35,1,10,GNB 32,10,28,Curtis Martin right guard for 3 yards (tackle by Gilbert Brown),3.450,3.310
3,1:56,2,7,GNB 29,10,28,Curtis Martin right tackle for 1 yard (tackle by Matt Bowen and Gilbert Brown),3.310,2.740
3,1:13,3,6,GNB 28,10,28,Chad Pennington pass complete to Laveranues Coles for 12 yards (tackle by Antuan Edwards),2.740,4.510
3,0:27,1,10,GNB 16,10,28,Curtis Martin right end for -2 yards (tackle by Na'il Diggs),4.510,3.640
Quarter,Time,Down,ToGo,Location,GNB,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,GNB 18,10,28,Curtis Martin left tackle for no gain (tackle by Cletidus Hunt and Kabeer Gbaja-Biamila),3.640,2.940
4,14:18,3,12,GNB 18,10,34,"Chad Pennington pass complete to Wayne Chrebet for 18 yards, touchdown",2.940,7.000
4,14:18,,,GNB 18,10,35,John Hall kicks extra point good,0.000,0.000
4,14:18,,,NYJ 30,10,35,"John Hall kicks off 63 yards, returned by Eric Metcalf for 21 yards (tackle by Jon McGraw)",0.000,0.810
4,14:00,1,10,GNB 28,10,35,Doug Pederson pass incomplete intended for Bubba Franks (defended by Sam Cowart),0.810,0.260
4,13:56,2,10,GNB 28,10,35,"Penalty on Kevin Barry: False Start, 5 yards (no play)",0.260,-0.410
4,13:56,2,15,GNB 23,10,35,William Henderson left guard for 2 yards (tackle by James Reed),-0.410,-0.820
4,13:17,3,13,GNB 25,10,35,William Henderson left tackle for 10 yards (tackle by Damien Robinson),-0.820,-1.040
4,12:40,4,3,GNB 35,10,35,"Josh Bidwell punts 45 yards, fair catch by Santana Moss",-1.040,-0.280
4,12:30,1,10,NYJ 20,10,35,Curtis Martin left guard for no gain (tackle by Vonnie Holliday and Rod Walker),0.280,-0.270
4,11:48,2,10,NYJ 20,10,35,"Curtis Martin right end for 5 yards (tackle by Matt Bowen and Mike McKenzie). Penalty on Anthony Becht: Offensive Holding, 10 yards (no play)",-0.270,-1.510
4,11:19,2,20,NYJ 10,10,35,Chad Pennington pass incomplete intended for Laveranues Coles. Penalty on Kareem McKenzie: Offensive Holding (Declined),-1.510,-2.590
4,11:14,3,20,NYJ 10,10,35,Chad Morton right tackle for 6 yards (tackle by Jamal Reynolds),-2.590,-2.390
4,10:43,4,14,NYJ 16,10,35,"Matt Turk punts 36 yards, returned by Eric Metcalf for -1 yards (tackle by Kelvin Moses)",-2.390,-2.060
4,10:30,1,10,GNB 47,10,35,William Henderson left guard for 2 yards (tackle by John Abraham),2.060,1.790
4,9:46,2,8,GNB 49,10,35,Doug Pederson pass complete to Bubba Franks for 8 yards (tackle by Aaron Beasley),1.790,2.720
4,9:10,1,10,NYJ 43,10,35,Doug Pederson pass complete to William Henderson for 5 yards (tackle by Mo Lewis and Sam Cowart),2.720,2.850
4,8:33,2,5,NYJ 38,10,35,Doug Pederson pass complete to Terry Glenn for 4 yards (tackle by Ray Mickens),2.850,2.680
4,8:12,3,1,NYJ 34,10,35,William Henderson right tackle for 3 yards (tackle by Marvin Jones),2.680,3.510
4,7:37,1,10,NYJ 31,10,35,William Henderson right guard for 5 yards (tackle by Mo Lewis),3.510,3.640
4,6:59,2,5,NYJ 26,10,35,Doug Pederson pass complete to William Henderson for 1 yard (tackle by Sam Garnes),3.640,3.070
4,6:20,3,4,NYJ 25,10,35,Doug Pederson pass incomplete (defended by Sam Garnes),3.070,1.880
4,6:15,4,4,NYJ 25,10,35,Doug Pederson pass complete to Robert Ferguson for 5 yards (tackle by Ray Mickens),1.880,4.240
4,5:43,1,10,NYJ 20,16,35,"Doug Pederson pass complete to Bubba Franks for 20 yards, touchdown",4.240,7.000
4,5:43,1,10,NYJ 20,17,35,"Penalty on Sam Garnes: Personal Foul, 15 yards",4.240,0.000
4,5:43,,,NYJ 20,17,35,Ryan Longwell kicks extra point good,0.000,0.000
4,5:43,,,GNB 45,17,35,"Ryan Longwell kicks onside 8 yards, recovered by Nate Wayne (onside kick successful). Penalty on Nate Wayne: Illegal Touch Kick, 5 yards (no play)",0.000,0.000
4,5:43,,,GNB 40,17,35,"Ryan Longwell kicks onside 8 yards, recovered by Jerald Sowell and returned for 20 yards",0.000,-3.710
4,5:35,1,10,GNB 28,17,35,LaMont Jordan middle for no gain (tackle by Jamal Reynolds),3.710,3.170
4,4:47,2,10,GNB 28,17,35,Santana Moss for 14 yards,3.170,4.650
4,4:38,1,10,GNB 14,17,35,LaMont Jordan left end for -6 yards (tackle by Na'il Diggs),4.650,3.280
4,3:52,2,16,GNB 20,17,35,LaMont Jordan right guard for 3 yards (tackle by Hardy Nickerson),3.280,2.930
4,3:12,3,13,GNB 17,17,35,Vinny Testaverde pass complete to Laveranues Coles for 14 yards (tackle by Na'il Diggs),2.930,6.510
4,2:20,3,13,GNB 17,,,Timeout #1 by New York Jets,2.930,6.510
4,2:20,1,3,GNB 3,17,41,"LaMont Jordan right guard for 3 yards, touchdown",6.510,7.000
4,2:20,,,GNB 3,17,42,John Hall kicks extra point good,0.000,0.000
4,2:20,,,NYJ 30,17,42,"John Hall kicks off 65 yards, returned by Eric Metcalf for 20 yards (tackle by Jon McGraw)",0.000,0.610
4,2:07,1,10,GNB 25,17,42,William Henderson right guard for 4 yards (tackle by Kelvin Moses),0.610,0.600
4,2:00,2,6,GNB 29,17,42,Eric Metcalf left guard for 2 yards (tackle by Kelvin Moses and Bryan Thomas),0.600,0.170
4,1:17,3,4,GNB 31,17,42,Eric Metcalf right guard for 5 yards (tackle by Kelvin Moses and Nick Ferguson),0.170,1.330
4,1:17,1,10,GNB 36,17,42,Doug Pederson kneels for -1 yards,1.330,0.660
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
