Quarter,Time,Tm,Detail,GNB,NYJ
2.0,13:27,Jets,Richie Anderson 1 yard pass from Chad Pennington (John Hall kick),0,7
,4:22,Packers,Ryan Longwell 23 yard field goal,3,7
,1:40,Jets,Wayne Chrebet 12 yard pass from Chad Pennington (John Hall kick),3,14
,0:05,Packers,Terry Glenn 14 yard pass from Brett Favre (Ryan Longwell kick),10,14
3.0,11:46,Jets,Curtis Martin 5 yard rush (John Hall kick),10,21
,6:34,Jets,Santana Moss 13 yard pass from Chad Pennington (John Hall kick),10,28
4.0,14:10,Jets,Wayne Chrebet 18 yard pass from Chad Pennington (John Hall kick),10,35
,5:35,Packers,Bubba Franks 20 yard pass from Doug Pederson (Ryan Longwell kick),17,35
,2:14,Jets,LaMont Jordan 3 yard rush (John Hall kick),17,42
